A;209;20090706 01:32;VALNET;
C;209;2074682;18;20090706 01:32;12/SP15052;
D;209;2074682;18;20090706 01:32;P;;;;;;
D;209;2074682;18;20090706 01:32;P;;;;;;
D;209;2074682;18;20090706 01:32;V;;;;;;
B;209;2077428;19;20090706 01:32;;;136;WELLINGTON ST;BONDI BEACH;2026;215;M;20090501;20090529;1520000;A;R;RESIDENCE;;CF;;0;AE757371;
C;209;2077428;19;20090706 01:32;A/441418;
D;209;2077428;19;20090706 01:32;P;;;;;;
D;209;2077428;19;20090706 01:32;P;;;;;;
D;209;2077428;19;20090706 01:32;V;;;;;;
B;209;2071989;20;20090706 01:32;;11;73;PENKIVIL ST;BONDI;2026;;;20090506;20090617;775000;;R;RESIDENCE;11;;;0;AE771029;
C;209;2071989;20;20090706 01:32;11/SP14541;
D;209;2071989;20;20090706 01:32;P;;;;;;
D;209;2071989;20;20090706 01:32;P;;;;;;
D;209;2071989;20;20090706 01:32;V;;;;;;
B;209;2066871;21;20090706 01:32;;3;15 A;NANCY ST;NORTH BONDI;2026;;;20090502;20090612;732500;;R;RESIDENCE;3;;;0;AE768598;
C;209;2066871;21;20090706 01:32;3/SP13303;
D;209;2066871;21;20090706 01:32;P;;;;;;
D;209;2066871;21;20090706 01:32;P;;;;;;
D;209;2066871;21;20090706 01:32;V;;;;;;
B;209;2069483;22;20090706 01:32;;10;493;OLD SOUTH HEAD RD;ROSE BAY;2029;;;20090428;20090619;440000;;R;RESIDENCE;10;;;0;AE774975;
C;209;2069483;22;20090706 01:32;10/SP15896;
D;209;2069483;22;20090706 01:32;P;;;;;;
D;209;2069483;22;20090706 01:32;V;;;;;;
B;209;2072279;23;20090706 01:32;;1;6;PRINCESS ST;ROSE BAY;2029;;;20090421;20090602;1150000;;R;RESIDENCE;1;;;0;AE764484;
C;209;2072279;23;20090706 01:32;1/SP8680;
D;209;2072279;23;20090706 01:32;P;;;;;;
D;209;2072279;23;20090706 01:32;P;;;;;;
D;209;2072279;23;20090706 01:32;V;;;;;;
D;209;2072279;23;20090706 01:32;V;;;;;;
B;209;2069678;24;20090706 01:32;;;609;OLD SOUTH HEAD RD;ROSE BAY;2029;556.4;M;20090505;20090603;1725000;A;R;RESIDENCE;;GP;;0;AE758837;
C;209;2069678;24;20090706 01:32;5/A/4185;
D;209;2069678;24;20090706 01:32;P;;;;;;
D;209;2069678;24;20090706 01:32;P;;;;;;
D;209;2069678;24;20090706 01:32;V;;;;;;
D;209;2069678;24;20090706 01:32;V;;;;;;
B;209;2078088;25;20090706 01:32;;;31 A;YANKO AVE;BRONTE;2024;826.8;M;20090515;20090519;1500000;A;R;RESIDENCE;;WS;;33;AE758003;
C;209;2078088;25;20090706 01:32;22/871252;
D;209;2078088;25;20090706 01:32;P;;;;;;
D;209;2078088;25;20090706 01:32;P;;;;;;
D;209;2078088;25;20090706 01:32;V;;;;;;
D;209;2078088;25;20090706 01:32;V;;;;;;
D;209;2078088;25;20090706 01:32;V;;;;;;
B;209;2064649;26;20090706 01:32;;;24;MACKENZIE ST;BONDI JUNCTION;2022;94.85;M;20090415;20090611;840000;A;R;RESIDENCE;;CP;;0;AE774502;
C;209;2064649;26;20090706 01:32;280/1012839;
D;209;2064649;26;20090706 01:32;P;;;;;;
D;209;2064649;26;20090706 01:32;P;;;;;;
D;209;2064649;26;20090706 01:32;V;;;;;;
B;209;2067673;27;20090706 01:32;;4;38;O'BRIEN ST;BONDI BEACH;2026;;;20090408;20090529;486000;;R;RESIDENCE;4;;;0;AE756508;
