A;103;20091221 01:11;VALNET;
B;103;1157709;1;20091221 01:11;;;46;HUME DR;HELENSBURGH;2508;455.3;M;20090925;20091116;460000;A;R;RESIDENCE;;AN;;0;AF168315;
C;103;1157709;1;20091221 01:11;851/752033;
D;103;1157709;1;20091221 01:11;P;;;;;;
D;103;1157709;1;20091221 01:11;P;;;;;;
D;103;1157709;1;20091221 01:11;V;;;;;;
D;103;1157709;1;20091221 01:11;V;;;;;;
B;103;1163368;2;20091221 01:11;;;120;KOLOONA AVE;MOUNT KEIRA;2500;556.4;M;20090930;20091125;270000;A;R;RESIDENCE;;DB;;0;AF162628;
C;103;1163368;2;20091221 01:11;141/211062;
D;103;1163368;2;20091221 01:11;P;;;;;;
D;103;1163368;2;20091221 01:11;V;;;;;;
D;103;1163368;2;20091221 01:11;V;;;;;;
B;103;1166028;3;20091221 01:11;;4;188;LAWRENCE HARGRAVE DR;THIRROUL;2515;;;20090910;20091023;230000;;R;RESIDENCE;4;;;0;AF160627;
C;103;1166028;3;20091221 01:11;4/SP44610;
D;103;1166028;3;20091221 01:11;P;;;;;;
D;103;1166028;3;20091221 01:11;V;;;;;;
B;103;1152621;4;20091221 01:11;;;15;GODOLPHIN ST;BULLI;2516;556.4;M;20090929;20091123;1130000;A;R;RESIDENCE;;CJ;;0;AF166571;
C;103;1152621;4;20091221 01:11;84/7525;
D;103;1152621;4;20091221 01:11;P;;;;;;
D;103;1152621;4;20091221 01:11;P;;;;;;
D;103;1152621;4;20091221 01:11;V;;;;;;
D;103;1152621;4;20091221 01:11;V;;;;;;
B;103;1152695;5;20091221 01:11;;;26;GOODRICH ST;SCARBOROUGH;2515;449;M;20090828;20091116;555000;A;R;RESIDENCE;;CB;;0;AF167724;
C;103;1152695;5;20091221 01:11;32/1082206;
D;103;1152695;5;20091221 01:11;P;;;;;;
D;103;1152695;5;20091221 01:11;V;;;;;;
B;103;1166342;6;20091221 01:11;;;755;LAWRENCE HARGRAVE DR;COLEDALE;2515;404.7;M;20091001;20091112;1100000;A;3;RESIDENCE & S;;CD;;0;AF160257;
C;103;1166342;6;20091221 01:11;9/998193;
D;103;1166342;6;20091221 01:11;P;;;;;;
D;103;1166342;6;20091221 01:11;P;;;;;;
D;103;1166342;6;20091221 01:11;V;;;;;;
D;103;1166342;6;20091221 01:11;V;;;;;;
B;103;1171690;7;20091221 01:11;;;14;MOUNTAIN AVE;WOONONA;2517;600.7;M;20090821;20091130;390000;A;R;RESIDENCE;;CJ;;0;AF172491;
C;103;1171690;7;20091221 01:11;15/21975;
D;103;1171690;7;20091221 01:11;P;;;;;;
D;103;1171690;7;20091221 01:11;P;;;;;;
D;103;1171690;7;20091221 01:11;V;;;;;;
B;103;1163742;8;20091221 01:11;;8;2 A;KULGOA RD;WOONONA;2517;;;20090924;20091123;240000;;R;RESIDENCE;8;;;0;AF158670;
C;103;1163742;8;20091221 01:11;8/SP17829;
D;103;1163742;8;20091221 01:11;P;;;;;;
D;103;1163742;8;20091221 01:11;V;;;;;;
D;103;1163742;8;20091221 01:11;V;;;;;;
B;103;1161124;9;20091221 01:11;;;43;KEERONG AVE;RUSSELL VALE;2517;645;M;20091008;20091120;410000;A;R;RESIDENCE;;CJ;;0;AF159019;
C;103;1161124;9;20091221 01:11;53/14390;
D;103;1161124;9;20091221 01:11;P;;;;;;
D;103;1161124;9;20091221 01:11;P;;;;;;
D;103;1161124;9;20091221 01:11;V;;;;;;
B;103;1172064;10;20091221 01:11;;;156;MOUNT KEIRA RD;MOUNT KEIRA;2500;600.7;M;20090930;20091112;352000;A;R;RESIDENCE;;DB;;0;AF125152;
C;103;1172064;10;20091221 01:11;PT 32/204570;
D;103;1172064;10;20091221 01:11;P;;;;;;
D;103;1172064;10;20091221 01:11;P;;;;;;
D;103;1172064;10;20091221 01:11;V;;;;;;
B;103;1169687;11;20091221 01:11;;;47;MATTHEWS ST;WOLLONGONG;2500;651.3;M;20090817;20091019;660000;A;R;RESIDENCE;;CY;;0;AF97186;
C;103;1169687;11;20091221 01:11;12/17806;
D;103;1169687;11;20091221 01:11;P;;;;;;
D;103;1169687;11;20091221 01:11;V;;;;;;
B;103;1169731;12;20091221 01:11;;5;12;MATTHEWS ST;WOLLONGONG;2500;;;20091027;20091126;215000;;R;RESIDENCE;5;;;0;AF164395;
C;103;1169731;12;20091221 01:11;5/SP34163;
D;103;1169731;12;20091221 01:11;P;;;;;;
D;103;1169731;12;20091221 01:11;P;;;;;;
D;103;1169731;12;20091221 01:11;V;;;;;;
B;103;1172779;13;20091221 01:11;;5;12;MURRAY RD;EAST CORRIMAL;2518;;;20091007;20091118;195000;;R;RESIDENCE;5;;;0;AF158946;
C;103;1172779;13;20091221 01:11;5/SP32137;
D;103;1172779;13;20091221 01:11;P;;;;;;
D;103;1172779;13;20091221 01:11;V;;;;;;
B;103;1191431;14;20091221 01:11;;7;45;SURFSIDE DR;PORT KEMBLA;2505;;;20091020;20091117;240000;;R;RESIDENCE;7;;;0;AF166509;
C;103;1191431;14;20091221 01:11;7/SP34605;
D;103;1191431;14;20091221 01:11;P;;;;;;
D;103;1191431;14;20091221 01:11;V;;;;;;
B;103;1191535;15;20091221 01:11;;;25;SUSSEX ST;BERKELEY;2506;657.6;M;20090914;20091127;210000;A;R;RESIDENCE;;DZ;;0;AF163895;
C;103;1191535;15;20091221 01:11;914/31902;
D;103;1191535;15;20091221 01:11;P;;;;;;
D;103;1191535;15;20091221 01:11;V;;;;;;
D;103;1191535;15;20091221 01:11;V;;;;;;
B;103;1191576;16;20091221 01:11;;;4;SUTHERLAND ST;HELENSBURGH;2508;1265;M;20090930;20091130;480000;A;R;RESIDENCE;;AN;;0;AF173820;
C;103;1191576;16;20091221 01:11;811/752033;
D;103;1191576;16;20091221 01:11;P;;;;;;
D;103;1191576;16;20091221 01:11;V;;;;;;
D;103;1191576;16;20091221 01:11;V;;;;;;
D;103;1191576;16;20091221 01:11;V;;;;;;
B;103;1197103;17;20091221 01:11;;;9;WATERLOO ST;BULLI;2516;689.2;M;20091015;20091127;607500;A;R;RESIDENCE;;CJ;;0;AF173645;
C;103;1197103;17;20091221 01:11;3/157029;
D;103;1197103;17;20091221 01:11;P;;;;;;
D;103;1197103;17;20091221 01:11;P;;;;;;
D;103;1197103;17;20091221 01:11;P;;;;;;
D;103;1197103;17;20091221 01:11;V;;;;;;
D;103;1197103;17;20091221 01:11;V;;;;;;
B;103;1184031;18;20091221 01:11;;;42;RISLEY RD;FIGTREE;2525;866.3;M;20091002;20091113;305000;A;R;RESIDENCE;;DC;;0;AF164020;
C;103;1184031;18;20091221 01:11;8/28351;
D;103;1184031;18;20091221 01:11;P;;;;;;
D;103;1184031;18;20091221 01:11;V;;;;;;
B;103;1192309;19;20091221 01:11;;;28;TARRAWANNA RD;CORRIMAL;2518;664.2;M;20091014;20091127;530000;A;R;RESIDENCE;;CS;;0;AF170358;
C;103;1192309;19;20091221 01:11;7/252009;
D;103;1192309;19;20091221 01:11;P;;;;;;
D;103;1192309;19;20091221 01:11;V;;;;;;
D;103;1192309;19;20091221 01:11;V;;;;;;
