A;003;20110124 02:02;VALNET;
B;003;2824297;1;20110124 02:02;;24;651;PACIFIC HWY;NARARA;2250;178;M;20101208;20101223;298000;;R;RESIDENCE;24;;;0;AF986854;
C;003;2824297;1;20110124 02:02;24/SP67012;
D;003;2824297;1;20110124 02:02;P;;;;;;
D;003;2824297;1;20110124 02:02;P;;;;;;
D;003;2824297;1;20110124 02:02;V;;;;;;
D;003;2824297;1;20110124 02:02;V;;;;;;
B;003;3385750;2;20110124 02:02;;29;218;WISEMANS FERRY RD;SOMERSBY;2250;;;20101202;20101221;269500;;3;INDUSTRIAL;29;;;0;AF991838;
C;003;3385750;2;20110124 02:02;29/SP80665;
D;003;3385750;2;20110124 02:02;P;;;;;;
D;003;3385750;2;20110124 02:02;V;;;;;;
B;003;3488561;3;20110124 02:02;;9;14;RUSSELL ST;EAST GOSFORD;2250;;;20100926;20101210;247000;;R;RESIDENCE;9;;;0;AF988025;
C;003;3488561;3;20110124 02:02;9/SP82933;
D;003;3488561;3;20110124 02:02;P;;;;;;
D;003;3488561;3;20110124 02:02;V;;;;;;
B;003;27381;4;20110124 02:02;;2;14;ARAKOON ST;KINCUMBER;2251;;;20101125;20101224;315000;;R;RESIDENCE;2;;;0;AF987333;
C;003;27381;4;20110124 02:02;2/SP41269;
D;003;27381;4;20110124 02:02;P;;;;;;
D;003;27381;4;20110124 02:02;P;;;;;;
D;003;27381;4;20110124 02:02;V;;;;;;
D;003;27381;4;20110124 02:02;V;;;;;;
B;003;25452;5;20110124 02:02;;;11;ADINA PL;WAMBERAL;2260;505.9;M;20101108;20101220;400000;A;R;RESIDENCE;;GT;;0;AF988734;
C;003;25452;5;20110124 02:02;10/226468;
D;003;25452;5;20110124 02:02;P;;;;;;
D;003;25452;5;20110124 02:02;P;;;;;;
D;003;25452;5;20110124 02:02;V;;;;;;
D;003;25452;5;20110124 02:02;V;;;;;;
B;003;26338;6;20110124 02:02;;;26;ALDINGA DR;WAMBERAL;2260;450.5;M;20101107;20101220;435500;A;R;RESIDENCE;;GT;;0;AF992587;
C;003;26338;6;20110124 02:02;2/702750;
D;003;26338;6;20110124 02:02;P;;;;;;
D;003;26338;6;20110124 02:02;P;;;;;;
D;003;26338;6;20110124 02:02;V;;;;;;
D;003;26338;6;20110124 02:02;V;;;;;;
