A;093;20110502 01:26;VALNET;
B;093;3427171;1;20110502 01:26;;2;111;AVALON PDE;AVALON;2107;;;20110222;20110418;1005000;;R;RESIDENCE;2;;;0;AG186399;
C;093;3427171;1;20110502 01:26;2/SP81429;
D;093;3427171;1;20110502 01:26;P;;;;;;
D;093;3427171;1;20110502 01:26;P;;;;;;
D;093;3427171;1;20110502 01:26;V;;;;;;
D;093;3427171;1;20110502 01:26;V;;;;;;
D;093;3427171;1;20110502 01:26;V;;;;;;
B;093;3537822;2;20110502 01:26;;;44 A;BASSETT ST;MONA VALE;2103;906;M;20101210;20110411;1568000;A;R;RESIDENCE;;HP;;0;AG189746;
C;093;3537822;2;20110502 01:26;1/1151017;
D;093;3537822;2;20110502 01:26;P;;;;;;
D;093;3537822;2;20110502 01:26;P;;;;;;
D;093;3537822;2;20110502 01:26;V;;;;;;
B;093;978517;3;20110502 01:26;;;745;BARRENJOEY RD;AVALON;2107;676.6;M;20110301;20110412;800000;A;R;RESIDENCE;;HM;;0;AG184221;
C;093;978517;3;20110502 01:26;22/12074;
D;093;978517;3;20110502 01:26;P;;;;;;
D;093;978517;3;20110502 01:26;P;;;;;;
D;093;978517;3;20110502 01:26;V;;;;;;
D;093;978517;3;20110502 01:26;V;;;;;;
B;093;978659;4;20110502 01:26;;14;41;FOAMCREST AVE;NEWPORT;2106;;;20110303;20110414;613000;;3;HOME UNIT;14;;;0;AG188750;
C;093;978659;4;20110502 01:26;14/SP42869;
D;093;978659;4;20110502 01:26;P;;;;;;
D;093;978659;4;20110502 01:26;V;;;;;;
D;093;978659;4;20110502 01:26;V;;;;;;
B;093;997637;5;20110502 01:26;;;9;WATERVIEW ST;MONA VALE;2103;562.8;M;20110303;20110415;840000;A;R;RESIDENCE;;HQ;;0;AG192184;
C;093;997637;5;20110502 01:26;C/102972;
D;093;997637;5;20110502 01:26;P;;;;;;
D;093;997637;5;20110502 01:26;P;;;;;;
D;093;997637;5;20110502 01:26;V;;;;;;
B;093;977122;6;20110502 01:26;;5;5;AVALON PDE;AVALON;2107;;;20110304;20110408;870000;;R;RESIDENCE;5;;;0;AG188447;
C;093;977122;6;20110502 01:26;5/SP1558;
D;093;977122;6;20110502 01:26;P;;;;;;
D;093;977122;6;20110502 01:26;V;;;;;;
D;093;977122;6;20110502 01:26;V;;;;;;
B;093;982690;7;20110502 01:26;;5;33;ELAINE AVE;AVALON;2107;;;20110302;20110413;502000;;R;RESIDENCE;5;;;0;AG185193;
C;093;982690;7;20110502 01:26;5/SP2611;
D;093;982690;7;20110502 01:26;P;;;;;;
D;093;982690;7;20110502 01:26;V;;;;;;
B;093;998613;8;20110502 01:26;;;16;WOLLSTONECRAFT AVE;AVALON;2107;765.1;M;20100917;20110211;1170000;A;3;HOUSE;;HM;;0;AG190822;
C;093;998613;8;20110502 01:26;84/12074;
D;093;998613;8;20110502 01:26;P;;;;;;
D;093;998613;8;20110502 01:26;P;;;;;;
D;093;998613;8;20110502 01:26;V;;;;;;
D;093;998613;8;20110502 01:26;V;;;;;;
B;093;980785;9;20110502 01:26;;;18;CAPUA PL;AVALON;2107;727.2;M;20110121;20110412;820000;A;R;RESIDENCE;;HM;;0;AG184101;
C;093;980785;9;20110502 01:26;20/219898;
D;093;980785;9;20110502 01:26;P;;;;;;
D;093;980785;9;20110502 01:26;P;;;;;;
D;093;980785;9;20110502 01:26;V;;;;;;
D;093;980785;9;20110502 01:26;V;;;;;;
B;093;991514;10;20110502 01:26;;;1562;PITTWATER RD;MONA VALE;2103;607;M;20110415;20110415;245000;A;R;RESIDENCE;;HT;;34;AG191871;
C;093;991514;10;20110502 01:26;37/16692;
D;093;991514;10;20110502 01:26;P;;;;;;
D;093;991514;10;20110502 01:26;P;;;;;;
D;093;991514;10;20110502 01:26;V;;;;;;
D;093;991514;10;20110502 01:26;V;;;;;;
D;093;991514;10;20110502 01:26;V;;;;;;
D;093;991514;10;20110502 01:26;V;;;;;;
D;093;991514;10;20110502 01:26;V;;;;;;
D;093;991514;10;20110502 01:26;V;;;;;;
D;093;991514;10;20110502 01:26;V;;;;;;
D;093;991514;10;20110502 01:26;V;;;;;;
B;093;3199998;11;20110502 01:26;;;3;COCKATOO WAY;WARRIEWOOD;2102;451.5;M;20110205;20110331;845000;A;3;TOWNHOUSE;;HB;;0;AG191469;
C;093;3199998;11;20110502 01:26;1507/1077187;
D;093;3199998;11;20110502 01:26;P;;;;;;
D;093;3199998;11;20110502 01:26;P;;;;;;
D;093;3199998;11;20110502 01:26;V;;;;;;
D;093;3199998;11;20110502 01:26;V;;;;;;
Z;69;11;11;45;
