A;043;20110307 01:49;VALNET;
B;043;477937;1;20110307 01:49;ALLENDALE;;;HOLY CAMP RD;GRENFELL;2810;441.9;H;20101027;20101215;162500;R;3;RURAL;;RE;;0;AG85898;
C;043;477937;1;20110307 01:49;1/100103 110/650577 1/938428;
D;043;477937;1;20110307 01:49;P;;;;;;
D;043;477937;1;20110307 01:49;P;;;;;;
D;043;477937;1;20110307 01:49;V;;;;;;
D;043;477937;1;20110307 01:49;V;;;;;;
D;043;477937;1;20110307 01:49;V;;;;;;
D;043;477937;1;20110307 01:49;V;;;;;;
D;043;477937;1;20110307 01:49;V;;;;;;
B;043;478096;2;20110307 01:49;;;12;SECOND ST;QUANDIALLA;2721;1100;M;20101126;20101222;7100;A;V;VACANT LAND;;AQ;;0;AG57862;
C;043;478096;2;20110307 01:49;6/2/7763;
D;043;478096;2;20110307 01:49;P;;;;;;
D;043;478096;2;20110307 01:49;P;;;;;;
D;043;478096;2;20110307 01:49;V;;;;;;
B;043;3565958;3;20110307 01:49;;;LOT 1 DP11;BALD HILLS ROAD;GRENFELL;2810;1.85;H;20110121;20110121;630;;V;VACANT LAND;;;;0;AG61654;
C;043;3565958;3;20110307 01:49;;
D;043;3565958;3;20110307 01:49;P;;;;;;
D;043;3565958;3;20110307 01:49;P;;;;;;
D;043;3565958;3;20110307 01:49;V;;;;;;
Z;21;3;3;13;
