A;608;20110314 01:49;VALNET;
B;608;1208532;1;20110314 01:49;;20;99;RANKIN ST;BATHURST;2795;;;20110125;20110223;122500;;R;RESIDENCE;20;;;0;AG88991;
C;608;1208532;1;20110314 01:49;20/SP20973;
D;608;1208532;1;20110314 01:49;P;;;;;;
D;608;1208532;1;20110314 01:49;V;;;;;;
B;608;1203373;2;20110314 01:49;;;79;EGLINTON RD;ABERCROMBIE;2795;904.8;M;20101124;20101124;500;R;V;VACANT LAND;;CA;;0;AG52455;
C;608;1203373;2;20110314 01:49;1001/1151447;
D;608;1203373;2;20110314 01:49;P;;;;;;
D;608;1203373;2;20110314 01:49;P;;;;;;
D;608;1203373;2;20110314 01:49;P;;;;;;
D;608;1203373;2;20110314 01:49;P;;;;;;
D;608;1203373;2;20110314 01:49;V;;;;;;
D;608;1203373;2;20110314 01:49;V;;;;;;
D;608;1203373;2;20110314 01:49;V;;;;;;
D;608;1203373;2;20110314 01:49;V;;;;;;
D;608;1203373;2;20110314 01:49;V;;;;;;
D;608;1203373;2;20110314 01:49;V;;;;;;
D;608;1203373;2;20110314 01:49;V;;;;;;
D;608;1203373;2;20110314 01:49;V;;;;;;
D;608;1203373;2;20110314 01:49;V;;;;;;
B;608;1206070;3;20110314 01:49;;8;277;LAMBERT ST;BATHURST;2795;169;M;20110117;20110221;202000;;3;STRATA UNIT;8;;;0;AG107294;
C;608;1206070;3;20110314 01:49;8/SP20583;
D;608;1206070;3;20110314 01:49;P;;;;;;
D;608;1206070;3;20110314 01:49;V;;;;;;
B;608;1208721;4;20110314 01:49;;;3;RIVETT PL;KELSO;2795;257.4;M;20110113;20110209;150000;A;R;RESIDENCE;;AV;;0;AG105209;
C;608;1208721;4;20110314 01:49;11/813725;
D;608;1208721;4;20110314 01:49;P;;;;;;
D;608;1208721;4;20110314 01:49;P;;;;;;
D;608;1208721;4;20110314 01:49;V;;;;;;
D;608;1208721;4;20110314 01:49;V;;;;;;
B;608;1206240;5;20110314 01:49;;;12;LARSON ST;WEST BATHURST;2795;562.7;M;20110113;20110224;210000;A;R;RESIDENCE;;AG;;0;AG91285;
C;608;1206240;5;20110314 01:49;5/157/758065;
D;608;1206240;5;20110314 01:49;P;;;;;;
D;608;1206240;5;20110314 01:49;P;;;;;;
D;608;1206240;5;20110314 01:49;V;;;;;;
D;608;1206240;5;20110314 01:49;V;;;;;;
B;608;1208933;6;20110314 01:49;;2;145;ROCKET ST;BATHURST;2795;;;20110204;20110302;150000;;R;RESIDENCE;2;;;0;AG104202;
C;608;1208933;6;20110314 01:49;2/SP1978;
D;608;1208933;6;20110314 01:49;P;;;;;;
D;608;1208933;6;20110314 01:49;V;;;;;;
B;608;1208933;7;20110314 01:49;;8;145;ROCKET ST;BATHURST;2795;;;20110204;20110302;150000;;R;RESIDENCE;8;;;0;AG104202;
C;608;1208933;7;20110314 01:49;8/SP1978;
D;608;1208933;7;20110314 01:49;P;;;;;;
D;608;1208933;7;20110314 01:49;V;;;;;;
B;608;1208952;8;20110314 01:49;;;97;ROCKET ST;BATHURST;2795;616.6;M;20110121;20110225;278000;A;R;RESIDENCE;;AC;;0;AG97380;
C;608;1208952;8;20110314 01:49;1/844778;
D;608;1208952;8;20110314 01:49;P;;;;;;
D;608;1208952;8;20110314 01:49;P;;;;;;
D;608;1208952;8;20110314 01:49;V;;;;;;
B;608;1203917;9;20110314 01:49;;7;110;GEORGE ST;BATHURST;2795;;;20101209;20110112;116000;;R;RESIDENCE;7;;;0;AG95096;
C;608;1203917;9;20110314 01:49;7/SP21322;
D;608;1203917;9;20110314 01:49;P;;;;;;
D;608;1203917;9;20110314 01:49;P;;;;;;
D;608;1203917;9;20110314 01:49;V;;;;;;
B;608;1209509;10;20110314 01:49;;1;161;SEYMOUR ST;BATHURST;2795;;;20110121;20110225;223000;;R;RESIDENCE;1;;;0;AG102208;
C;608;1209509;10;20110314 01:49;1/SP38446;
D;608;1209509;10;20110314 01:49;P;;;;;;
D;608;1209509;10;20110314 01:49;V;;;;;;
B;608;1212367;11;20110314 01:49;;;15;GODFREY ST;RAGLAN;2795;5292;M;20101125;20110209;490000;A;R;RESIDENCE;;AR;;0;AG95140;
