A;RTSALEDATA;232;20140203 01:25;VALNET;
B;232;3392171;1;20140203 01:25;;;;MOONAGEE RD;NYNGAN;2825;203.22;H;20131209;20140121;300000;RU1;3;RURAL;;RVV;;0;AI325266;
C;232;3392171;1;20140203 01:25;18, 83, 102, 103/753420;
D;232;3392171;1;20140203 01:25;P;;;;;;
D;232;3392171;1;20140203 01:25;P;;;;;;
D;232;3392171;1;20140203 01:25;V;;;;;;
D;232;3392171;1;20140203 01:25;V;;;;;;
B;232;3750342;2;20140203 01:25;;;;;GIRILAMBONE;2831;59.76;H;20100309;20131213;1016;;V;VACANT LAND;;;;0;AI300314;
C;232;3750342;2;20140203 01:25;1, 2/1181448;
D;232;3750342;2;20140203 01:25;P;;;;;;
D;232;3750342;2;20140203 01:25;P;;;;;;
D;232;3750342;2;20140203 01:25;V;;;;;;
Z;13;2;2;7;
