A;216;20101206 03:07;VALNET;
B;216;3483603;1;20101206 03:07;;;292;GREAT WESTERN HWY;LAWSON;2783;494;M;20081111;20100827;91400;B;V;VACANT LAND;;CA;;0;AF853617;
C;216;3483603;1;20101206 03:07;7/1149116;
D;216;3483603;1;20101206 03:07;P;;;;;;
D;216;3483603;1;20101206 03:07;V;;;;;;
D;216;3483603;1;20101206 03:07;V;;;;;;
B;216;2993417;2;20101206 03:07;MAPLE GROVE ESTATE;;46;SEIBERI CL;BLACKHEATH;2785;1901;M;20101029;20101029;430000;A;R;RESIDENCE;;BA;;0;AF890664;
C;216;2993417;2;20101206 03:07;14/285791;
D;216;2993417;2;20101206 03:07;P;;;;;;
D;216;2993417;2;20101206 03:07;P;;;;;;
D;216;2993417;2;20101206 03:07;P;;;;;;
D;216;2993417;2;20101206 03:07;P;;;;;;
D;216;2993417;2;20101206 03:07;V;;;;;;
D;216;2993417;2;20101206 03:07;V;;;;;;
B;216;3547795;3;20101206 03:07;;;48;FAIRY DELL RD;MOUNT VICTORIA;2786;577.6;M;20100928;20100928;18181;;3;VACANT LAND (NOW 2/1;;;;0;AF810651;
C;216;3547795;3;20101206 03:07;2/1140103;
D;216;3547795;3;20101206 03:07;P;;;;;;
D;216;3547795;3;20101206 03:07;P;;;;;;
D;216;3547795;3;20101206 03:07;V;;;;;;
D;216;3547795;3;20101206 03:07;V;;;;;;
D;216;3547795;3;20101206 03:07;V;;;;;;
D;216;3547795;3;20101206 03:07;V;;;;;;
D;216;3547795;3;20101206 03:07;V;;;;;;
B;216;2264575;4;20101206 03:07;;;;FIVE MILE CREEK RD;MEGALONG VALLEY;2785;12.63;H;20101010;20101122;1850000;R;3;FARM;;ME;;0;AF903680;
C;216;2264575;4;20101206 03:07;169/751647;
D;216;2264575;4;20101206 03:07;P;;;;;;
D;216;2264575;4;20101206 03:07;V;;;;;;
B;216;2256816;5;20101206 03:07;;;135;BURRAWANG ST;KATOOMBA;2780;828.4;M;20100917;20101110;285000;A;R;RESIDENCE;;KS;;0;AF903227;
C;216;2256816;5;20101206 03:07;8/L2/2060;
D;216;2256816;5;20101206 03:07;P;;;;;;
D;216;2256816;5;20101206 03:07;P;;;;;;
D;216;2256816;5;20101206 03:07;V;;;;;;
D;216;2256816;5;20101206 03:07;V;;;;;;
B;216;2256818;6;20101206 03:07;;;85;BURRAWANG ST;KATOOMBA;2780;1.33;H;20101006;20101122;500000;A;V;VACANT LAND;;KS;;0;AF891412;
C;216;2256818;6;20101206 03:07;3/593545;
D;216;2256818;6;20101206 03:07;P;;;;;;
D;216;2256818;6;20101206 03:07;V;;;;;;
B;216;2243515;7;20101206 03:07;;;32;CLARENCE RD;BLACKHEATH;2785;777.8;M;20100917;20101123;445000;A;R;RESIDENCE;;BA;;0;AF905054;
C;216;2243515;7;20101206 03:07;8/8314;
D;216;2243515;7;20101206 03:07;P;;;;;;
D;216;2243515;7;20101206 03:07;P;;;;;;
D;216;2243515;7;20101206 03:07;V;;;;;;
D;216;2243515;7;20101206 03:07;V;;;;;;
B;216;2248837;8;20101206 03:07;;;22;WILSON WAY;BLAXLAND;2774;695.6;M;20101001;20101112;335000;A;R;RESIDENCE;;BR;;0;AF898573;
C;216;2248837;8;20101206 03:07;19/13923;
D;216;2248837;8;20101206 03:07;P;;;;;;
D;216;2248837;8;20101206 03:07;P;;;;;;
D;216;2248837;8;20101206 03:07;V;;;;;;
D;216;2248837;8;20101206 03:07;V;;;;;;
B;216;2254304;9;20101206 03:07;;;19;HILLTOP AVE;HAZELBROOK;2779;455.3;M;20100908;20101020;35000;A;R;RESIDENCE;;LH;;0;AF864331;
C;216;2254304;9;20101206 03:07;13/10759;
D;216;2254304;9;20101206 03:07;P;;;;;;
D;216;2254304;9;20101206 03:07;P;;;;;;
D;216;2254304;9;20101206 03:07;V;;;;;;
D;216;2254304;9;20101206 03:07;V;;;;;;
B;216;2256888;10;20101206 03:07;;;72;CASCADE ST;KATOOMBA;2780;543.8;M;20101001;20101115;355000;A;R;RESIDENCE;;KS;;0;AF892468;
C;216;2256888;10;20101206 03:07;C/412986;
D;216;2256888;10;20101206 03:07;P;;;;;;
D;216;2256888;10;20101206 03:07;P;;;;;;
D;216;2256888;10;20101206 03:07;V;;;;;;
B;216;2262306;11;20101206 03:07;;;44;GROSE ST;LEURA;2780;578.88;M;20101022;20101122;362000;A;R;RESIDENCE;;KL;;0;AF911587;
C;216;2262306;11;20101206 03:07;A/391146;
D;216;2262306;11;20101206 03:07;P;;;;;;
D;216;2262306;11;20101206 03:07;V;;;;;;
B;216;2254454;12;20101206 03:07;;;24;LIGGINS RD;HAZELBROOK;2779;720.8;M;20101006;20101108;285000;A;R;RESIDENCE;;LH;;0;AF877120;
C;216;2254454;12;20101206 03:07;49/25324;
D;216;2254454;12;20101206 03:07;P;;;;;;
D;216;2254454;12;20101206 03:07;V;;;;;;
B;216;2262644;13;20101206 03:07;;;32;KURRAWANG ST;LEURA;2780;2023;M;20100817;20101117;652000;A;R;RESIDENCE;;KL;;0;AF903895;
C;216;2262644;13;20101206 03:07;2/209908;
D;216;2262644;13;20101206 03:07;P;;;;;;
D;216;2262644;13;20101206 03:07;P;;;;;;
D;216;2262644;13;20101206 03:07;V;;;;;;
D;216;2262644;13;20101206 03:07;V;;;;;;
B;216;2267880;14;20101206 03:07;;;10;ELLISON RD;SPRINGWOOD;2777;1366;M;20100930;20101111;496000;A;3;HOUSE;;SN;;0;AF901040;
C;216;2267880;14;20101206 03:07;1/26051;
D;216;2267880;14;20101206 03:07;P;;;;;;
D;216;2267880;14;20101206 03:07;P;;;;;;
D;216;2267880;14;20101206 03:07;V;;;;;;
D;216;2267880;14;20101206 03:07;V;;;;;;
B;216;2267994;15;20101206 03:07;;;90;FARM RD;SPRINGWOOD;2777;696.9;M;20101006;20101119;465000;A;R;RESIDENCE;;SS;;0;AF897896;
C;216;2267994;15;20101206 03:07;552/248497;
D;216;2267994;15;20101206 03:07;P;;;;;;
D;216;2267994;15;20101206 03:07;P;;;;;;
D;216;2267994;15;20101206 03:07;V;;;;;;
B;216;2246718;16;20101206 03:07;;;29;CATHY ST;BLAXLAND;2774;600.7;M;20101019;20101019;74000;A;R;RESIDENCE;;BB;;0;AF887788;
C;216;2246718;16;20101206 03:07;227/28573;
D;216;2246718;16;20101206 03:07;P;;;;;;
D;216;2246718;16;20101206 03:07;P;;;;;;
D;216;2246718;16;20101206 03:07;V;;;;;;
D;216;2246718;16;20101206 03:07;V;;;;;;
D;216;2246718;16;20101206 03:07;V;;;;;;
D;216;2246718;16;20101206 03:07;V;;;;;;
B;216;2252132;17;20101206 03:07;;;22;KEDRON ST;GLENBROOK;2773;733.5;M;20101021;20101115;800000;A;R;RESIDENCE;;BG;;0;AF894830;
C;216;2252132;17;20101206 03:07;119/14954;
D;216;2252132;17;20101206 03:07;P;;;;;;
D;216;2252132;17;20101206 03:07;P;;;;;;
D;216;2252132;17;20101206 03:07;V;;;;;;
B;216;2265581;18;20101206 03:07;;;26;ROGER CRES;MOUNT RIVERVIEW;2774;600.7;M;20101002;20101115;520000;A;R;RESIDENCE;;BM;;0;AF901037;
C;216;2265581;18;20101206 03:07;28/27676;
D;216;2265581;18;20101206 03:07;P;;;;;;
D;216;2265581;18;20101206 03:07;P;;;;;;
D;216;2265581;18;20101206 03:07;V;;;;;;
D;216;2265581;18;20101206 03:07;V;;;;;;
B;216;2252577;19;20101206 03:07;;;15;MOUNT ST;GLENBROOK;2773;638.6;M;20101020;20101115;425000;A;R;RESIDENCE;;BG;;0;AF899047;
C;216;2252577;19;20101206 03:07;72/31410;
D;216;2252577;19;20101206 03:07;P;;;;;;
D;216;2252577;19;20101206 03:07;P;;;;;;
D;216;2252577;19;20101206 03:07;V;;;;;;
D;216;2252577;19;20101206 03:07;V;;;;;;
B;216;2255329;20;20101206 03:07;;;94;WINBOURNE RD;HAZELBROOK;2779;1027;M;20101015;20101115;560000;A;R;RESIDENCE;;LH;;0;AF897225;
C;216;2255329;20;20101206 03:07;21/746213;
D;216;2255329;20;20101206 03:07;P;;;;;;
D;216;2255329;20;20101206 03:07;P;;;;;;
D;216;2255329;20;20101206 03:07;V;;;;;;
B;216;2268664;21;20101206 03:07;;;22;LINKSVIEW RD;SPRINGWOOD;2777;834.7;M;20100927;20101108;448000;A;R;RESIDENCE;;SN;;0;AF894279;
C;216;2268664;21;20101206 03:07;8/237915;
D;216;2268664;21;20101206 03:07;P;;;;;;
D;216;2268664;21;20101206 03:07;P;;;;;;
D;216;2268664;21;20101206 03:07;V;;;;;;
D;216;2268664;21;20101206 03:07;V;;;;;;
B;216;2271252;22;20101206 03:07;;;10;SPURWOOD RD;WARRIMOO;2774;1404;M;20101005;20101116;335000;A;R;RESIDENCE;;BW;;0;AF902382;
C;216;2271252;22;20101206 03:07;56/13669;
D;216;2271252;22;20101206 03:07;P;;;;;;
D;216;2271252;22;20101206 03:07;P;;;;;;
D;216;2271252;22;20101206 03:07;V;;;;;;
B;216;2271269;23;20101206 03:07;;;44;SPURWOOD RD;WARRIMOO;2774;1081;M;20101022;20101105;365000;A;R;RESIDENCE;;BW;;0;AF894451;
C;216;2271269;23;20101206 03:07;73/13669;
D;216;2271269;23;20101206 03:07;P;;;;;;
D;216;2271269;23;20101206 03:07;P;;;;;;
D;216;2271269;23;20101206 03:07;V;;;;;;
B;216;2244717;24;20101206 03:07;;;186;HAT HILL RD;BLACKHEATH;2785;2023;M;20101005;20101122;258000;A;R;RESIDENCE;;BA;;0;AF902519;
C;216;2244717;24;20101206 03:07;1/913328;
D;216;2244717;24;20101206 03:07;P;;;;;;
D;216;2244717;24;20101206 03:07;V;;;;;;
D;216;2244717;24;20101206 03:07;V;;;;;;
B;216;2255334;25;20101206 03:07;;;82;WINBOURNE RD;HAZELBROOK;2779;1486;M;20100922;20101101;415000;A;R;RESIDENCE;;LH;;0;AF892781;
C;216;2255334;25;20101206 03:07;1/210063;
D;216;2255334;25;20101206 03:07;P;;;;;;
D;216;2255334;25;20101206 03:07;P;;;;;;
D;216;2255334;25;20101206 03:07;V;;;;;;
D;216;2255334;25;20101206 03:07;V;;;;;;
B;216;2252869;26;20101206 03:08;;11;24;ROSS ST;GLENBROOK;2773;;;20101001;20101105;320000;;R;RESIDENCE;11;;;0;AF898536;
C;216;2252869;26;20101206 03:08;11/SP12795;
D;216;2252869;26;20101206 03:08;P;;;;;;
D;216;2252869;26;20101206 03:08;P;;;;;;
D;216;2252869;26;20101206 03:08;V;;;;;;
D;216;2252869;26;20101206 03:08;V;;;;;;
B;216;2258450;27;20101206 03:08;;;21;LOVEL ST;KATOOMBA;2780;819.57;M;20101011;20101026;330000;A;R;RESIDENCE;;KS;;0;AF893399;
C;216;2258450;27;20101206 03:08;3/23926;
D;216;2258450;27;20101206 03:08;P;;;;;;
D;216;2258450;27;20101206 03:08;P;;;;;;
D;216;2258450;27;20101206 03:08;V;;;;;;
D;216;2258450;27;20101206 03:08;V;;;;;;
B;216;2258489;28;20101206 03:08;WINDSOR COURT;7;58;LURLINE ST;KATOOMBA;2780;;;20101001;20101112;235000;;R;RESIDENCE;7;;;0;AF896372;
C;216;2258489;28;20101206 03:08;7/SP19179;
D;216;2258489;28;20101206 03:08;P;;;;;;
D;216;2258489;28;20101206 03:08;V;;;;;;
B;216;2266481;29;20101206 03:08;THE GRANGE;;48;SELSDON ST;MOUNT VICTORIA;2786;34.05;H;20100928;20100928;18181;R;3;VACANT LAND (NOW 2/1;;MX;;0;AF810651;
C;216;2266481;29;20101206 03:08;2/551933;
D;216;2266481;29;20101206 03:08;P;;;;;;
D;216;2266481;29;20101206 03:08;P;;;;;;
D;216;2266481;29;20101206 03:08;V;;;;;;
B;216;2274809;30;20101206 03:08;;;53;BIRDWOOD AVE;WINMALEE;2777;853.6;M;20101012;20101116;380000;A;R;RESIDENCE;;SW;;0;AF895413;
C;216;2274809;30;20101206 03:08;41/201146;
D;216;2274809;30;20101206 03:08;P;;;;;;
D;216;2274809;30;20101206 03:08;P;;;;;;
D;216;2274809;30;20101206 03:08;P;;;;;;
D;216;2274809;30;20101206 03:08;V;;;;;;
D;216;2274809;30;20101206 03:08;V;;;;;;
B;216;2247883;31;20101206 03:08;;;64;MURPHY ST;BLAXLAND;2774;716.2;M;20100929;20101111;329000;A;R;RESIDENCE;;BB;;0;AF899062;
C;216;2247883;31;20101206 03:08;56/25895;
D;216;2247883;31;20101206 03:08;P;;;;;;
D;216;2247883;31;20101206 03:08;V;;;;;;
D;216;2247883;31;20101206 03:08;V;;;;;;
B;216;2269253;32;20101206 03:08;;;69;PATERSON RD;SPRINGWOOD;2777;7830;M;20101005;20101122;537500;A;R;RESIDENCE;;SN;;0;AF906486;
C;216;2269253;32;20101206 03:08;3/804142;
D;216;2269253;32;20101206 03:08;P;;;;;;
D;216;2269253;32;20101206 03:08;P;;;;;;
D;216;2269253;32;20101206 03:08;V;;;;;;
B;216;2258769;33;20101206 03:08;;;4;MERRIWA ST;KATOOMBA;2780;581.7;M;20101007;20101118;260000;S;R;RESIDENCE;;ED;;0;AF899246;
C;216;2258769;33;20101206 03:08;1/124212;
D;216;2258769;33;20101206 03:08;P;;;;;;
D;216;2258769;33;20101206 03:08;V;;;;;;
B;216;2258810;34;20101206 03:08;;;13;MERRIWA ST;KATOOMBA;2780;486.9;M;20101021;20101118;375000;A;R;RESIDENCE;;KS;;0;AF907523;
C;216;2258810;34;20101206 03:08;A/102587;
D;216;2258810;34;20101206 03:08;P;;;;;;
D;216;2258810;34;20101206 03:08;V;;;;;;
B;216;2269498;35;20101206 03:08;;;44;PLATEAU RD;SPRINGWOOD;2777;1626;M;20100826;20101118;250000;A;V;VACANT LAND;;SN;;0;AF905105;
C;216;2269498;35;20101206 03:08;18/8901;
D;216;2269498;35;20101206 03:08;P;;;;;;
D;216;2269498;35;20101206 03:08;P;;;;;;
D;216;2269498;35;20101206 03:08;P;;;;;;
D;216;2269498;35;20101206 03:08;P;;;;;;
D;216;2269498;35;20101206 03:08;V;;;;;;
