A;100;20100830 03:48;VALNET;
B;100;2882867;1;20100830 03:48;;;32;GREEN CRES;SHELL COVE;2529;671.5;M;20100707;20100813;550000;A;R;RESIDENCE;;DD;;0;AF708377;
C;100;2882867;1;20100830 03:48;4404/1033928;
D;100;2882867;1;20100830 03:48;P;;;;;;
D;100;2882867;1;20100830 03:48;P;;;;;;
D;100;2882867;1;20100830 03:48;V;;;;;;
D;100;2882867;1;20100830 03:48;V;;;;;;
B;100;3392492;2;20100830 03:48;;;15;COOLUM PKWY;SHELL COVE;2529;480.5;M;20100526;20100721;265000;A;V;VACANT LAND;;DD;;0;AF666908;
C;100;3392492;2;20100830 03:48;6419/1127093;
D;100;3392492;2;20100830 03:48;P;;;;;;
D;100;3392492;2;20100830 03:48;P;;;;;;
D;100;3392492;2;20100830 03:48;V;;;;;;
B;100;3427595;3;20100830 03:48;;3;12;BEVERLEY AVE;WARILLA;2528;;;20100701;20100722;230000;;R;RESIDENCE;3;;;0;AF689865;
C;100;3427595;3;20100830 03:48;3/SP81636;
D;100;3427595;3;20100830 03:48;P;;;;;;
D;100;3427595;3;20100830 03:48;V;;;;;;
D;100;3427595;3;20100830 03:48;V;;;;;;
B;100;3497950;4;20100830 03:48;;;15;RACHEL AVE;FLINDERS;2529;847.1;M;20100510;20100617;162000;A;V;VACANT LAND;;DJ;;0;AF640546;
C;100;3497950;4;20100830 03:48;243/1146607;
D;100;3497950;4;20100830 03:48;P;;;;;;
D;100;3497950;4;20100830 03:48;P;;;;;;
D;100;3497950;4;20100830 03:48;V;;;;;;
B;100;3496507;5;20100830 03:48;;;7;JEMIMA CL;FLINDERS;2529;836.3;M;20100610;20100805;256000;A;V;VACANT LAND;;DJ;;0;AF700195;
C;100;3496507;5;20100830 03:48;302/1146599;
D;100;3496507;5;20100830 03:48;P;;;;;;
D;100;3496507;5;20100830 03:48;P;;;;;;
D;100;3496507;5;20100830 03:48;V;;;;;;
D;100;3496507;5;20100830 03:48;V;;;;;;
B;100;2985513;6;20100830 03:48;;;10;HAYMAN CRES;SHELL COVE;2529;549;M;20100730;20100813;249500;A;V;VACANT LAND;;DD;;0;AF699334;
C;100;2985513;6;20100830 03:48;5236/1050004;
D;100;2985513;6;20100830 03:48;P;;;;;;
D;100;2985513;6;20100830 03:48;P;;;;;;
D;100;2985513;6;20100830 03:48;V;;;;;;
B;100;3139510;7;20100830 03:48;;;1;MENINDEE CL;FLINDERS;2529;345;M;20100625;20100806;422000;A;R;RESIDENCE;;DJ;;0;AF699912;
C;100;3139510;7;20100830 03:48;2/1076467;
D;100;3139510;7;20100830 03:48;P;;;;;;
D;100;3139510;7;20100830 03:48;V;;;;;;
D;100;3139510;7;20100830 03:48;V;;;;;;
B;100;3530305;8;20100830 03:48;;;2 A;EDWARD ST;BARRACK HEIGHTS;2528;288.8;M;20100603;20100817;425000;A;R;RESIDENCE;;ES;;0;AF707061;
C;100;3530305;8;20100830 03:48;1/1154564;
D;100;3530305;8;20100830 03:48;P;;;;;;
D;100;3530305;8;20100830 03:48;V;;;;;;
D;100;3530305;8;20100830 03:48;V;;;;;;
D;100;3530305;8;20100830 03:48;V;;;;;;
B;100;3518370;9;20100830 03:48;;;42;BARAGOOT RD;FLINDERS;2529;433.6;M;20100625;20100806;429000;A;R;RESIDENCE;;DJ;;0;AF698810;
C;100;3518370;9;20100830 03:48;1/1151928;
D;100;3518370;9;20100830 03:48;P;;;;;;
D;100;3518370;9;20100830 03:48;P;;;;;;
D;100;3518370;9;20100830 03:48;V;;;;;;
B;100;3529081;10;20100830 03:48;;;10;CARINMONEY AVE;WARILLA;2528;;;20100514;20100811;385000;;R;RESIDENCE;2;;;0;AF702158;
C;100;3529081;10;20100830 03:48;2/SP84056;
D;100;3529081;10;20100830 03:48;P;;;;;;
D;100;3529081;10;20100830 03:48;P;;;;;;
D;100;3529081;10;20100830 03:48;V;;;;;;
D;100;3529081;10;20100830 03:48;V;;;;;;
B;100;3534818;11;20100830 03:48;;;;CREOLE RD;ALBION PARK RAIL;2527;9350;M;20100308;20100422;475000;;3;VACANT - $ OF PT 123;;;;0;AF639908;
C;100;3534818;11;20100830 03:48;;
D;100;3534818;11;20100830 03:48;P;;;;;;
D;100;3534818;11;20100830 03:48;V;;;;;;
B;100;3527977;12;20100830 03:48;;4;53;HUNTINGDALE CL;SHELL COVE;2529;274;M;20100517;20100805;468000;;R;RESIDENCE;4;;;0;AF702303;
C;100;3527977;12;20100830 03:48;4/SP83968;
D;100;3527977;12;20100830 03:48;P;;;;;;
D;100;3527977;12;20100830 03:48;P;;;;;;
D;100;3527977;12;20100830 03:48;V;;;;;;
D;100;3527977;12;20100830 03:48;V;;;;;;
B;100;1032237;13;20100830 03:48;;;72;BARTON ST;OAK FLATS;2529;695.5;M;20100617;20100715;337000;A;R;RESIDENCE;;EA;;0;AF697059;
C;100;1032237;13;20100830 03:48;259/B/13638;
D;100;1032237;13;20100830 03:48;P;;;;;;
D;100;1032237;13;20100830 03:48;P;;;;;;
D;100;1032237;13;20100830 03:48;V;;;;;;
B;100;1045055;14;20100830 03:48;;;12;O'REILLY ST;WARILLA;2528;569;M;20100628;20100809;270000;A;R;RESIDENCE;;EJ;;0;AF695694;
C;100;1045055;14;20100830 03:48;174/227513;
D;100;1045055;14;20100830 03:48;P;;;;;;
D;100;1045055;14;20100830 03:48;V;;;;;;
D;100;1045055;14;20100830 03:48;V;;;;;;
B;100;1040960;15;20100830 03:48;;;14;KAYLAUR CRES;ALBION PARK RAIL;2527;822;M;20100701;20100812;315000;A;R;RESIDENCE;;CA;;0;AF707245;
C;100;1040960;15;20100830 03:48;47/29155;
D;100;1040960;15;20100830 03:48;P;;;;;;
D;100;1040960;15;20100830 03:48;V;;;;;;
D;100;1040960;15;20100830 03:48;V;;;;;;
B;100;1038491;16;20100830 03:48;;;23;GEORGE ST;WARILLA;2528;557.48;M;20091223;20100226;389000;A;R;RESIDENCE;;ES;;0;AF683677;
C;100;1038491;16;20100830 03:48;16/23454;
D;100;1038491;16;20100830 03:48;P;;;;;;
D;100;1038491;16;20100830 03:48;V;;;;;;
B;100;1036171;17;20100830 03:48;;;32;CUTHBERT DR;MOUNT WARRIGAL;2528;607;M;20100506;20100730;490000;A;R;RESIDENCE;;EG;;0;AF691966;
C;100;1036171;17;20100830 03:48;591/238040;
D;100;1036171;17;20100830 03:48;P;;;;;;
D;100;1036171;17;20100830 03:48;P;;;;;;
D;100;1036171;17;20100830 03:48;V;;;;;;
B;100;1041640;18;20100830 03:48;;5;24;KOWARI CRES;BLACKBUTT;2529;;;20100706;20100811;287000;;R;RESIDENCE;5;;;0;AF704974;
C;100;1041640;18;20100830 03:48;5/SP49516;
D;100;1041640;18;20100830 03:48;P;;;;;;
D;100;1041640;18;20100830 03:48;V;;;;;;
B;100;1041894;19;20100830 03:48;;;118;LAKE ENTRANCE RD;OAK FLATS;2529;695.6;M;20100508;20100621;315000;A;R;RESIDENCE;;EA;;0;AF700120;
C;100;1041894;19;20100830 03:48;59/24576;
D;100;1041894;19;20100830 03:48;P;;;;;;
D;100;1041894;19;20100830 03:48;P;;;;;;
D;100;1041894;19;20100830 03:48;V;;;;;;
D;100;1041894;19;20100830 03:48;V;;;;;;
D;100;1041894;19;20100830 03:48;V;;;;;;
B;100;1044924;20;20100830 03:48;;;16;O'KEEFE CRES;ALBION PARK;2527;619.7;M;20100702;20100806;304000;A;R;RESIDENCE;;CD;;0;AF697987;
C;100;1044924;20;20100830 03:48;48/30705;
D;100;1044924;20;20100830 03:48;P;;;;;;
D;100;1044924;20;20100830 03:48;P;;;;;;
D;100;1044924;20;20100830 03:48;V;;;;;;
D;100;1044924;20;20100830 03:48;V;;;;;;
B;100;1042152;21;20100830 03:48;;;37;LANDY DR;MOUNT WARRIGAL;2528;575.4;M;20100619;20100726;250000;A;R;RESIDENCE;;EG;;0;AF662982;
C;100;1042152;21;20100830 03:48;80/222910;
D;100;1042152;21;20100830 03:48;P;;;;;;
D;100;1042152;21;20100830 03:48;P;;;;;;
D;100;1042152;21;20100830 03:48;V;;;;;;
D;100;1042152;21;20100830 03:48;V;;;;;;
B;100;1050458;22;20100830 03:48;;;61;THE CIRCUIT;SHELLHARBOUR;2529;600;M;20100701;20100812;580000;A;R;RESIDENCE;;DJ;;0;AF707278;
C;100;1050458;22;20100830 03:48;501/851301;
D;100;1050458;22;20100830 03:48;P;;;;;;
D;100;1050458;22;20100830 03:48;P;;;;;;
D;100;1050458;22;20100830 03:48;V;;;;;;
D;100;1050458;22;20100830 03:48;V;;;;;;
B;100;1050702;23;20100830 03:48;;;49;THE KINGSWAY;BARRACK HEIGHTS;2528;569;M;19690310;20030422;8280;A;R;RESIDENCE;;EQ;;0;AF695829;
C;100;1050702;23;20100830 03:48;318/238116;
D;100;1050702;23;20100830 03:48;P;;;;;;
D;100;1050702;23;20100830 03:48;P;;;;;;
D;100;1050702;23;20100830 03:48;V;;;;;;
D;100;1050702;23;20100830 03:48;V;;;;;;
D;100;1050702;23;20100830 03:48;V;;;;;;
B;100;1045815;24;20100830 03:48;;;30;PETERBOROUGH AVE;LAKE ILLAWARRA;2528;1012;M;20090618;20091130;360000;A;R;RESIDENCE;;ES;;0;AF629928;
C;100;1045815;24;20100830 03:48;14/J/11679;
D;100;1045815;24;20100830 03:48;P;;;;;;
D;100;1045815;24;20100830 03:48;V;;;;;;
B;100;1048368;25;20100830 03:48;;1;15;SHEARWATER BVD;ALBION PARK RAIL;2527;;;20100630;20100811;319000;;R;RESIDENCE;1;;;0;AF701954;
C;100;1048368;25;20100830 03:48;1/SP47847;
D;100;1048368;25;20100830 03:48;P;;;;;;
D;100;1048368;25;20100830 03:48;P;;;;;;
D;100;1048368;25;20100830 03:48;V;;;;;;
D;100;1048368;25;20100830 03:48;V;;;;;;
B;100;3183133;26;20100830 03:48;;;40;HORSLEY RD;OAK FLATS;2529;481.3;M;20100707;20100818;350000;A;R;RESIDENCE;;EA;;0;AF705597;
C;100;3183133;26;20100830 03:48;1/1083903;
D;100;3183133;26;20100830 03:48;P;;;;;;
D;100;3183133;26;20100830 03:48;P;;;;;;
D;100;3183133;26;20100830 03:48;V;;;;;;
D;100;3183133;26;20100830 03:48;V;;;;;;
D;100;3183133;26;20100830 03:48;V;;;;;;
D;100;3183133;26;20100830 03:48;V;;;;;;
D;100;3183133;26;20100830 03:48;V;;;;;;
B;100;3207991;27;20100830 03:48;;4;28;ADDISON ST;SHELLHARBOUR;2529;;;20100701;20100812;290000;;R;RESIDENCE;4;;;0;AF702137;
C;100;3207991;27;20100830 03:48;4/SP75794;
D;100;3207991;27;20100830 03:48;P;;;;;;
D;100;3207991;27;20100830 03:48;V;;;;;;
B;100;1046782;28;20100830 03:48;;;127;PUR PUR AVE;LAKE ILLAWARRA;2528;834.7;M;20100615;20100804;380000;A;R;RESIDENCE;;EJ;;0;AF699171;
C;100;1046782;28;20100830 03:48;62/24325;
D;100;1046782;28;20100830 03:48;P;;;;;;
D;100;1046782;28;20100830 03:48;P;;;;;;
D;100;1046782;28;20100830 03:48;V;;;;;;
D;100;1046782;28;20100830 03:48;V;;;;;;
B;100;1052386;29;20100830 03:48;;;8;WENTWORTH ST;SHELLHARBOUR;2529;499.5;M;20071214;20100804;440000;A;R;RESIDENCE;;DC;;0;AF704951;
C;100;1052386;29;20100830 03:48;83/12479;
D;100;1052386;29;20100830 03:48;P;;;;;;
D;100;1052386;29;20100830 03:48;P;;;;;;
D;100;1052386;29;20100830 03:48;V;;;;;;
D;100;1052386;29;20100830 03:48;V;;;;;;
Z;161;29;29;101;
