A;239;20100816 04:20;VALNET;
B;239;2635133;1;20100816 04:20;;;5;DARLING ST;BOURKE;2840;1012;M;20080424;20100218;37500;A;R;RESIDENCE;;AJ;;0;AF673623;
C;239;2635133;1;20100816 04:20;2/662421;
D;239;2635133;1;20100816 04:20;P;;;;;;
D;239;2635133;1;20100816 04:20;V;;;;;;
D;239;2635133;1;20100816 04:20;V;;;;;;
D;239;2635133;1;20100816 04:20;V;;;;;;
B;239;2635316;2;20100816 04:20;;;44;HOPE ST;BOURKE;2840;796.7;M;20080424;20100218;70000;A;R;RESIDENCE;;AJ;;0;AF673610;
C;239;2635316;2;20100816 04:20;1/973270;
D;239;2635316;2;20100816 04:20;P;;;;;;
D;239;2635316;2;20100816 04:20;V;;;;;;
D;239;2635316;2;20100816 04:20;V;;;;;;
Z;13;2;2;7;
