A;233;20101018 02:17;VALNET;
B;233;2612559;1;20101018 02:17;;;57;WILSON ST;BREWARRINA;2839;1012;M;20100811;20100910;25000;Z;R;RESIDENCE;;AC;;0;AF801120;
C;233;2612559;1;20101018 02:17;1/379232;
D;233;2612559;1;20101018 02:17;P;;;;;;
D;233;2612559;1;20101018 02:17;P;;;;;;
D;233;2612559;1;20101018 02:17;V;;;;;;
B;233;2612900;2;20101018 02:17;SAINSBURY PARK;;;;BREWARRINA;2839;10634;H;20100511;20100713;360000;R;3;RURAL LAND;;RR;;0;AF717189;
C;233;2612900;2;20101018 02:17;5465/768375 5468/768378 5478/768388 Western Land Lease 1047 Western La;
C;233;2612900;2;20101018 02:17;nd Lease 1234 Western Land Lease 435;
D;233;2612900;2;20101018 02:17;P;;;;;;
D;233;2612900;2;20101018 02:17;P;;;;;;
D;233;2612900;2;20101018 02:17;V;;;;;;
D;233;2612900;2;20101018 02:17;V;;;;;;
D;233;2612900;2;20101018 02:17;V;;;;;;
Z;15;2;3;8;
