A;158;20100628 04:28;VALNET;
B;158;3503671;1;20100628 04:28;;;LOT 1 DP11;ROSEBERRY CREEK ROAD;KYOGLE;2474;8979;M;20100521;20100521;3250;;V;VACANT LAND;;;;0;AF546345;
C;158;3503671;1;20100628 04:28;;
D;158;3503671;1;20100628 04:28;P;;;;;;
D;158;3503671;1;20100628 04:28;P;;;;;;
D;158;3503671;1;20100628 04:28;V;;;;;;
B;158;1741302;2;20100628 04:28;;;85;SUMMERLAND WAY;KYOGLE;2474;341.5;M;20100531;20100611;425000;Z;3;COMMERCIAL;;AF;;0;AF561778;
C;158;1741302;2;20100628 04:28;A/389317;
D;158;1741302;2;20100628 04:28;P;;;;;;
D;158;1741302;2;20100628 04:28;V;;;;;;
D;158;1741302;2;20100628 04:28;V;;;;;;
B;158;1739160;3;20100628 04:28;;;;TUNGLEBUNG CREEK RD;TUNGLEBUNG;2469;114.3;H;20100510;20100607;460000;R;V;VACANT LAND;;RH;;0;AF557137;
C;158;1739160;3;20100628 04:28;47/752365;
D;158;1739160;3;20100628 04:28;P;;;;;;
D;158;1739160;3;20100628 04:28;P;;;;;;
D;158;1739160;3;20100628 04:28;V;;;;;;
D;158;1739160;3;20100628 04:28;V;;;;;;
B;158;1742209;4;20100628 04:28;;;4888;KYOGLE RD;WADEVILLE;2474;41.99;H;20100517;20100611;160000;R;R;RESIDENCE;;RC;;25;AF564482;
C;158;1742209;4;20100628 04:28;41/870915;
D;158;1742209;4;20100628 04:28;P;;;;;;
D;158;1742209;4;20100628 04:28;P;;;;;;
D;158;1742209;4;20100628 04:28;P;;;;;;
D;158;1742209;4;20100628 04:28;P;;;;;;
D;158;1742209;4;20100628 04:28;P;;;;;;
D;158;1742209;4;20100628 04:28;V;;;;;;
D;158;1742209;4;20100628 04:28;V;;;;;;
D;158;1742209;4;20100628 04:28;V;;;;;;
D;158;1742209;4;20100628 04:28;V;;;;;;
D;158;1742209;4;20100628 04:28;V;;;;;;
D;158;1742209;4;20100628 04:28;V;;;;;;
D;158;1742209;4;20100628 04:28;V;;;;;;
D;158;1742209;4;20100628 04:28;V;;;;;;
D;158;1742209;4;20100628 04:28;V;;;;;;
D;158;1742209;4;20100628 04:28;V;;;;;;
D;158;1742209;4;20100628 04:28;V;;;;;;
D;158;1742209;4;20100628 04:28;V;;;;;;
D;158;1742209;4;20100628 04:28;V;;;;;;
B;158;1742899;5;20100628 04:28;;;15244;CLARENCE WAY;OLD BONALBO;2469;1174;M;20100428;20100609;133000;Z;R;RESIDENCE;;VN;;0;AF565973;
C;158;1742899;5;20100628 04:28;6/1/12505;
D;158;1742899;5;20100628 04:28;P;;;;;;
D;158;1742899;5;20100628 04:28;V;;;;;;
D;158;1742899;5;20100628 04:28;V;;;;;;
B;158;3523613;6;20100628 04:28;;;253;DYRAABA RD;PIORA;2470;7;H;20100507;20100525;175000;;V;VACANT LAND;;;;0;AF528658;
C;158;3523613;6;20100628 04:28;6/1125879;
D;158;3523613;6;20100628 04:28;P;;;;;;
D;158;3523613;6;20100628 04:28;P;;;;;;
D;158;3523613;6;20100628 04:28;V;;;;;;
Z;48;6;6;34;
