A;090;20100614 03:13;VALNET;
B;090;2974978;1;20100614 03:13;;9;93;VIMIERA RD;EASTWOOD;2122;;;20100417;20100510;479950;;R;RESIDENCE;9;;;0;AF528291;
C;090;2974978;1;20100614 03:13;9/SP68723;
D;090;2974978;1;20100614 03:13;P;;;;;;
D;090;2974978;1;20100614 03:13;V;;;;;;
B;090;2977045;2;20100614 03:13;;29;1;JORDAN ST;GLADESVILLE;2111;;;20100519;20100524;230000;;3;OFFICE;29;;;0;AF518527;
C;090;2977045;2;20100614 03:13;29/SP69134;
D;090;2977045;2;20100614 03:13;P;;;;;;
D;090;2977045;2;20100614 03:13;P;;;;;;
D;090;2977045;2;20100614 03:13;V;;;;;;
D;090;2977045;2;20100614 03:13;V;;;;;;
D;090;2977045;2;20100614 03:13;V;;;;;;
D;090;2977045;2;20100614 03:13;V;;;;;;
D;090;2977045;2;20100614 03:13;V;;;;;;
D;090;2977045;2;20100614 03:13;V;;;;;;
D;090;2977045;2;20100614 03:13;V;;;;;;
D;090;2977045;2;20100614 03:13;V;;;;;;
B;090;863119;3;20100614 03:13;;;58;BOWDEN ST;RYDE;2112;454.9;M;20100413;20100525;788888;A;R;RESIDENCE;;EG;;0;AF527414;
C;090;863119;3;20100614 03:13;1/881336;
D;090;863119;3;20100614 03:13;P;;;;;;
D;090;863119;3;20100614 03:13;P;;;;;;
D;090;863119;3;20100614 03:13;V;;;;;;
B;090;863208;4;20100614 03:13;;3;29;BRABYN ST;DENISTONE EAST;2112;;;20100427;20100521;700000;;R;RESIDENCE;3;;;0;AF525649;
C;090;863208;4;20100614 03:13;3/SP41864;
D;090;863208;4;20100614 03:13;P;;;;;;
D;090;863208;4;20100614 03:13;V;;;;;;
B;090;865812;5;20100614 03:13;;;33;CLARKE ST;WEST RYDE;2114;603.8;M;20100327;20100526;1018000;A;R;RESIDENCE;;EG;;0;AF523849;
C;090;865812;5;20100614 03:13;14/6582;
D;090;865812;5;20100614 03:13;P;;;;;;
D;090;865812;5;20100614 03:13;P;;;;;;
D;090;865812;5;20100614 03:13;V;;;;;;
B;090;884897;6;20100614 03:13;;;14;PARRY ST;RYDE;2112;828.4;M;20100406;20100601;1550000;A;R;RESIDENCE;;EU;;0;AF535827;
C;090;884897;6;20100614 03:13;112/8562;
D;090;884897;6;20100614 03:13;P;;;;;;
D;090;884897;6;20100614 03:13;P;;;;;;
D;090;884897;6;20100614 03:13;P;;;;;;
D;090;884897;6;20100614 03:13;P;;;;;;
D;090;884897;6;20100614 03:13;V;;;;;;
D;090;884897;6;20100614 03:13;V;;;;;;
B;090;893946;7;20100614 03:13;;2;822;VICTORIA RD;RYDE;2112;;;20100416;20100528;358000;;R;RESIDENCE;2;;;0;AF535230;
C;090;893946;7;20100614 03:13;2/SP32519;
D;090;893946;7;20100614 03:13;P;;;;;;
D;090;893946;7;20100614 03:13;V;;;;;;
D;090;893946;7;20100614 03:13;V;;;;;;
B;090;866423;8;20100614 03:13;;;11;CONSTITUTION RD;RYDE;2112;670.26;M;20100219;20100416;841100;A;R;RESIDENCE;;ES;;0;AF520512;
C;090;866423;8;20100614 03:13;2/11105;
D;090;866423;8;20100614 03:13;P;;;;;;
D;090;866423;8;20100614 03:13;P;;;;;;
D;090;866423;8;20100614 03:13;V;;;;;;
D;090;866423;8;20100614 03:13;V;;;;;;
B;090;877114;9;20100614 03:13;;;9;KEATS AVE;RYDE;2112;607;M;20100329;20100510;830000;A;R;RESIDENCE;;EF;;0;AF526464;
C;090;877114;9;20100614 03:13;18/30233;
D;090;877114;9;20100614 03:13;P;;;;;;
D;090;877114;9;20100614 03:13;P;;;;;;
D;090;877114;9;20100614 03:13;V;;;;;;
B;090;885353;10;20100614 03:13;;;16;PELLISIER RD;PUTNEY;2112;695.5;M;20091222;20100324;1250000;A;R;RESIDENCE;;ET;;0;AF529942;
C;090;885353;10;20100614 03:13;8/20316;
D;090;885353;10;20100614 03:13;P;;;;;;
D;090;885353;10;20100614 03:13;V;;;;;;
D;090;885353;10;20100614 03:13;V;;;;;;
B;090;858712;11;20100614 03:13;;3;14;ALBERT ST;GLADESVILLE;2111;;;20100304;20100602;670000;;R;RESIDENCE;3;;;0;AF539679;
C;090;858712;11;20100614 03:13;3/SP48735;
D;090;858712;11;20100614 03:13;P;;;;;;
D;090;858712;11;20100614 03:13;P;;;;;;
D;090;858712;11;20100614 03:13;V;;;;;;
D;090;858712;11;20100614 03:13;V;;;;;;
B;090;869205;12;20100614 03:13;;;8;DELMAR PDE;GLADESVILLE;2111;581.7;M;20100211;20100527;1700000;A;R;RESIDENCE;;EX;;0;AF531556;
C;090;869205;12;20100614 03:13;20/16334;
D;090;869205;12;20100614 03:13;P;;;;;;
D;090;869205;12;20100614 03:13;P;;;;;;
D;090;869205;12;20100614 03:13;V;;;;;;
B;090;858818;13;20100614 03:13;;;38 A;ALEXANDRIA AVE;EASTWOOD;2122;426.2;M;20100410;20100524;755000;A;R;RESIDENCE;;EC;;0;AF523078;
C;090;858818;13;20100614 03:13;1/870696;
D;090;858818;13;20100614 03:13;P;;;;;;
D;090;858818;13;20100614 03:13;P;;;;;;
D;090;858818;13;20100614 03:13;V;;;;;;
D;090;858818;13;20100614 03:13;V;;;;;;
B;090;863980;14;20100614 03:13;;;28;BURMAH RD;DENISTONE;2114;638.6;M;20100403;20100507;925000;A;R;RESIDENCE;;EL;;0;AF530439;
C;090;863980;14;20100614 03:13;48/16433;
D;090;863980;14;20100614 03:13;P;;;;;;
D;090;863980;14;20100614 03:13;P;;;;;;
D;090;863980;14;20100614 03:13;V;;;;;;
B;090;863992;15;20100614 03:13;;;4;BURMAH RD;DENISTONE;2114;596;M;20100305;20100423;920000;A;R;RESIDENCE;;EL;;0;AF526712;
C;090;863992;15;20100614 03:13;60/16433;
D;090;863992;15;20100614 03:13;P;;;;;;
D;090;863992;15;20100614 03:13;P;;;;;;
D;090;863992;15;20100614 03:13;V;;;;;;
D;090;863992;15;20100614 03:13;V;;;;;;
B;090;866690;16;20100614 03:13;;;1;COSIMO PL;RYDE;2112;550.1;M;20100413;20100521;880000;A;R;RESIDENCE;;EG;;0;AF523021;
C;090;866690;16;20100614 03:13;15/39235;
D;090;866690;16;20100614 03:13;P;;;;;;
D;090;866690;16;20100614 03:13;V;;;;;;
D;090;866690;16;20100614 03:13;V;;;;;;
B;090;882848;17;20100614 03:13;;;123;MORRISON RD;GLADESVILLE;2111;486.9;M;20100401;20100519;1120000;A;R;RESIDENCE;;EU;;0;AF522947;
C;090;882848;17;20100614 03:13;20/221979;
D;090;882848;17;20100614 03:13;P;;;;;;
D;090;882848;17;20100614 03:13;P;;;;;;
D;090;882848;17;20100614 03:13;V;;;;;;
D;090;882848;17;20100614 03:13;V;;;;;;
B;090;882931;18;20100614 03:13;;;328;MORRISON RD;PUTNEY;2112;741.57;M;20100413;20100525;840000;A;R;RESIDENCE;;ES;;0;AF531566;
C;090;882931;18;20100614 03:13;2/2/221;
D;090;882931;18;20100614 03:13;P;;;;;;
D;090;882931;18;20100614 03:13;P;;;;;;
D;090;882931;18;20100614 03:13;V;;;;;;
B;090;869539;19;20100614 03:13;;;6;DOIG AVE;DENISTONE EAST;2112;290.9;M;20100505;20100505;575000;B;R;RESIDENCE;;CN;;0;AF519432;
C;090;869539;19;20100614 03:13;158/23290;
D;090;869539;19;20100614 03:13;P;;;;;;
D;090;869539;19;20100614 03:13;V;;;;;;
D;090;869539;19;20100614 03:13;V;;;;;;
D;090;869539;19;20100614 03:13;V;;;;;;
B;090;877658;20;20100614 03:13;;;17;KINGSFORD AVE;EASTWOOD;2122;695.5;M;20100313;20100427;794500;A;R;RESIDENCE;;EC;;0;AF483056;
C;090;877658;20;20100614 03:13;31/16836;
D;090;877658;20;20100614 03:13;P;;;;;;
D;090;877658;20;20100614 03:13;P;;;;;;
D;090;877658;20;20100614 03:13;V;;;;;;
D;090;877658;20;20100614 03:13;V;;;;;;
B;090;883146;21;20100614 03:13;;;54;MORSHEAD ST;NORTH RYDE;2113;594.4;M;20100320;20100503;766000;A;R;RESIDENCE;;EA;;0;AF528307;
C;090;883146;21;20100614 03:13;378/28914;
D;090;883146;21;20100614 03:13;P;;;;;;
D;090;883146;21;20100614 03:13;P;;;;;;
D;090;883146;21;20100614 03:13;V;;;;;;
B;090;861842;22;20100614 03:13;;;15;BIRD ST;RYDE;2112;537.5;M;20100322;20100503;815000;A;R;RESIDENCE;;EF;;0;AF527509;
C;090;861842;22;20100614 03:13;91/35625;
D;090;861842;22;20100614 03:13;P;;;;;;
D;090;861842;22;20100614 03:13;P;;;;;;
D;090;861842;22;20100614 03:13;V;;;;;;
D;090;861842;22;20100614 03:13;V;;;;;;
B;090;877972;23;20100614 03:13;;8;17;LACHLAN AVE;MACQUARIE PARK;2113;;;20100406;20100518;420000;;R;RESIDENCE;8;;;0;AF524119;
C;090;877972;23;20100614 03:13;8/SP6781;
D;090;877972;23;20100614 03:13;P;;;;;;
D;090;877972;23;20100614 03:13;V;;;;;;
B;090;883410;24;20100614 03:13;;;10;NANCARROW AVE;RYDE;2112;1003;M;20090709;20100526;2350000;B;3;FACTORY/HOME;;CU;;0;AF528646;
C;090;883410;24;20100614 03:13;12/7130;
D;090;883410;24;20100614 03:13;P;;;;;;
D;090;883410;24;20100614 03:13;V;;;;;;
B;090;859431;25;20100614 03:13;;;38;ARTHUR ST;RYDE;2112;670.3;M;20100227;20100427;1290000;A;R;RESIDENCE;;EA;;0;AF527390;
C;090;859431;25;20100614 03:13;9/524648;
D;090;859431;25;20100614 03:13;P;;;;;;
D;090;859431;25;20100614 03:13;P;;;;;;
D;090;859431;25;20100614 03:13;V;;;;;;
D;090;859431;25;20100614 03:13;V;;;;;;
B;090;859435;26;20100614 03:13;;;30;ARTHUR ST;RYDE;2112;619.6;M;20100326;20100525;975000;A;R;RESIDENCE;;EA;;0;AF530414;
C;090;859435;26;20100614 03:13;8/522845;
D;090;859435;26;20100614 03:13;P;;;;;;
D;090;859435;26;20100614 03:13;P;;;;;;
D;090;859435;26;20100614 03:13;P;;;;;;
D;090;859435;26;20100614 03:13;V;;;;;;
D;090;859435;26;20100614 03:13;V;;;;;;
B;090;883559;27;20100614 03:13;;;5;NICOLL AVE;RYDE;2112;474.3;M;20100327;20100510;890000;A;R;RESIDENCE;;EG;;0;AF538354;
C;090;883559;27;20100614 03:13;45/7576;
D;090;883559;27;20100614 03:13;P;;;;;;
D;090;883559;27;20100614 03:13;V;;;;;;
B;090;883772;28;20100614 03:13;;;15;NORMA AVE;EASTWOOD;2122;719.97;M;20100420;20100527;375000;A;R;RESIDENCE;;EC;;0;AF527261;
C;090;883772;28;20100614 03:13;73/12989;
D;090;883772;28;20100614 03:13;P;;;;;;
D;090;883772;28;20100614 03:13;V;;;;;;
B;090;862394;29;20100614 03:13;;;663;BLAXLAND RD;EASTWOOD;2122;1069;M;20100324;20100324;157500;A;R;RESIDENCE;;EM;;25;AF528172;
C;090;862394;29;20100614 03:13;10/587171;
D;090;862394;29;20100614 03:13;P;;;;;;
D;090;862394;29;20100614 03:13;P;;;;;;
D;090;862394;29;20100614 03:13;V;;;;;;
D;090;862394;29;20100614 03:13;V;;;;;;
D;090;862394;29;20100614 03:13;V;;;;;;
B;090;873152;30;20100614 03:13;;3;34;FORSTER ST;WEST RYDE;2114;;;20100308;20100419;279000;;R;RESIDENCE;3;;;0;AF524291;
C;090;873152;30;20100614 03:13;3/SP9185;
D;090;873152;30;20100614 03:13;P;;;;;;
D;090;873152;30;20100614 03:13;V;;;;;;
D;090;873152;30;20100614 03:13;V;;;;;;
B;090;862547;31;20100614 03:13;;;357;BLAXLAND RD;RYDE;2112;766.27;M;20100410;20100524;790000;A;R;RESIDENCE;;EM;;0;AF518007;
C;090;862547;31;20100614 03:13;3/7465;
