A;244;20100111 04:09;VALNET;
B;244;3495680;1;20100111 04:09;;;LOT1;DP 1144499;ALBERT;2873;4.258;H;20091204;20091204;1400;;3;;;;;0;AF193380;
C;244;3495680;1;20100111 04:09;;
D;244;3495680;1;20100111 04:09;P;;;;;;
D;244;3495680;1;20100111 04:09;V;;;;;;
B;244;2649125;2;20100111 04:09;;;35;BATHURST ST;CONDOBOLIN;2877;838.4;M;20091126;20091126;120000;Z;3;HALL;;CJ;;0;AF195667;
C;244;2649125;2;20100111 04:09;1/1134993;
D;244;2649125;2;20100111 04:09;P;;;;;;
D;244;2649125;2;20100111 04:09;V;;;;;;
B;244;2647294;3;20100111 04:09;;;;OAK FLATS;CONDOBOLIN;2877;974.7;H;20090907;20091006;907805;R;3;FAMLAND;;RY;;0;AF144528;
C;244;2647294;3;20100111 04:09;10, 11/133276 6, 7, 10, 11, 18, 20, 36, 50, 56, 57, 58/753090;
D;244;2647294;3;20100111 04:09;P;;;;;;
D;244;2647294;3;20100111 04:09;P;;;;;;
D;244;2647294;3;20100111 04:09;V;;;;;;
D;244;2647294;3;20100111 04:09;V;;;;;;
D;244;2647294;3;20100111 04:09;V;;;;;;
D;244;2647294;3;20100111 04:09;V;;;;;;
B;244;2647381;4;20100111 04:09;;;;STUART DR;CURLEW WATERS;2672;8281;M;20091008;20091209;12000;R;V;VACANT LAND;;LZ;;0;AF199682;
C;244;2647381;4;20100111 04:09;19/807084;
D;244;2647381;4;20100111 04:09;P;;;;;;
D;244;2647381;4;20100111 04:09;V;;;;;;
Z;22;4;4;12;
