A;007;20100315 01:53;VALNET;
B;007;3462071;1;20100315 01:53;;;37;HENRY DANGAR DR;MUSWELLBROOK;2333;629;M;20100119;20100216;142500;A;V;VACANT LAND;;AB;;0;AF334391;
C;007;3462071;1;20100315 01:53;1131/1129000;
D;007;3462071;1;20100315 01:53;P;;;;;;
D;007;3462071;1;20100315 01:53;V;;;;;;
B;007;3504849;2;20100315 01:53;;;;SANDY CREEK RD;MCGULLYS GAP;2333;89.7;H;20090928;20100205;720000;;3;RESIDENTIAL;;;;0;AF311259;
C;007;3504849;2;20100315 01:53;100/1145849;
D;007;3504849;2;20100315 01:53;P;;;;;;
D;007;3504849;2;20100315 01:53;V;;;;;;
D;007;3504849;2;20100315 01:53;V;;;;;;
B;007;3504879;3;20100315 01:53;;;101;VIRGINIA ST;DENMAN;2328;2625;M;20081120;20091125;60000;;3;VACANT LAND(PT ONLY);;;;0;AF335578;
C;007;3504879;3;20100315 01:53;91/1139233;
D;007;3504879;3;20100315 01:53;P;;;;;;
D;007;3504879;3;20100315 01:53;P;;;;;;
D;007;3504879;3;20100315 01:53;V;;;;;;
D;007;3504879;3;20100315 01:53;V;;;;;;
B;007;198187;4;20100315 01:53;;;20;COMMON RD;MUSWELLBROOK;2333;1172;M;20100118;20100222;105000;I;V;VACANT LAND;;FA;;0;AF344414;
C;007;198187;4;20100315 01:53;9/883694;
D;007;198187;4;20100315 01:53;P;;;;;;
D;007;198187;4;20100315 01:53;V;;;;;;
B;007;198664;5;20100315 01:53;;;57;FORD ST;MUSWELLBROOK;2333;600;M;20100111;20100222;100000;A;R;RESIDENCE;;AR;;0;AF351254;
C;007;198664;5;20100315 01:53;121/734598;
D;007;198664;5;20100315 01:53;P;;;;;;
D;007;198664;5;20100315 01:53;V;;;;;;
D;007;198664;5;20100315 01:53;V;;;;;;
Z;26;5;5;14;
