A;124;20100607 02:11;VALNET;
B;124;1274587;1;20100607 02:11;;23;124;MARGARET ST;ORANGE;2800;;;20100401;20100504;90000;;R;RESIDENCE;23;;;0;AF519823;
C;124;1274587;1;20100607 02:11;23/SP11927;
D;124;1274587;1;20100607 02:11;P;;;;;;
D;124;1274587;1;20100607 02:11;P;;;;;;
D;124;1274587;1;20100607 02:11;V;;;;;;
B;124;1269412;2;20100607 02:11;;;98;DALTON ST;ORANGE;2800;676.6;M;20100409;20100521;295000;A;R;RESIDENCE;;AC;;0;AF519290;
C;124;1269412;2;20100607 02:11;6/1932;
D;124;1269412;2;20100607 02:11;P;;;;;;
D;124;1269412;2;20100607 02:11;P;;;;;;
D;124;1269412;2;20100607 02:11;V;;;;;;
B;124;1269434;3;20100607 02:11;;;202;DALTON ST;ORANGE;2800;772.81;M;20100407;20100519;255000;A;R;RESIDENCE;;AP;;0;AF508687;
C;124;1269434;3;20100607 02:11;9/1106701;
D;124;1269434;3;20100607 02:11;P;;;;;;
D;124;1269434;3;20100607 02:11;P;;;;;;
D;124;1269434;3;20100607 02:11;V;;;;;;
B;124;3471080;4;20100607 02:11;;;3 A;STEWART CL;ORANGE;2800;514.4;M;20100216;20100519;285000;A;R;RESIDENCE;;AS;;0;AF520159;
C;124;3471080;4;20100607 02:11;1/1142104;
D;124;3471080;4;20100607 02:11;P;;;;;;
D;124;3471080;4;20100607 02:11;V;;;;;;
B;124;3462629;5;20100607 02:11;;;31;JONATHON RD;ORANGE;2800;857.1;M;20100121;20100209;130000;A;V;VACANT LAND;;EM;;0;AF506303;
C;124;3462629;5;20100607 02:11;126/1138870;
D;124;3462629;5;20100607 02:11;P;;;;;;
D;124;3462629;5;20100607 02:11;V;;;;;;
B;124;3511818;6;20100607 02:11;;;54 A;NORTHSTOKE WAY;ORANGE;2800;498.4;M;20100204;20100504;310000;A;R;RESIDENCE;;AR;;0;AF504592;
C;124;3511818;6;20100607 02:11;400/1150782;
D;124;3511818;6;20100607 02:11;P;;;;;;
D;124;3511818;6;20100607 02:11;P;;;;;;
D;124;3511818;6;20100607 02:11;V;;;;;;
B;124;3476577;7;20100607 02:11;;;2;ONYX PL;ORANGE;2800;418.5;M;20091105;20100315;318000;A;R;RESIDENCE;;AS;;0;AF412889;
C;124;3476577;7;20100607 02:11;605/1142945;
D;124;3476577;7;20100607 02:11;P;;;;;;
D;124;3476577;7;20100607 02:11;P;;;;;;
D;124;3476577;7;20100607 02:11;V;;;;;;
D;124;3476577;7;20100607 02:11;V;;;;;;
B;124;1276551;8;20100607 02:11;;16;38;PARK ST;ORANGE;2800;203;M;20091215;20100416;259000;;R;RESIDENCE;19;;;0;AF513691;
C;124;1276551;8;20100607 02:11;19/SP83455;
D;124;1276551;8;20100607 02:11;P;;;;;;
D;124;1276551;8;20100607 02:11;V;;;;;;
B;124;1277447;9;20100607 02:11;;;12;PULARI PL;ORANGE;2800;971.8;M;20100331;20100512;342000;A;R;RESIDENCE;;AA;;0;AF507103;
C;124;1277447;9;20100607 02:11;324/253821;
