A;014;20100222 01:43;VALNET;
B;014;336251;1;20100222 01:43;;;28;BLENHEIM AVE;BERKELEY VALE;2261;556.4;M;20091116;20100205;330000;A;R;RESIDENCE;;CB;;0;AF310534;
C;014;336251;1;20100222 01:43;208/31935;
D;014;336251;1;20100222 01:43;P;;;;;;
D;014;336251;1;20100222 01:43;P;;;;;;
D;014;336251;1;20100222 01:43;V;;;;;;
B;014;333663;2;20100222 01:43;;;4;BARBARA CL;KILLARNEY VALE;2261;619.3;M;20091221;20100201;340000;A;R;RESIDENCE;;CP;;0;AF304513;
C;014;333663;2;20100222 01:43;11/255487;
D;014;333663;2;20100222 01:43;P;;;;;;
D;014;333663;2;20100222 01:43;P;;;;;;
D;014;333663;2;20100222 01:43;V;;;;;;
B;014;333855;3;20100222 01:43;;;4;BARNARD CRES;TOUKLEY;2263;556.4;M;20091208;20100113;265000;A;R;RESIDENCE;;DB;;0;AF309118;
C;014;333855;3;20100222 01:43;43/30877;
D;014;333855;3;20100222 01:43;P;;;;;;
D;014;333855;3;20100222 01:43;P;;;;;;
D;014;333855;3;20100222 01:43;V;;;;;;
D;014;333855;3;20100222 01:43;V;;;;;;
D;014;333855;3;20100222 01:43;V;;;;;;
B;014;331347;4;20100222 01:43;;;15;ALEXANDER AVE;BATEAU BAY;2261;600;M;20091203;20100212;430000;A;R;RESIDENCE;;DS;;0;AF311739;
C;014;331347;4;20100222 01:43;18/775963;
D;014;331347;4;20100222 01:43;P;;;;;;
D;014;331347;4;20100222 01:43;P;;;;;;
D;014;331347;4;20100222 01:43;V;;;;;;
B;014;334157;5;20100222 01:43;;;69;BATEAU BAY RD;BATEAU BAY;2261;569.1;M;20091119;20100120;782000;A;R;RESIDENCE;;CA;;0;AF310278;
C;014;334157;5;20100222 01:43;4/14/758063;
D;014;334157;5;20100222 01:43;P;;;;;;
D;014;334157;5;20100222 01:43;V;;;;;;
D;014;334157;5;20100222 01:43;V;;;;;;
B;014;331591;6;20100222 01:43;;;37;ALLAMBEE CRES;BLUE HAVEN;2262;461.6;M;20091223;20100203;190000;A;R;RESIDENCE;;CD;;0;AF290933;
C;014;331591;6;20100222 01:43;20/230826;
D;014;331591;6;20100222 01:43;P;;;;;;
D;014;331591;6;20100222 01:43;V;;;;;;
B;014;334842;7;20100222 01:43;;2;11;BEECHWOOD ST;OURIMBAH;2258;;;20091221;20100201;285000;;R;RESIDENCE;2;;;0;AF302728;
C;014;334842;7;20100222 01:43;2/SP43839;
D;014;334842;7;20100222 01:43;P;;;;;;
D;014;334842;7;20100222 01:43;P;;;;;;
D;014;334842;7;20100222 01:43;V;;;;;;
D;014;334842;7;20100222 01:43;V;;;;;;
B;014;337980;8;20100222 01:43;;;14;BROOKFIELD CL;JILLIBY;2259;1.071;H;20091202;20100120;855000;P;R;RESIDENCE;;PK;;0;AF307929;
C;014;337980;8;20100222 01:43;14/837287;
D;014;337980;8;20100222 01:43;P;;;;;;
D;014;337980;8;20100222 01:43;P;;;;;;
D;014;337980;8;20100222 01:43;V;;;;;;
D;014;337980;8;20100222 01:43;V;;;;;;
B;014;332890;9;20100222 01:43;;;10;AROONA CL;GWANDALAN;2259;699;M;20091206;20100120;407500;A;R;RESIDENCE;;DL;;0;AF296863;
C;014;332890;9;20100222 01:43;702/1014098;
D;014;332890;9;20100222 01:43;P;;;;;;
D;014;332890;9;20100222 01:43;P;;;;;;
D;014;332890;9;20100222 01:43;P;;;;;;
D;014;332890;9;20100222 01:43;V;;;;;;
D;014;332890;9;20100222 01:43;V;;;;;;
B;014;332915;10;20100222 01:43;;;5;ARUNTA RD;TUGGERAH;2259;604;M;20091120;20100129;325000;A;R;RESIDENCE;;DC;;0;AF295386;
C;014;332915;10;20100222 01:43;18/263483;
D;014;332915;10;20100222 01:43;P;;;;;;
D;014;332915;10;20100222 01:43;P;;;;;;
D;014;332915;10;20100222 01:43;V;;;;;;
D;014;332915;10;20100222 01:43;V;;;;;;
B;014;333245;11;20100222 01:43;;;3;AUSTRALIS PL;GLENNING VALLEY;2261;732.6;M;20091215;20100127;420500;A;R;RESIDENCE;;DZ;;0;AF291103;
C;014;333245;11;20100222 01:43;411/841634;
D;014;333245;11;20100222 01:43;P;;;;;;
D;014;333245;11;20100222 01:43;V;;;;;;
D;014;333245;11;20100222 01:43;V;;;;;;
B;014;333274;12;20100222 01:43;;;8;AVIGNON ST;BATEAU BAY;2261;505.9;M;20091208;20100119;340000;A;R;RESIDENCE;;DS;;0;AF295482;
C;014;333274;12;20100222 01:43;65/237347;
D;014;333274;12;20100222 01:43;P;;;;;;
D;014;333274;12;20100222 01:43;P;;;;;;
D;014;333274;12;20100222 01:43;V;;;;;;
D;014;333274;12;20100222 01:43;V;;;;;;
B;014;344386;13;20100222 01:43;;;8;DAVIDSON AVE;KILLARNEY VALE;2261;689.2;M;20091223;20100203;360050;A;R;RESIDENCE;;CP;;0;AF296738;
C;014;344386;13;20100222 01:43;64/15922;
D;014;344386;13;20100222 01:43;P;;;;;;
D;014;344386;13;20100222 01:43;P;;;;;;
D;014;344386;13;20100222 01:43;V;;;;;;
D;014;344386;13;20100222 01:43;V;;;;;;
