A;RTSALEDATA;082;20130916 01:19;VALNET;
B;082;664824;1;20130916 01:19;;3 G;5;CITY VIEW RD;PENNANT HILLS;2120;;;20130724;20130828;600000;;R;RESIDENCE;85;;;0;AH995513;
C;082;664824;1;20130916 01:19;85/SP64163;
D;082;664824;1;20130916 01:19;P;;;;;;
D;082;664824;1;20130916 01:19;P;;;;;;
D;082;664824;1;20130916 01:19;V;;;;;;
B;082;2898540;2;20130916 01:19;;;5;THE SANCTUARY;WESTLEIGH;2120;486.7;M;20130726;20130827;838000;A;R;RESIDENCE;;EH;;0;AH991010;
C;082;2898540;2;20130916 01:19;28/270278;
D;082;2898540;2;20130916 01:19;P;;;;;;
D;082;2898540;2;20130916 01:19;P;;;;;;
D;082;2898540;2;20130916 01:19;V;;;;;;
B;082;3089865;3;20130916 01:19;;72;1;ALEXANDRIA PDE;WAITARA;2077;;;20130723;20130902;610000;;R;RESIDENCE;72;;;0;AI6660;
C;082;3089865;3;20130916 01:19;72/SP72648;
D;082;3089865;3;20130916 01:19;P;;;;;;
D;082;3089865;3;20130916 01:19;P;;;;;;
D;082;3089865;3;20130916 01:19;V;;;;;;
D;082;3089865;3;20130916 01:19;V;;;;;;
B;082;3081387;4;20130916 01:19;;52;15;ORARA ST;WAITARA;2077;;;20130719;20130830;460000;;R;RESIDENCE;52;;;0;AH997066;
C;082;3081387;4;20130916 01:19;52/SP72335;
D;082;3081387;4;20130916 01:19;P;;;;;;
D;082;3081387;4;20130916 01:19;P;;;;;;
D;082;3081387;4;20130916 01:19;V;;;;;;
B;082;3063319;5;20130916 01:19;;;1;PAPERBARK WAY;WESTLEIGH;2120;282.2;M;20130619;20130830;760000;A;R;RESIDENCE;;EH;;0;AH991189;
C;082;3063319;5;20130916 01:19;174/270278;
D;082;3063319;5;20130916 01:19;P;;;;;;
D;082;3063319;5;20130916 01:19;P;;;;;;
D;082;3063319;5;20130916 01:19;V;;;;;;
B;082;624588;6;20130916 01:19;;3;62;ALBERT ST;HORNSBY;2077;;;20130730;20130910;498000;;R;RESIDENCE;3;;;0;AI13520;
C;082;624588;6;20130916 01:19;3/SP46037;
D;082;624588;6;20130916 01:19;P;;;;;;
D;082;624588;6;20130916 01:19;P;;;;;;
D;082;624588;6;20130916 01:19;V;;;;;;
D;082;624588;6;20130916 01:19;V;;;;;;
B;082;627412;7;20130916 01:19;;;19;BAYFIELD RD;GALSTON;2159;2.073;H;20130419;20130902;1600000;R;R;RESIDENCE;;HB;;0;AI4370;
C;082;627412;7;20130916 01:19;2/559986;
D;082;627412;7;20130916 01:19;P;;;;;;
D;082;627412;7;20130916 01:19;V;;;;;;
D;082;627412;7;20130916 01:19;V;;;;;;
B;082;3204231;8;20130916 01:19;;224;2;CITY VIEW RD;PENNANT HILLS;2120;;;20130708;20130906;270000;;R;RESIDENCE;51;;;0;AI2366;
C;082;3204231;8;20130916 01:19;51/SP75488;
D;082;3204231;8;20130916 01:19;P;;;;;;
D;082;3204231;8;20130916 01:19;V;;;;;;
B;082;3244378;9;20130916 01:19;;1;124;SHEPHERDS DR;CHERRYBROOK;2126;;;20130627;20130906;625000;;R;RESIDENCE;1;;;0;AI2888;
C;082;3244378;9;20130916 01:19;1/SP76791;
D;082;3244378;9;20130916 01:19;P;;;;;;
D;082;3244378;9;20130916 01:19;V;;;;;;
D;082;3244378;9;20130916 01:19;V;;;;;;
D;082;3244378;9;20130916 01:19;V;;;;;;
B;082;3697898;10;20130916 01:19;;;17 A;ALAN RD;BEROWRA HEIGHTS;2082;633.4;M;20130726;20130906;405000;A;V;VACANT LAND;;EO;;0;AI15527;
C;082;3697898;10;20130916 01:19;101/1174697;
D;082;3697898;10;20130916 01:19;P;;;;;;
D;082;3697898;10;20130916 01:19;V;;;;;;
B;082;630193;11;20130916 01:19;;7;220;BOUNDARY RD;CHERRYBROOK;2126;;;20130721;20130826;565000;;R;RESIDENCE;7;;;0;AI11186;
C;082;630193;11;20130916 01:19;7/SP44331;
D;082;630193;11;20130916 01:19;P;;;;;;
D;082;630193;11;20130916 01:19;P;;;;;;
D;082;630193;11;20130916 01:19;V;;;;;;
B;082;635728;12;20130916 01:19;;;9;COORA RD;WESTLEIGH;2120;696.8;M;20130717;20130828;785000;A;3;HOUSE;;EH;;0;AH991998;
C;082;635728;12;20130916 01:19;16/250207;
D;082;635728;12;20130916 01:19;P;;;;;;
D;082;635728;12;20130916 01:19;P;;;;;;
D;082;635728;12;20130916 01:19;P;;;;;;
D;082;635728;12;20130916 01:19;P;;;;;;
D;082;635728;12;20130916 01:19;V;;;;;;
B;082;633257;13;20130916 01:19;;;58;CARLINGFORD RD;EPPING;2121;935.2;M;20130720;20130902;1095000;A;R;RESIDENCE;;EK;;0;AH999751;
C;082;633257;13;20130916 01:19;9/9448;
D;082;633257;13;20130916 01:19;P;;;;;;
D;082;633257;13;20130916 01:19;V;;;;;;
D;082;633257;13;20130916 01:19;V;;;;;;
B;082;629260;14;20130916 01:19;;;9;BLACK ASH PL;HORNSBY HEIGHTS;2077;821;M;20130422;20130830;935000;A;R;RESIDENCE;;EF;;0;AH997118;
C;082;629260;14;20130916 01:19;5/835325;
D;082;629260;14;20130916 01:19;P;;;;;;
D;082;629260;14;20130916 01:19;P;;;;;;
D;082;629260;14;20130916 01:19;V;;;;;;
B;082;662045;15;20130916 01:19;;16;121;PACIFIC HWY;HORNSBY;2077;;;20130723;20130903;450000;;R;RESIDENCE;16;;;0;AI2467;
C;082;662045;15;20130916 01:19;16/SP64272;
D;082;662045;15;20130916 01:19;P;;;;;;
D;082;662045;15;20130916 01:19;V;;;;;;
B;082;643468;16;20130916 01:19;;;243;GALSTON RD;HORNSBY HEIGHTS;2077;803;M;20130720;20130902;710000;A;R;RESIDENCE;;EF;;0;AI3945;
C;082;643468;16;20130916 01:19;B/421182;
D;082;643468;16;20130916 01:19;P;;;;;;
D;082;643468;16;20130916 01:19;P;;;;;;
D;082;643468;16;20130916 01:19;P;;;;;;
D;082;643468;16;20130916 01:19;V;;;;;;
D;082;643468;16;20130916 01:19;V;;;;;;
B;082;656855;17;20130916 01:19;;;27;MILSONS PASSAGE;MILSONS PASSAGE;2083;751.4;M;20130726;20130830;400000;A;R;RESIDENCE;;EV;;0;AH995762;
C;082;656855;17;20130916 01:19;10/9231 Licence 305094;
D;082;656855;17;20130916 01:19;P;;;;;;
D;082;656855;17;20130916 01:19;P;;;;;;
D;082;656855;17;20130916 01:19;V;;;;;;
B;082;667590;18;20130916 01:19;;;100;RIVERVIEW AVE;DANGAR ISLAND;2083;820.1;M;20130605;20130829;840000;P;R;RESIDENCE;;LB;;0;AH997846;
C;082;667590;18;20130916 01:19;215/11921 Licence 347938;
D;082;667590;18;20130916 01:19;P;;;;;;
D;082;667590;18;20130916 01:19;P;;;;;;
D;082;667590;18;20130916 01:19;V;;;;;;
D;082;667590;18;20130916 01:19;V;;;;;;
B;082;638459;19;20130916 01:19;;17;18;DOOMBEN AVE;EASTWOOD;2122;;;20120109;20120109;150000;;R;RESIDENCE;17;;;0;AH984846;
C;082;638459;19;20130916 01:19;17/SP39327;
D;082;638459;19;20130916 01:19;P;;;;;;
D;082;638459;19;20130916 01:19;P;;;;;;
D;082;638459;19;20130916 01:19;V;;;;;;
B;082;648866;20;20130916 01:19;;;4;HYACINTH ST;ASQUITH;2077;627;M;20130625;20130807;772000;A;R;RESIDENCE;;EE;;0;AI4081;
C;082;648866;20;20130916 01:19;34/8437;
D;082;648866;20;20130916 01:19;P;;;;;;
D;082;648866;20;20130916 01:19;P;;;;;;
D;082;648866;20;20130916 01:19;V;;;;;;
B;082;654293;21;20130916 01:19;THE GRANGE;98;2;MCAULEY PL;WAITARA;2077;;;20130808;20130830;309090;;R;RESIDENCE;62;;;0;AH993683;
C;082;654293;21;20130916 01:19;62/SP18027;
D;082;654293;21;20130916 01:19;P;;;;;;
D;082;654293;21;20130916 01:19;P;;;;;;
D;082;654293;21;20130916 01:19;V;;;;;;
B;082;643809;22;20130916 01:19;;;302;GALSTON RD;GALSTON;2159;2;H;20130715;20130826;1350000;R;R;RESIDENCE;;HB;;0;AI5582;
C;082;643809;22;20130916 01:19;7/255997;
D;082;643809;22;20130916 01:19;P;;;;;;
D;082;643809;22;20130916 01:19;P;;;;;;
D;082;643809;22;20130916 01:19;P;;;;;;
D;082;643809;22;20130916 01:19;P;;;;;;
D;082;643809;22;20130916 01:19;V;;;;;;
D;082;643809;22;20130916 01:19;V;;;;;;
B;082;643900;23;20130916 01:19;;;472;GALSTON RD;DURAL;2158;2.024;H;20120131;20120131;1075000;R;R;RESIDENCE;;HB;;0;AH967910;
C;082;643900;23;20130916 01:19;1/511680;
D;082;643900;23;20130916 01:19;P;;;;;;
D;082;643900;23;20130916 01:19;V;;;;;;
B;082;639012;24;20130916 01:19;;;75;DUFFY AVE;THORNLEIGH;2120;916.9;M;20130723;20130903;801500;A;R;RESIDENCE;;ED;;0;AI7880;
C;082;639012;24;20130916 01:19;4/26873;
D;082;639012;24;20130916 01:19;P;;;;;;
D;082;639012;24;20130916 01:19;P;;;;;;
D;082;639012;24;20130916 01:19;V;;;;;;
D;082;639012;24;20130916 01:19;V;;;;;;
B;082;665672;25;20130916 01:19;;;130 A;PRETORIA PDE;HORNSBY;2077;1080;M;20130720;20130902;821000;A;R;RESIDENCE;;EC;;0;AI5348;
C;082;665672;25;20130916 01:19;11/620033;
D;082;665672;25;20130916 01:19;P;;;;;;
D;082;665672;25;20130916 01:19;P;;;;;;
D;082;665672;25;20130916 01:19;V;;;;;;
D;082;665672;25;20130916 01:19;V;;;;;;
B;082;676474;26;20130916 01:19;;;15;WILLOWBROOK PL;CASTLE HILL;2154;740;M;20130526;20130830;980000;A;3;HOUSE;;EL;;0;AI2130;
C;082;676474;26;20130916 01:19;2158/815000;
D;082;676474;26;20130916 01:19;P;;;;;;
D;082;676474;26;20130916 01:19;P;;;;;;
D;082;676474;26;20130916 01:19;V;;;;;;
B;082;642029;27;20130916 01:19;;;3;FERNLEIGH CL;CHERRYBROOK;2126;674.5;M;20130713;20130826;1020000;A;R;RESIDENCE;;ER;;0;AI5218;
C;082;642029;27;20130916 01:19;109/865543;
D;082;642029;27;20130916 01:19;P;;;;;;
D;082;642029;27;20130916 01:19;P;;;;;;
D;082;642029;27;20130916 01:19;V;;;;;;
D;082;642029;27;20130916 01:19;V;;;;;;
B;082;663261;28;20130916 01:19;;3;30;PALING ST;THORNLEIGH;2120;;;20130803;20130830;680000;;R;RESIDENCE;3;;;0;AI15213;
C;082;663261;28;20130916 01:19;3/SP55785;
D;082;663261;28;20130916 01:19;P;;;;;;
D;082;663261;28;20130916 01:19;P;;;;;;
D;082;663261;28;20130916 01:19;V;;;;;;
B;082;639526;29;20130916 01:19;;4;16;DURAL ST;HORNSBY;2077;;;20130613;20130613;28300;;R;RESIDENCE;4;;;0;AI1244;
C;082;639526;29;20130916 01:19;4/SP7670;
D;082;639526;29;20130916 01:19;P;;;;;;
D;082;639526;29;20130916 01:19;V;;;;;;
D;082;639526;29;20130916 01:19;V;;;;;;
B;082;660655;30;20130916 01:19;;9;691;OLD NORTHERN RD;DURAL;2158;;;20130626;20130830;619000;;R;RESIDENCE;9;;;0;AI947;
C;082;660655;30;20130916 01:19;9/SP53966;
D;082;660655;30;20130916 01:19;P;;;;;;
D;082;660655;30;20130916 01:19;V;;;;;;
D;082;660655;30;20130916 01:19;V;;;;;;
B;082;639663;31;20130916 01:19;;;29;EASTCOTE RD;NORTH EPPING;2121;695.6;M;20130629;20130830;966000;A;R;RESIDENCE;;EJ;;0;AI8855;
C;082;639663;31;20130916 01:19;29/29615;
D;082;639663;31;20130916 01:19;P;;;;;;
D;082;639663;31;20130916 01:19;P;;;;;;
D;082;639663;31;20130916 01:19;V;;;;;;
D;082;639663;31;20130916 01:19;V;;;;;;
B;082;644940;32;20130916 01:19;;;1;GREENHILL AVE;NORMANHURST;2076;809.4;M;20130726;20130830;755000;A;3;HOUSE;;EB;;0;AI4340;
C;082;644940;32;20130916 01:19;21/30391;
D;082;644940;32;20130916 01:19;P;;;;;;
D;082;644940;32;20130916 01:19;P;;;;;;
D;082;644940;32;20130916 01:19;V;;;;;;
D;082;644940;32;20130916 01:19;V;;;;;;
B;082;649987;33;20130916 01:19;;1;8;JOYCELYN CL;HORNSBY HEIGHTS;2077;;;20130719;20130906;534500;;R;RESIDENCE;1;;;0;AI14680;
C;082;649987;33;20130916 01:19;1/SP45969;
D;082;649987;33;20130916 01:19;P;;;;;;
D;082;649987;33;20130916 01:19;V;;;;;;
D;082;649987;33;20130916 01:19;V;;;;;;
B;082;652833;34;20130916 01:19;;;3;LEUMEAH CL;WEST PENNANT HILLS;2125;815.7;M;20130721;20130902;761000;A;R;RESIDENCE;;EA;;0;AI3674;
C;082;652833;34;20130916 01:19;22/220781;
D;082;652833;34;20130916 01:19;P;;;;;;
D;082;652833;34;20130916 01:19;V;;;;;;
D;082;652833;34;20130916 01:19;V;;;;;;
B;082;663514;35;20130916 01:19;;;42;PARK AVE;WAITARA;2077;936.4;M;20121220;20130815;1800000;A;R;RESIDENCE;;UH;;0;AI15297;
C;082;663514;35;20130916 01:19;B/316727 A/385852;
D;082;663514;35;20130916 01:19;P;;;;;;
D;082;663514;35;20130916 01:19;V;;;;;;
B;082;642631;36;20130916 01:19;;10;12;FOREST GR;EPPING;2121;;;20130717;20130828;640000;;R;RESIDENCE;10;;;0;AI12831;
C;082;642631;36;20130916 01:19;10/SP2542;
D;082;642631;36;20130916 01:19;P;;;;;;
D;082;642631;36;20130916 01:19;V;;;;;;
B;082;653077;37;20130916 01:19;;14;7;LINDA ST;HORNSBY;2077;;;20130720;20130902;4825000;;R;RESIDENCE;14;;;0;AI10059;
C;082;653077;37;20130916 01:19;14/SP49132;
D;082;653077;37;20130916 01:19;P;;;;;;
D;082;653077;37;20130916 01:19;V;;;;;;
B;082;640099;38;20130916 01:19;;7;14;EDGEWORTH DAVID AVE;HORNSBY;2077;;;20130726;20130906;270000;;3;COMMERCIAL;7;;;0;AI6701;
C;082;640099;38;20130916 01:19;7/SP36282;
D;082;640099;38;20130916 01:19;P;;;;;;
D;082;640099;38;20130916 01:19;V;;;;;;
D;082;640099;38;20130916 01:19;V;;;;;;
B;082;658637;39;20130916 01:19;;;3;NERIDAH AVE;MOUNT COLAH;2079;897.6;M;20130715;20130829;222238;A;R;RESIDENCE;;EP;;0;AI8567;
C;082;658637;39;20130916 01:19;18/9802;
D;082;658637;39;20130916 01:19;P;;;;;;
D;082;658637;39;20130916 01:19;P;;;;;;
D;082;658637;39;20130916 01:19;P;;;;;;
D;082;658637;39;20130916 01:19;V;;;;;;
D;082;658637;39;20130916 01:19;V;;;;;;
B;082;640391;40;20130916 01:19;;12;45;EDWARD BENNETT DR;CHERRYBROOK;2126;;;20130728;20130830;615000;;R;RESIDENCE;12;;;0;AI7593;
C;082;640391;40;20130916 01:19;12/SP22509;
D;082;640391;40;20130916 01:19;P;;;;;;
D;082;640391;40;20130916 01:19;P;;;;;;
D;082;640391;40;20130916 01:19;V;;;;;;
D;082;640391;40;20130916 01:19;V;;;;;;
B;082;643070;41;20130916 01:19;;;29;FRASER RD;COWAN;2081;1669;M;20130722;20130902;475000;A;R;RESIDENCE;;ES;;0;AI6637;
C;082;643070;41;20130916 01:19;1/504864;
D;082;643070;41;20130916 01:19;P;;;;;;
D;082;643070;41;20130916 01:19;P;;;;;;
D;082;643070;41;20130916 01:19;V;;;;;;
D;082;643070;41;20130916 01:19;V;;;;;;
B;082;645520;42;20130916 01:19;;;2 B;HALL AVE;THORNLEIGH;2120;605.5;M;20130629;20130905;975000;A;R;RESIDENCE;;ED;;0;AI13674;
C;082;645520;42;20130916 01:19;69/1011280;
D;082;645520;42;20130916 01:19;P;;;;;;
D;082;645520;42;20130916 01:19;P;;;;;;
D;082;645520;42;20130916 01:19;P;;;;;;
D;082;645520;42;20130916 01:19;V;;;;;;
D;082;645520;42;20130916 01:19;V;;;;;;
B;082;669554;43;20130916 01:19;;29;37;SHERBROOK RD;HORNSBY;2077;;;20130722;20130902;645000;;R;RESIDENCE;29;;;0;AI3698;
C;082;669554;43;20130916 01:19;29/SP61511;
D;082;669554;43;20130916 01:19;P;;;;;;
D;082;669554;43;20130916 01:19;P;;;;;;
D;082;669554;43;20130916 01:19;V;;;;;;
D;082;669554;43;20130916 01:19;V;;;;;;
B;082;656277;44;20130916 01:19;;2;14;MERRIWA PL;CHERRYBROOK;2126;;;20130727;20130909;670000;;R;RESIDENCE;2;;;0;AI15708;
C;082;656277;44;20130916 01:19;2/SP39833;
D;082;656277;44;20130916 01:19;P;;;;;;
D;082;656277;44;20130916 01:19;V;;;;;;
B;082;659060;45;20130916 01:19;;3;4;GUMNUT PL;CHERRYBROOK;2126;;;20130723;20130903;662000;;R;RESIDENCE;3;;;0;AI2355;
C;082;659060;45;20130916 01:19;3/SP43867;
D;082;659060;45;20130916 01:19;P;;;;;;
D;082;659060;45;20130916 01:19;P;;;;;;
D;082;659060;45;20130916 01:19;V;;;;;;
D;082;659060;45;20130916 01:19;V;;;;;;
B;082;675165;46;20130916 01:19;;;32 A;WARNE ST;PENNANT HILLS;2120;982;M;20130614;20130902;935000;A;R;RESIDENCE;;EA;;0;AI6615;
C;082;675165;46;20130916 01:19;2/629678;
D;082;675165;46;20130916 01:19;P;;;;;;
D;082;675165;46;20130916 01:19;V;;;;;;
B;082;675194;47;20130916 01:19;;;51;WARRINA ST;BEROWRA HEIGHTS;2082;971.3;M;20130722;20130902;570000;A;R;RESIDENCE;;EO;;0;AI4593;
C;082;675194;47;20130916 01:19;6/19145;
D;082;675194;47;20130916 01:19;P;;;;;;
D;082;675194;47;20130916 01:19;V;;;;;;
D;082;675194;47;20130916 01:19;V;;;;;;
B;082;2775810;48;20130916 01:19;;;7 A;MARANTA ST;HORNSBY;2077;541.3;M;20130721;20130902;631000;A;R;RESIDENCE;;EE;;0;AI7070;
C;082;2775810;48;20130916 01:19;2/1019445;
D;082;2775810;48;20130916 01:19;P;;;;;;
D;082;2775810;48;20130916 01:20;V;;;;;;
B;082;3291573;49;20130916 01:20;;1704;88;GEORGE ST;HORNSBY;2077;;;20130726;20130906;580000;;R;RESIDENCE;124;;;0;AI2380;
C;082;3291573;49;20130916 01:20;124/SP78216;
D;082;3291573;49;20130916 01:20;P;;;;;;
D;082;3291573;49;20130916 01:20;V;;;;;;
B;082;3358790;50;20130916 01:20;;47;7;SEFTON RD;THORNLEIGH;2120;;;20130701;20130903;340000;;3;COMMERCIAL;13;;;0;AI3249;
C;082;3358790;50;20130916 01:20;13/SP79987;
D;082;3358790;50;20130916 01:20;P;;;;;;
D;082;3358790;50;20130916 01:20;V;;;;;;
D;082;3358790;50;20130916 01:20;V;;;;;;
Z;265;50;50;163;
