A;RTSALEDATA;540;20170619 01:09;VALNET;
B;540;3402601;1;20170619 01:09;;;48;HYLAND DR;BUNGENDORE;2621;1449;M;20170505;20170602;690000;R2;R;RESIDENCE;;RBN;;0;AM469054;
C;540;3402601;1;20170619 01:09;842/1129595;
D;540;3402601;1;20170619 01:09;P;;;;;;
D;540;3402601;1;20170619 01:09;P;;;;;;
D;540;3402601;1;20170619 01:09;V;;;;;;
D;540;3402601;1;20170619 01:09;V;;;;;;
B;540;483560;2;20170619 01:09;;;97;DENLEY DR;WAMBOIN;2620;9.234;H;20170303;20170317;800000;E4;R;RESIDENCE;;LBN;;0;AM481075;
C;540;483560;2;20170619 01:09;6/623138;
D;540;483560;2;20170619 01:09;P;;;;;;
D;540;483560;2;20170619 01:09;V;;;;;;
D;540;483560;2;20170619 01:09;V;;;;;;
B;540;483867;3;20170619 01:09;;;55;DURALLA ST;BUNGENDORE;2621;1537;M;20170203;20170529;469000;R2;R;RESIDENCE;;RBN;;0;AM480582;
C;540;483867;3;20170619 01:09;16/236890;
D;540;483867;3;20170619 01:09;P;;;;;;
D;540;483867;3;20170619 01:09;P;;;;;;
D;540;483867;3;20170619 01:09;V;;;;;;
B;540;481219;4;20170619 01:09;STONEYFLAT;;94;MOLONGLO RIVER DR;CARWOOLA;2620;2.557;H;20170509;20170606;760000;E4;R;RESIDENCE;;LCW;;0;AM469570;
C;540;481219;4;20170619 01:09;18/773627;
D;540;481219;4;20170619 01:09;P;;;;;;
D;540;481219;4;20170619 01:09;P;;;;;;
D;540;481219;4;20170619 01:09;V;;;;;;
B;540;3618480;5;20170619 01:09;;;15;ANGUS PL;BUNGENDORE;2621;760;M;20161028;20170531;585000;R2;R;RESIDENCE;;RBN;;0;AM470966;
C;540;3618480;5;20170619 01:09;45/1170008;
D;540;3618480;5;20170619 01:09;P;;;;;;
D;540;3618480;5;20170619 01:09;P;;;;;;
D;540;3618480;5;20170619 01:09;V;;;;;;
D;540;3618480;5;20170619 01:09;V;;;;;;
B;540;4020948;6;20170619 01:09;;;87;NAYLOR RD;URILA;2620;5.937;H;20170518;20170602;415000;E4;V;VACANT LAND;;LBU;;0;AM480849;
C;540;4020948;6;20170619 01:09;2/1230210;
D;540;4020948;6;20170619 01:09;P;;;;;;
D;540;4020948;6;20170619 01:09;P;;;;;;
D;540;4020948;6;20170619 01:09;V;;;;;;
D;540;4020948;6;20170619 01:09;V;;;;;;
B;540;4036535;7;20170619 01:09;;;6;BOBBADUCK CL;MOUNT FAIRY;2580;42.28;H;20151211;20161010;408000;;V;VACANT LAND;;;;0;AK872357;
C;540;4036535;7;20170619 01:09;1/1217642;
D;540;4036535;7;20170619 01:09;P;;;;;;
D;540;4036535;7;20170619 01:09;P;;;;;;
D;540;4036535;7;20170619 01:09;V;;;;;;
D;540;4036535;7;20170619 01:09;V;;;;;;
B;540;4036538;8;20170619 01:09;;;9;BOBBADUCK CL;MOUNT FAIRY;2580;52.52;H;20150917;20161010;416500;;R;RESIDENCE;;;;0;AK956091;
C;540;4036538;8;20170619 01:09;2/1217642;
D;540;4036538;8;20170619 01:09;P;;;;;;
D;540;4036538;8;20170619 01:09;P;;;;;;
D;540;4036538;8;20170619 01:09;V;;;;;;
D;540;4036538;8;20170619 01:09;V;;;;;;
B;540;4036539;9;20170619 01:09;;;139;BOBBADUCK CL;MOUNT FAIRY;2580;41.04;H;20150902;20161021;436000;;V;VACANT LAND;;;;0;AK874572;
C;540;4036539;9;20170619 01:09;4/1217642;
D;540;4036539;9;20170619 01:09;P;;;;;;
D;540;4036539;9;20170619 01:09;P;;;;;;
D;540;4036539;9;20170619 01:09;V;;;;;;
B;540;3648019;10;20170619 01:09;;;643;TAYLORS CREEK RD;TARAGO;2580;21.12;H;20170424;20170605;575000;RU1;R;RESIDENCE;;SCR;;0;AM475744;
C;540;3648019;10;20170619 01:09;2/1176510;
D;540;3648019;10;20170619 01:09;P;;;;;;
D;540;3648019;10;20170619 01:09;P;;;;;;
D;540;3648019;10;20170619 01:09;V;;;;;;
D;540;3648019;10;20170619 01:09;V;;;;;;
Z;58;10;10;36;
