A;RTSALEDATA;537;20170529 01:12;VALNET;
B;537;1221044;1;20170529 01:12;;;1198;SANDY CREEK RD;DUNEDOO;2844;343.2;H;20170216;20170317;2073589;RU1;3;FARM;;RFD;;0;AM256253;
C;537;1221044;1;20170529 01:12;8, 9, 10, 16, 24, 53, 88, 115/754305;
D;537;1221044;1;20170529 01:12;P;;;;;;
D;537;1221044;1;20170529 01:12;V;;;;;;
B;537;1219922;2;20170529 01:12;;;17;COBBORAH ST;DUNEDOO;2844;873.9;M;20170410;20170522;183000;R1;R;RESIDENCE;;ADU;;0;AM408768;
C;537;1219922;2;20170529 01:12;B/318451;
D;537;1219922;2;20170529 01:12;P;;;;;;
D;537;1219922;2;20170529 01:12;P;;;;;;
D;537;1219922;2;20170529 01:12;V;;;;;;
D;537;1219922;2;20170529 01:12;V;;;;;;
B;537;1219951;3;20170529 01:12;;;42;COBBORAH ST;DUNEDOO;2844;2025;M;20170426;20170519;220000;R1;R;RESIDENCE;;ADU;;0;AM417018;
C;537;1219951;3;20170529 01:12;1/13/758364;
D;537;1219951;3;20170529 01:12;P;;;;;;
D;537;1219951;3;20170529 01:12;V;;;;;;
D;537;1219951;3;20170529 01:12;V;;;;;;
D;537;1219951;3;20170529 01:12;V;;;;;;
B;537;1220464;4;20170529 01:12;SUNNYSIDE;;;WARRUMBUNGLES WAY;COOLAH;2843;763.6;H;20170223;20170223;1000000;RU1;3;RURAL PROPERTY;;RFD;;0;AM416979;
C;537;1220464;4;20170529 01:12;27, 44, 47, 113, 114, 115, 118, 119, 160, 161, 162, 170, 172, 173/7507;
C;537;1220464;4;20170529 01:12;44 112/1083285;
D;537;1220464;4;20170529 01:12;P;;;;;;
D;537;1220464;4;20170529 01:12;P;;;;;;
D;537;1220464;4;20170529 01:12;V;;;;;;
D;537;1220464;4;20170529 01:12;V;;;;;;
B;537;2630042;5;20170529 01:12;;;118;CASSILIS ST;COONABARABRAN;2357;919;M;20170331;20170512;180000;R1;R;RESIDENCE;;ACN;;0;AM414304;
C;537;2630042;5;20170529 01:12;10/113936;
