A;005;20090104 02:39;VALNET;
B;005;2841647;1;20090104 02:39;;;43;TEA TREE AVE;ABERGLASSLYN;2320;4408;M;20081028;20081028;260000;R;R;RESIDENCE;;LC;;0;AE381128;
C;005;2841647;1;20090104 02:39;23/1025965;
D;005;2841647;1;20090104 02:39;P;;;;;;
D;005;2841647;1;20090104 02:39;P;;;;;;
D;005;2841647;1;20090104 02:39;V;;;;;;
D;005;2841647;1;20090104 02:39;V;;;;;;
D;005;2841647;1;20090104 02:39;V;;;;;;
D;005;2841647;1;20090104 02:39;V;;;;;;
D;005;2841647;1;20090104 02:39;V;;;;;;
D;005;2841647;1;20090104 02:39;V;;;;;;
B;005;2946906;2;20090104 02:39;;;2;KINSALE CL;ASHTONFIELD;2323;872.9;M;20081031;20081205;520000;A;R;RESIDENCE;;HA;;0;AE398541;
C;005;2946906;2;20090104 02:39;1246/1045316;
D;005;2946906;2;20090104 02:39;P;;;;;;
D;005;2946906;2;20090104 02:39;P;;;;;;
D;005;2946906;2;20090104 02:39;P;;;;;;
D;005;2946906;2;20090104 02:39;V;;;;;;
B;005;2935316;3;20090104 02:39;;;28;ALYCE CL;BOLWARRA HEIGHTS;2320;916.7;M;20081015;20081202;467500;A;R;RESIDENCE;;GD;;0;AE390390;
C;005;2935316;3;20090104 02:39;424/1044827;
D;005;2935316;3;20090104 02:39;P;;;;;;
D;005;2935316;3;20090104 02:39;P;;;;;;
D;005;2935316;3;20090104 02:39;V;;;;;;
B;005;2932201;4;20090104 02:39;;;24;AMBER GR;BOLWARRA HEIGHTS;2320;1413;M;20081112;20081216;392000;A;R;RESIDENCE;;GD;;0;AE398354;
C;005;2932201;4;20090104 02:39;54/1040637;
D;005;2932201;4;20090104 02:39;P;;;;;;
D;005;2932201;4;20090104 02:39;P;;;;;;
D;005;2932201;4;20090104 02:39;V;;;;;;
D;005;2932201;4;20090104 02:39;V;;;;;;
B;005;2910943;5;20090104 02:39;;;15;GLOAMING AVE;EAST MAITLAND;2323;842.3;M;20080814;20080829;540000;A;R;RESIDENCE;;HC;AC;0;AE236319;
C;005;2910943;5;20090104 02:39;902/1039838;
D;005;2910943;5;20090104 02:39;P;;;;;;
D;005;2910943;5;20090104 02:39;P;;;;;;
D;005;2910943;5;20090104 02:39;V;;;;;;
D;005;2910943;5;20090104 02:39;V;;;;;;
B;005;3401657;6;20090104 02:39;;26;12;DENTON PARK DR;RUTHERFORD;2320;;;20081020;20081125;309000;;R;RESIDENCE;26;;;0;AE385915;
C;005;3401657;6;20090104 02:39;26/SP79824;
D;005;3401657;6;20090104 02:39;P;;;;;;
D;005;3401657;6;20090104 02:39;V;;;;;;
B;005;3407105;7;20090104 02:39;;;102;BOLWARRA PARK DR;BOLWARRA HEIGHTS;2320;645.6;M;20080908;20081203;333000;A;R;RESIDENCE;;GD;;0;AE390054;
C;005;3407105;7;20090104 02:39;1321/1130449;
D;005;3407105;7;20090104 02:39;P;;;;;;
D;005;3407105;7;20090104 02:39;P;;;;;;
D;005;3407105;7;20090104 02:39;V;;;;;;
B;005;3418527;8;20090104 02:39;;;17;RAYMOND TERRACE RD;EAST MAITLAND;2323;;;20080724;20081127;207500;;R;RESIDENCE;;;;0;AE390329;
C;005;3418527;8;20090104 02:39;71/1130651;
D;005;3418527;8;20090104 02:39;P;;;;;;
D;005;3418527;8;20090104 02:39;V;;;;;;
B;005;3379462;9;20090104 02:39;;;9;RODWELL PL;RAWORTH;2321;1133;M;20081031;20081205;200000;A;V;VACANT LAND;;GQ;;0;AE380547;
C;005;3379462;9;20090104 02:39;755/1122868;
D;005;3379462;9;20090104 02:39;P;;;;;;
D;005;3379462;9;20090104 02:39;P;;;;;;
D;005;3379462;9;20090104 02:39;V;;;;;;
B;005;3413973;10;20090104 02:39;;;30;RIVER OAK AVE;GILLIESTON HEIGHTS;2321;729;M;20081127;20081208;170000;A;V;VACANT LAND;;GA;;0;AE387877;
C;005;3413973;10;20090104 02:39;303/1124966;
D;005;3413973;10;20090104 02:39;P;;;;;;
D;005;3413973;10;20090104 02:39;V;;;;;;
B;005;3413982;11;20090104 02:39;;;44;RIVER OAK AVE;GILLIESTON HEIGHTS;2321;723.9;M;20080930;20081208;149000;A;V;VACANT LAND;;GA;;0;AE383979;
C;005;3413982;11;20090104 02:39;310/1124966;
D;005;3413982;11;20090104 02:39;P;;;;;;
D;005;3413982;11;20090104 02:39;V;;;;;;
B;005;3425992;12;20090104 02:39;;;LOT22;PATERSON ROAD;BOLWARRA;2320;66.3;M;20081029;20081029;2640;;V;VACANT LAND;;;;0;AE299587;
C;005;3425992;12;20090104 02:39;PT 12/1033412 BEING LOT 22 IN DP 1122972;
D;005;3425992;12;20090104 02:39;P;;;;;;
D;005;3425992;12;20090104 02:39;P;;;;;;
D;005;3425992;12;20090104 02:39;V;;;;;;
D;005;3425992;12;20090104 02:39;V;;;;;;
B;005;3046890;13;20090104 02:39;;;35;MELROSE ST;LORN;2320;534;M;20081118;20081209;315000;A;3;;;GB;;0;AE384576;
C;005;3046890;13;20090104 02:39;22/1062151;
D;005;3046890;13;20090104 02:39;P;;;;;;
D;005;3046890;13;20090104 02:39;P;;;;;;
D;005;3046890;13;20090104 02:39;V;;;;;;
D;005;3046890;13;20090104 02:39;V;;;;;;
B;005;3111937;14;20090104 02:39;;;138;ABERGLASSLYN RD;RUTHERFORD;2320;1451;M;20081110;20081210;475000;A;R;RESIDENCE;;EL;;0;AE392671;
C;005;3111937;14;20090104 02:39;501/1068828;
D;005;3111937;14;20090104 02:39;P;;;;;;
D;005;3111937;14;20090104 02:39;P;;;;;;
D;005;3111937;14;20090104 02:39;V;;;;;;
D;005;3111937;14;20090104 02:39;V;;;;;;
B;005;177216;15;20090104 02:39;;;137;DENTON PARK DR;ABERGLASSLYN;2320;662.1;M;20081117;20081208;305000;A;R;RESIDENCE;;EL;;0;AE389068;
C;005;177216;15;20090104 02:39;45/831947;
D;005;177216;15;20090104 02:39;P;;;;;;
D;005;177216;15;20090104 02:39;P;;;;;;
D;005;177216;15;20090104 02:39;V;;;;;;
D;005;177216;15;20090104 02:39;V;;;;;;
B;005;180156;16;20090104 02:39;;;3;HAGUE ST;RUTHERFORD;2320;560;M;20080911;20081128;172000;A;R;RESIDENCE;;EC;;0;AE390280;
C;005;180156;16;20090104 02:39;138/249673;
D;005;180156;16;20090104 02:39;P;;;;;;
D;005;180156;16;20090104 02:39;V;;;;;;
B;005;177480;17;20090104 02:39;;;3;DUMARESQ PDE;METFORD;2323;729;M;20081106;20081204;325000;A;R;RESIDENCE;;HB;;0;AE383006;
C;005;177480;17;20090104 02:39;4029/263762;
D;005;177480;17;20090104 02:39;P;;;;;;
D;005;177480;17;20090104 02:39;P;;;;;;
D;005;177480;17;20090104 02:39;V;;;;;;
D;005;177480;17;20090104 02:39;V;;;;;;
B;005;175553;18;20090104 02:39;;;107;CESSNOCK RD;MAITLAND;2320;19.12;H;20081029;20081210;855000;R;3;FARM/RURAL;;CP;;0;AE389668;
C;005;175553;18;20090104 02:39;781/997350;
D;005;175553;18;20090104 02:39;P;;;;;;
D;005;175553;18;20090104 02:39;P;;;;;;
D;005;175553;18;20090104 02:39;V;;;;;;
B;005;172969;19;20090104 02:39;;1;20;BAKER DR;TENAMBIT;2323;322.1;M;20081107;20081205;222500;A;R;RESIDENCE;;HE;;0;AE390613;
C;005;172969;19;20090104 02:39;90/835888;
D;005;172969;19;20090104 02:39;P;;;;;;
D;005;172969;19;20090104 02:39;V;;;;;;
D;005;172969;19;20090104 02:39;V;;;;;;
B;005;176019;20;20090104 02:39;;;9;CLARENCE ST;TENAMBIT;2323;607;M;20081013;20081124;255000;A;R;RESIDENCE;;HE;;0;AE384213;
C;005;176019;20;20090104 02:39;328/755237;
D;005;176019;20;20090104 02:39;P;;;;;;
D;005;176019;20;20090104 02:39;P;;;;;;
D;005;176019;20;20090104 02:39;V;;;;;;
B;005;173475;21;20090104 02:39;;;4;BLACKBUTT PL;METFORD;2323;497.8;M;20081111;20081203;275000;A;R;RESIDENCE;;HB;;0;AE393390;
C;005;173475;21;20090104 02:39;362/834213;
D;005;173475;21;20090104 02:39;P;;;;;;
D;005;173475;21;20090104 02:39;V;;;;;;
D;005;173475;21;20090104 02:39;V;;;;;;
B;005;176927;22;20090104 02:39;;8;27;DAY ST;EAST MAITLAND;2323;;;20081020;20081121;222000;;R;RESIDENCE;11;;;0;AE382500;
C;005;176927;22;20090104 02:39;11/SP44231;
D;005;176927;22;20090104 02:39;P;;;;;;
D;005;176927;22;20090104 02:39;V;;;;;;
B;005;185738;23;20090104 02:39;;;65 A;NARANG ST;EAST MAITLAND;2323;592.1;M;20081112;20081203;280000;A;R;RESIDENCE;;HE;;0;AE387341;
C;005;185738;23;20090104 02:39;161/573577;
D;005;185738;23;20090104 02:39;P;;;;;;
D;005;185738;23;20090104 02:39;V;;;;;;
B;005;188600;24;20090104 02:39;;;77;RIVER RD;WINDELLA;2320;5548;M;20081105;20081203;500000;R;R;RESIDENCE;;LD;;0;AE380422;
C;005;188600;24;20090104 02:39;4/263829;
D;005;188600;24;20090104 02:39;P;;;;;;
D;005;188600;24;20090104 02:39;P;;;;;;
D;005;188600;24;20090104 02:39;V;;;;;;
B;005;180582;25;20090104 02:39;;;136;HIGH ST;EAST MAITLAND;2323;935.87;M;20081031;20081112;260000;A;R;RESIDENCE;;HF;;0;AE387443;
C;005;180582;25;20090104 02:39;1/150563;
D;005;180582;25;20090104 02:39;P;;;;;;
D;005;180582;25;20090104 02:39;V;;;;;;
B;005;188762;26;20090104 02:39;;;18;ROBINS ST;HORSESHOE BEND;2320;833.9;M;20070418;20070508;91000;A;R;RESIDENCE;;EH;;0;AE392741;
C;005;188762;26;20090104 02:39;1/194740;
D;005;188762;26;20090104 02:39;P;;;;;;
D;005;188762;26;20090104 02:39;V;;;;;;
B;005;188903;27;20090104 02:39;;;17;ROSEWOOD AVE;THORNTON;2322;452.9;M;20081023;20081211;320000;A;R;RESIDENCE;;GF;;0;AE395107;
C;005;188903;27;20090104 02:39;40/857763;
D;005;188903;27;20090104 02:39;P;;;;;;
D;005;188903;27;20090104 02:39;P;;;;;;
D;005;188903;27;20090104 02:39;V;;;;;;
B;005;186421;28;20090104 02:39;;;22;NILLO ST;LORN;2320;809.4;M;20081020;20081201;470000;A;R;RESIDENCE;;GB;;0;AE390071;
C;005;186421;28;20090104 02:39;33/32523;
D;005;186421;28;20090104 02:39;P;;;;;;
D;005;186421;28;20090104 02:39;P;;;;;;
D;005;186421;28;20090104 02:39;V;;;;;;
D;005;186421;28;20090104 02:39;V;;;;;;
B;005;184248;29;20090104 02:39;;;122;MAIZE ST;TENAMBIT;2323;625.4;M;20081024;20081128;285275;A;R;RESIDENCE;;HE;;0;AE385723;
C;005;184248;29;20090104 02:39;100/629244;
D;005;184248;29;20090104 02:39;P;;;;;;
D;005;184248;29;20090104 02:39;V;;;;;;
B;005;181811;30;20090104 02:39;;;6;JASON PL;RUTHERFORD;2320;778.4;M;20081021;20081023;67000;A;R;RESIDENCE;;EG;;0;AE383141;
C;005;181811;30;20090104 02:39;133/264216;
D;005;181811;30;20090104 02:39;P;;;;;;
D;005;181811;30;20090104 02:39;V;;;;;;
D;005;181811;30;20090104 02:39;V;;;;;;
B;005;190040;31;20090104 02:39;;;12;SQUADRON CRES;RUTHERFORD;2320;621.4;M;20081024;20081128;310000;A;R;RESIDENCE;;EG;;0;AE397392;
C;005;190040;31;20090104 02:39;202/874634;
D;005;190040;31;20090104 02:39;P;;;;;;
D;005;190040;31;20090104 02:39;P;;;;;;
D;005;190040;31;20090104 02:39;V;;;;;;
D;005;190040;31;20090104 02:39;V;;;;;;
B;005;182085;32;20090104 02:39;;;1;JUBILEE ST;EAST MAITLAND;2323;796.7;M;20080901;20081201;272000;A;R;RESIDENCE;;HF;;0;AE397986;
C;005;182085;32;20090104 02:39;3/44/758374;
D;005;182085;32;20090104 02:39;P;;;;;;
D;005;182085;32;20090104 02:39;P;;;;;;
D;005;182085;32;20090104 02:39;V;;;;;;
D;005;182085;32;20090104 02:39;V;;;;;;
B;005;187574;33;20090104 02:39;;;78;PORTER AVE;EAST MAITLAND;2323;948.5;M;20081205;20081205;100000;A;R;RESIDENCE;;HG;;0;AE385256;
C;005;187574;33;20090104 02:39;A/365542;
D;005;187574;33;20090104 02:39;P;;;;;;
D;005;187574;33;20090104 02:39;V;;;;;;
D;005;187574;33;20090104 02:39;V;;;;;;
B;005;182496;34;20090104 02:39;;;37;KILKENNY CCT;ASHTONFIELD;2323;1436;M;20081010;20081215;455000;A;R;RESIDENCE;;HA;;0;AE397897;
C;005;182496;34;20090104 02:39;224/842546;
D;005;182496;34;20090104 02:39;P;;;;;;
D;005;182496;34;20090104 02:39;P;;;;;;
D;005;182496;34;20090104 02:39;V;;;;;;
D;005;182496;34;20090104 02:39;V;;;;;;
