A;223;20090629 01:44;VALNET;
B;223;2480167;1;20090629 01:44;;;46;BRAIN AVE;LURNEA;2170;588.1;M;20090401;20090514;340000;A;R;RESIDENCE;;AD;;0;AE737666;
C;223;2480167;1;20090629 01:44;284/214170;
D;223;2480167;1;20090629 01:44;P;;;;;;
D;223;2480167;1;20090629 01:44;V;;;;;;
B;223;2477741;2;20090629 01:44;;;18;BATTENBERG CL;CECIL HILLS;2171;952;M;20090427;20090601;350000;A;V;VACANT LAND;;AS;;0;AE754309;
C;223;2477741;2;20090629 01:44;917/1005599;
D;223;2477741;2;20090629 01:44;P;;;;;;
D;223;2477741;2;20090629 01:44;P;;;;;;
D;223;2477741;2;20090629 01:44;V;;;;;;
D;223;2477741;2;20090629 01:44;V;;;;;;
B;223;2482991;3;20090629 01:44;;9;71;CASTLEREAGH ST;LIVERPOOL;2170;;;20090409;20090522;177000;;R;RESIDENCE;9;;;0;AE740710;
C;223;2482991;3;20090629 01:44;9/SP7876;
D;223;2482991;3;20090629 01:44;P;;;;;;
D;223;2482991;3;20090629 01:44;V;;;;;;
D;223;2482991;3;20090629 01:44;V;;;;;;
B;223;2480508;4;20090629 01:44;;;18;BRINDABELLA DR;HORNINGSEA PARK;2171;485.3;M;20090118;20090521;335000;A;R;RESIDENCE;;MP;;0;AE742462;
C;223;2480508;4;20090629 01:44;68/872985;
D;223;2480508;4;20090629 01:44;P;;;;;;
D;223;2480508;4;20090629 01:44;P;;;;;;
D;223;2480508;4;20090629 01:44;V;;;;;;
D;223;2480508;4;20090629 01:44;V;;;;;;
B;223;2483127;5;20090629 01:44;;6;119;CASTLEREAGH ST;LIVERPOOL;2170;;;20090422;20090603;187000;;R;RESIDENCE;13;;;0;AE740236;
C;223;2483127;5;20090629 01:44;13/SP11541;
D;223;2483127;5;20090629 01:44;P;;;;;;
D;223;2483127;5;20090629 01:44;V;;;;;;
B;223;2486919;6;20090629 01:44;;;51 A;CURRAWONG ST;GREEN VALLEY;2168;298.9;M;20090505;20090610;300000;A;R;RESIDENCE;;AS;;0;AE754720;
C;223;2486919;6;20090629 01:44;252/840226;
D;223;2486919;6;20090629 01:44;P;;;;;;
D;223;2486919;6;20090629 01:44;V;;;;;;
D;223;2486919;6;20090629 01:44;V;;;;;;
B;223;2475471;7;20090629 01:44;;;22;ARMSTRONG ST;ASHCROFT;2168;626;M;20090409;20090601;290020;A;R;RESIDENCE;;LH;;0;AE749036;
C;223;2475471;7;20090629 01:44;312/216702;
D;223;2475471;7;20090629 01:44;P;;;;;;
D;223;2475471;7;20090629 01:44;V;;;;;;
B;223;2475767;8;20090629 01:44;;;16;ASHCROFT AVE;CASULA;2170;682.9;M;20090402;20090515;345000;A;R;RESIDENCE;;LE;;0;AE744157;
C;223;2475767;8;20090629 01:44;90/26304;
D;223;2475767;8;20090629 01:44;P;;;;;;
D;223;2475767;8;20090629 01:44;V;;;;;;
B;223;2481236;9;20090629 01:44;;;14;BUNGARRA CRES;CHIPPING NORTON;2170;663.9;M;20090325;20090602;465000;A;R;RESIDENCE;;LT;;0;AE737907;
C;223;2481236;9;20090629 01:44;16/240268;
D;223;2481236;9;20090629 01:44;P;;;;;;
D;223;2481236;9;20090629 01:44;P;;;;;;
D;223;2481236;9;20090629 01:44;V;;;;;;
D;223;2481236;9;20090629 01:44;V;;;;;;
D;223;2481236;9;20090629 01:44;V;;;;;;
B;223;2483781;10;20090629 01:44;;;3;CHARLTON AVE;CHIPPING NORTON;2170;720.8;M;20090424;20090605;600000;A;R;RESIDENCE;;AF;;0;AE746233;
C;223;2483781;10;20090629 01:44;186/249288;
D;223;2483781;10;20090629 01:44;P;;;;;;
D;223;2483781;10;20090629 01:44;V;;;;;;
B;223;2484462;11;20090629 01:44;;;33;CLEMENTINA CCT;CECIL HILLS;2171;715.9;M;20090401;20090512;685000;A;R;RESIDENCE;;AS;;0;AE749275;
C;223;2484462;11;20090629 01:44;78/879086;
D;223;2484462;11;20090629 01:44;P;;;;;;
D;223;2484462;11;20090629 01:44;P;;;;;;
D;223;2484462;11;20090629 01:44;V;;;;;;
D;223;2484462;11;20090629 01:44;V;;;;;;
B;223;2479283;12;20090629 01:44;;;16;BOLINDA ST;BUSBY;2168;575.4;M;20090403;20090515;261500;A;R;RESIDENCE;;LH;;0;AE741575;
C;223;2479283;12;20090629 01:44;1181/224957;
D;223;2479283;12;20090629 01:44;P;;;;;;
D;223;2479283;12;20090629 01:44;V;;;;;;
D;223;2479283;12;20090629 01:44;V;;;;;;
D;223;2479283;12;20090629 01:44;V;;;;;;
D;223;2479283;12;20090629 01:44;V;;;;;;
B;223;2479622;13;20090629 01:44;;1;29;BOUNDARY RD;LIVERPOOL;2170;;;20090329;20090513;304000;;R;RESIDENCE;1;;;0;AE746965;
C;223;2479622;13;20090629 01:44;1/SP62441;
D;223;2479622;13;20090629 01:44;P;;;;;;
D;223;2479622;13;20090629 01:44;V;;;;;;
B;223;2479682;14;20090629 01:44;;3;2;BOURKE ST;LIVERPOOL;2170;;;20090610;20090615;140000;;R;RESIDENCE;3;;;0;AE753832;
C;223;2479682;14;20090629 01:44;3/SP10310;
D;223;2479682;14;20090629 01:44;P;;;;;;
D;223;2479682;14;20090629 01:44;V;;;;;;
B;223;2479708;15;20090629 01:44;;;20;BOWER BIRD ST;HINCHINBROOK;2168;450.7;M;20090406;20090518;405000;A;R;RESIDENCE;;AC;;0;AE740370;
C;223;2479708;15;20090629 01:44;139/838467;
D;223;2479708;15;20090629 01:44;P;;;;;;
D;223;2479708;15;20090629 01:44;P;;;;;;
D;223;2479708;15;20090629 01:44;V;;;;;;
B;223;2485087;16;20090629 01:44;;;29;COMO CT;WATTLE GROVE;2173;322;M;20090417;20090604;378000;A;3;;;ME;;0;AE742284;
C;223;2485087;16;20090629 01:44;5040/836144;
D;223;2485087;16;20090629 01:44;P;;;;;;
D;223;2485087;16;20090629 01:44;P;;;;;;
D;223;2485087;16;20090629 01:44;V;;;;;;
D;223;2485087;16;20090629 01:44;V;;;;;;
B;223;2485848;17;20090629 01:44;;;59 A;COQUET WAY;GREEN VALLEY;2168;373.2;M;20081222;20090526;408000;A;R;RESIDENCE;;AC;;0;AE743967;
C;223;2485848;17;20090629 01:44;1/1006958;
D;223;2485848;17;20090629 01:44;P;;;;;;
D;223;2485848;17;20090629 01:44;V;;;;;;
B;223;2485352;18;20090629 01:44;;;11;COOMA CT;WATTLE GROVE;2173;305;M;20090206;20090320;415000;A;R;RESIDENCE;;ME;;0;AE583263;
C;223;2485352;18;20090629 01:44;6080/817613;
D;223;2485352;18;20090629 01:44;P;;;;;;
D;223;2485352;18;20090629 01:44;P;;;;;;
D;223;2485352;18;20090629 01:44;V;;;;;;
B;223;2485442;19;20090629 01:44;;;22;COONONG ST;BUSBY;2168;588.1;M;20090415;20090529;235000;A;R;RESIDENCE;;LH;;0;AE749796;
C;223;2485442;19;20090629 01:44;398/222642;
D;223;2485442;19;20090629 01:44;P;;;;;;
D;223;2485442;19;20090629 01:44;V;;;;;;
B;223;2506812;20;20090629 01:44;;;255;MEMORIAL AVE;LIVERPOOL;2170;695.6;M;20090312;20090520;300000;A;R;RESIDENCE;;AD;;0;AE755840;
C;223;2506812;20;20090629 01:44;52/25141;
D;223;2506812;20;20090629 01:44;P;;;;;;
D;223;2506812;20;20090629 01:44;V;;;;;;
D;223;2506812;20;20090629 01:44;V;;;;;;
D;223;2506812;20;20090629 01:44;V;;;;;;
D;223;2506812;20;20090629 01:44;V;;;;;;
D;223;2506812;20;20090629 01:44;V;;;;;;
D;223;2506812;20;20090629 01:44;V;;;;;;
B;223;2506867;21;20090629 01:44;;3;87;MEMORIAL AVE;LIVERPOOL;2170;;;20090509;20090604;205000;;R;RESIDENCE;3;;;0;AE742584;
C;223;2506867;21;20090629 01:44;3/SP18927;
D;223;2506867;21;20090629 01:44;P;;;;;;
D;223;2506867;21;20090629 01:44;V;;;;;;
D;223;2506867;21;20090629 01:44;V;;;;;;
B;223;2509515;22;20090629 01:44;;1;32;NAGLE ST;LIVERPOOL;2170;;;20090509;20090603;215500;;R;RESIDENCE;1;;;0;AE748828;
C;223;2509515;22;20090629 01:44;1/SP31486;
D;223;2509515;22;20090629 01:44;P;;;;;;
D;223;2509515;22;20090629 01:44;P;;;;;;
D;223;2509515;22;20090629 01:44;V;;;;;;
B;223;2517539;23;20090629 01:44;;;45;SEVENTH AVE;AUSTRAL;2179;1.21;H;20090415;20090605;822000;R;R;RESIDENCE;;RJ;;0;AE743332;
C;223;2517539;23;20090629 01:44;972/2475;
D;223;2517539;23;20090629 01:44;P;;;;;;
D;223;2517539;23;20090629 01:44;P;;;;;;
D;223;2517539;23;20090629 01:44;V;;;;;;
D;223;2517539;23;20090629 01:44;V;;;;;;
B;223;2525592;24;20090629 01:44;;4;5;WILLIAM ST;LURNEA;2170;;;20090511;20090610;232000;;R;RESIDENCE;4;;;0;AE751084;
C;223;2525592;24;20090629 01:44;4/SP39249;
D;223;2525592;24;20090629 01:44;P;;;;;;
D;223;2525592;24;20090629 01:44;V;;;;;;
B;223;2499034;25;20090629 01:44;;;26;INSIGNIA ST;SADLEIR;2168;569.1;M;20090325;20090506;270000;A;R;RESIDENCE;;LH;;0;AE739482;
C;223;2499034;25;20090629 01:44;243/217993;
D;223;2499034;25;20090629 01:44;P;;;;;;
D;223;2499034;25;20090629 01:44;P;;;;;;
D;223;2499034;25;20090629 01:44;V;;;;;;
B;223;2499066;26;20090629 01:44;;;10;INVERELL AVE;HINCHINBROOK;2168;321.4;M;20090409;20090610;310000;A;R;RESIDENCE;;MN;;0;AE751301;
C;223;2499066;26;20090629 01:44;4/862681;
D;223;2499066;26;20090629 01:44;P;;;;;;
D;223;2499066;26;20090629 01:44;P;;;;;;
D;223;2499066;26;20090629 01:44;V;;;;;;
D;223;2499066;26;20090629 01:44;V;;;;;;
B;223;2517847;27;20090629 01:44;;;9;SICILIA ST;PRESTONS;2170;450.4;M;20090407;20090526;464000;A;R;RESIDENCE;;MP;;0;AE738329;
C;223;2517847;27;20090629 01:44;210/876283;
D;223;2517847;27;20090629 01:44;P;;;;;;
D;223;2517847;27;20090629 01:44;V;;;;;;
D;223;2517847;27;20090629 01:44;V;;;;;;
B;223;2525818;28;20090629 01:44;;;209;WILSON RD;GREEN VALLEY;2168;450.1;M;20090415;20090605;333000;A;R;RESIDENCE;;AS;;0;AE748612;
C;223;2525818;28;20090629 01:44;1/812789;
D;223;2525818;28;20090629 01:44;P;;;;;;
D;223;2525818;28;20090629 01:44;V;;;;;;
B;223;2525917;29;20090629 01:44;;;3;WILSON RD;HINCHINBROOK;2168;450;M;20090228;20090504;340000;A;R;RESIDENCE;;AC;;0;AE756280;
C;223;2525917;29;20090629 01:44;150/838467;
D;223;2525917;29;20090629 01:44;P;;;;;;
D;223;2525917;29;20090629 01:44;V;;;;;;
D;223;2525917;29;20090629 01:44;V;;;;;;
B;223;2504605;30;20090629 01:44;;6;42;MCLEAN ST;LIVERPOOL;2170;;;20090423;20090604;300000;;R;RESIDENCE;6;;;0;AE750086;
C;223;2504605;30;20090629 01:44;6/SP60763;
D;223;2504605;30;20090629 01:44;P;;;;;;
D;223;2504605;30;20090629 01:44;V;;;;;;
B;223;2507319;31;20090629 01:44;;;1;METCALFE AVE;MOOREBANK;2170;663.9;M;20090404;20090610;420000;A;R;RESIDENCE;;LS;;0;AE750784;
C;223;2507319;31;20090629 01:44;4/230270;
D;223;2507319;31;20090629 01:44;P;;;;;;
D;223;2507319;31;20090629 01:44;V;;;;;;
B;223;2509949;32;20090629 01:44;;6;220;NEWBRIDGE RD;MOOREBANK;2170;;;20090511;20090609;245500;;R;RESIDENCE;6;;;0;AE744609;
C;223;2509949;32;20090629 01:44;6/SP39250;
D;223;2509949;32;20090629 01:44;P;;;;;;
D;223;2509949;32;20090629 01:44;V;;;;;;
B;223;2488713;33;20090629 01:44;;;50;DUNBIER AVE;LURNEA;2170;841;M;20090323;20090522;345000;A;R;RESIDENCE;;AD;;0;AE745492;
C;223;2488713;33;20090629 01:44;14/26167;
D;223;2488713;33;20090629 01:44;P;;;;;;
D;223;2488713;33;20090629 01:44;V;;;;;;
B;223;2526208;34;20090629 01:44;;;4;WOLLEMI CT;WATTLE GROVE;2173;627;M;20090328;20090512;500000;A;R;RESIDENCE;;ME;;0;AE752875;
C;223;2526208;34;20090629 01:44;8055/825138;
D;223;2526208;34;20090629 01:44;P;;;;;;
D;223;2526208;34;20090629 01:44;P;;;;;;
D;223;2526208;34;20090629 01:44;V;;;;;;
D;223;2526208;34;20090629 01:44;V;;;;;;
B;223;2488830;35;20090629 01:44;;;16;DUNROSSIL AVE;CASULA;2170;670.5;M;20090414;20090609;380000;A;R;RESIDENCE;;AD;;0;AE746788;
C;223;2488830;35;20090629 01:44;102/215697;
D;223;2488830;35;20090629 01:44;P;;;;;;
D;223;2488830;35;20090629 01:44;V;;;;;;
B;223;2523685;36;20090629 01:44;;23;1;MANNING ST;WARWICK FARM;2170;;;20090415;20090513;153000;;R;RESIDENCE;23;;;0;AE747680;
C;223;2523685;36;20090629 01:44;23/SP39256;
D;223;2523685;36;20090629 01:44;P;;;;;;
D;223;2523685;36;20090629 01:44;V;;;;;;
B;223;2491694;37;20090629 01:44;;2;29;FLOWERDALE RD;LIVERPOOL;2170;;;20090420;20090605;301500;;R;RESIDENCE;2;;;0;AE744935;
C;223;2491694;37;20090629 01:44;2/SP46708;
D;223;2491694;37;20090629 01:44;P;;;;;;
D;223;2491694;37;20090629 01:44;V;;;;;;
B;223;2497003;38;20090629 01:44;;;19;HIGHGROVE CT;CECIL HILLS;2171;476.9;M;20090407;20090604;465000;A;R;RESIDENCE;;AS;;0;AE749815;
C;223;2497003;38;20090629 01:44;4058/841332;
D;223;2497003;38;20090629 01:44;P;;;;;;
D;223;2497003;38;20090629 01:44;V;;;;;;
D;223;2497003;38;20090629 01:44;V;;;;;;
B;223;2507864;39;20090629 01:44;;;33;MIVO ST;HOLSWORTHY;2173;525.2;M;20090315;20090522;334000;A;R;RESIDENCE;;LQ;;0;AE742192;
C;223;2507864;39;20090629 01:44;502/832464;
D;223;2507864;39;20090629 01:44;P;;;;;;
D;223;2507864;39;20090629 01:44;P;;;;;;
D;223;2507864;39;20090629 01:44;V;;;;;;
B;223;2518504;40;20090629 01:44;;;35;SOUTH LIVERPOOL RD;HECKENBERG;2168;619.7;M;20090220;20090406;310000;A;R;RESIDENCE;;LH;;0;AE749253;
C;223;2518504;40;20090629 01:44;202/226225;
D;223;2518504;40;20090629 01:44;P;;;;;;
D;223;2518504;40;20090629 01:44;V;;;;;;
D;223;2518504;40;20090629 01:44;V;;;;;;
B;223;2494457;41;20090629 01:44;;;1029;GREENDALE RD;WALLACIA;2745;1410;M;20090518;20090610;386000;A;R;RESIDENCE;;TT;;0;AE743408;
C;223;2494457;41;20090629 01:44;1/17103;
D;223;2494457;41;20090629 01:44;P;;;;;;
D;223;2494457;41;20090629 01:44;V;;;;;;
D;223;2494457;41;20090629 01:44;V;;;;;;
B;223;2524256;42;20090629 01:44;;10;42;WELLWOOD AVE;MOOREBANK;2170;;;20090514;20090604;330000;;R;RESIDENCE;10;;;0;AE741530;
C;223;2524256;42;20090629 01:44;10/SP51636;
D;223;2524256;42;20090629 01:44;P;;;;;;
D;223;2524256;42;20090629 01:44;P;;;;;;
D;223;2524256;42;20090629 01:44;V;;;;;;
B;223;2497522;43;20090629 01:44;;4;26;HOLLAND CRES;CASULA;2170;;;20090403;20090610;278000;;R;RESIDENCE;4;;;0;AE750526;
C;223;2497522;43;20090629 01:44;4/SP47552;
D;223;2497522;43;20090629 01:44;P;;;;;;
D;223;2497522;43;20090629 01:44;V;;;;;;
D;223;2497522;43;20090629 01:44;V;;;;;;
B;223;2502959;44;20090629 01:44;;;7;LIGATO PL;LIVERPOOL;2170;452.6;M;20090504;20090609;440000;A;R;RESIDENCE;;LL;;0;AE747206;
C;223;2502959;44;20090629 01:44;325/858707;
D;223;2502959;44;20090629 01:44;P;;;;;;
D;223;2502959;44;20090629 01:44;V;;;;;;
B;223;2505611;45;20090629 01:44;;;25;MARTIN RD;BADGERYS CREEK;2555;2;H;20090127;20090522;825000;R;V;VACANT LAND;;RD;;0;AE753825;
C;223;2505611;45;20090629 01:44;1/611519;
D;223;2505611;45;20090629 01:44;P;;;;;;
D;223;2505611;45;20090629 01:44;V;;;;;;
B;223;2497855;46;20090629 01:44;;;5;HOVEA CT;VOYAGER POINT;2172;510;M;20090316;20090518;595000;A;R;RESIDENCE;;MH;;0;AE747133;
C;223;2497855;46;20090629 01:44;316/1000333;
D;223;2497855;46;20090629 01:44;P;;;;;;
D;223;2497855;46;20090629 01:44;P;;;;;;
D;223;2497855;46;20090629 01:44;V;;;;;;
D;223;2497855;46;20090629 01:44;V;;;;;;
B;223;2497932;47;20090629 01:44;;1;58;HOXTON PARK RD;LIVERPOOL;2170;;;20090408;20090609;287000;;R;RESIDENCE;1;;;0;AE754743;
C;223;2497932;47;20090629 01:44;1/SP64056;
D;223;2497932;47;20090629 01:44;P;;;;;;
D;223;2497932;47;20090629 01:44;V;;;;;;
B;223;2848401;48;20090629 01:44;;3;74;ORANGE GROVE RD;WARWICK FARM;2170;;;20090331;20090512;247000;;3;COMMERCIAL UN;3;;;0;AE741641;
C;223;2848401;48;20090629 01:44;3/SP65220;
D;223;2848401;48;20090629 01:44;P;;;;;;
D;223;2848401;48;20090629 01:44;P;;;;;;
D;223;2848401;48;20090629 01:44;V;;;;;;
B;223;2878113;49;20090629 01:44;;;14;JOSHUA MOORE DR;HORNINGSEA PARK;2171;319.9;M;20090401;20090515;425000;A;R;RESIDENCE;;MP;;0;AE753211;
C;223;2878113;49;20090629 01:44;2/1036429;
D;223;2878113;49;20090629 01:44;P;;;;;;
D;223;2878113;49;20090629 01:44;P;;;;;;
D;223;2878113;49;20090629 01:44;V;;;;;;
D;223;2878113;49;20090629 01:44;V;;;;;;
B;223;2491297;50;20090629 01:44;;3;34;FIRST AVE;HOXTON PARK;2171;;;20090407;20090518;340000;;R;RESIDENCE;3;;;0;AE751382;
C;223;2491297;50;20090629 01:44;3/SP67561;
D;223;2491297;50;20090629 01:44;P;;;;;;
D;223;2491297;50;20090629 01:44;V;;;;;;
B;223;2953928;51;20090629 01:44;;;38;BROULIE ST;PRESTONS;2170;954.4;M;20090404;20090605;225000;A;V;VACANT LAND;;MP;;0;AE740775;
C;223;2953928;51;20090629 01:44;15/1046636;
D;223;2953928;51;20090629 01:44;P;;;;;;
D;223;2953928;51;20090629 01:44;P;;;;;;
D;223;2953928;51;20090629 01:44;V;;;;;;
D;223;2953928;51;20090629 01:44;V;;;;;;
D;223;2953928;51;20090629 01:44;V;;;;;;
B;223;3370787;52;20090629 01:44;;;28;BRADBURY ST;MOOREBANK;2170;500;M;20090429;20090610;265000;A;V;VACANT LAND;;LS;;0;AE748466;
C;223;3370787;52;20090629 01:44;1306/1110328;
D;223;3370787;52;20090629 01:44;P;;;;;;
D;223;3370787;52;20090629 01:44;P;;;;;;
D;223;3370787;52;20090629 01:44;V;;;;;;
D;223;3370787;52;20090629 01:44;V;;;;;;
B;223;3371027;53;20090629 01:44;;;43;BRADBURY ST;MOOREBANK;2170;619.1;M;20090323;20090604;339000;A;V;VACANT LAND;;LS;;0;AE739691;
C;223;3371027;53;20090629 01:44;1318/1110328;
D;223;3371027;53;20090629 01:44;P;;;;;;
D;223;3371027;53;20090629 01:44;V;;;;;;
D;223;3371027;53;20090629 01:44;V;;;;;;
B;223;3371069;54;20090629 01:44;;;7;SCHULTEN ST;MOOREBANK;2170;511.4;M;20090427;20090609;265000;A;R;RESIDENCE;;LS;;0;AE746263;
C;223;3371069;54;20090629 01:44;1334/1110328;
D;223;3371069;54;20090629 01:44;P;;;;;;
D;223;3371069;54;20090629 01:44;V;;;;;;
D;223;3371069;54;20090629 01:44;V;;;;;;
B;223;3371085;55;20090629 01:44;;;42;BRADBURY ST;MOOREBANK;2170;400;M;20090429;20090610;243000;A;V;VACANT LAND;;LS;;0;AE750398;
C;223;3371085;55;20090629 01:44;1343/1110328;
D;223;3371085;55;20090629 01:44;P;;;;;;
D;223;3371085;55;20090629 01:44;P;;;;;;
D;223;3371085;55;20090629 01:44;V;;;;;;
D;223;3371085;55;20090629 01:44;V;;;;;;
B;223;3438307;56;20090629 01:44;;;14;MOONDARRA DR;WEST HOXTON;2171;525.4;M;20090415;20090514;275000;A;V;VACANT LAND;;MN;;0;AE747317;
C;223;3438307;56;20090629 01:44;5016/1127155;
D;223;3438307;56;20090629 01:44;P;;;;;;
D;223;3438307;56;20090629 01:44;P;;;;;;
D;223;3438307;56;20090629 01:44;V;;;;;;
B;223;3437864;57;20090629 01:44;;;25;FLAME TREE ST;CASULA;2170;540;M;20090519;20090610;275000;A;V;VACANT LAND;;AA;;0;AE751173;
C;223;3437864;57;20090629 01:44;1011/1135005;
D;223;3437864;57;20090629 01:44;P;;;;;;
D;223;3437864;57;20090629 01:44;P;;;;;;
D;223;3437864;57;20090629 01:44;V;;;;;;
B;223;3442068;58;20090629 01:44;;4;2;WEBSTER RD;LURNEA;2170;;;20090421;20090529;385000;;R;RESIDENCE;4;;;0;AE738271;
C;223;3442068;58;20090629 01:44;4/SP82008;
D;223;3442068;58;20090629 01:44;P;;;;;;
D;223;3442068;58;20090629 01:44;V;;;;;;
B;223;3449657;59;20090629 01:44;;;27;PACIFIC PALMS CCT;HOXTON PARK;2171;398.9;M;20090217;20090515;220000;A;V;VACANT LAND;;MN;;0;AE740317;
C;223;3449657;59;20090629 01:44;202/1138186;
