A;097;20090330 01:25;VALNET;
B;097;3421501;1;20090330 01:25;;;;NORMAN PL;BIMBIMBIE;2536;2.037;H;20090130;20090313;175000;R;V;VACANT LAND;;LU;;0;AE558934;
C;097;3421501;1;20090330 01:25;13/1132771;
D;097;3421501;1;20090330 01:25;P;;;;;;
D;097;3421501;1;20090330 01:25;P;;;;;;
D;097;3421501;1;20090330 01:25;V;;;;;;
D;097;3421501;1;20090330 01:25;V;;;;;;
D;097;3421501;1;20090330 01:25;V;;;;;;
B;097;3432825;2;20090330 01:25;;;217;GEORGE BASS DR;SURF BEACH;2536;5008;M;20081017;20090303;238000;R;V;VACANT LAND;;LT;;0;AE564214;
C;097;3432825;2;20090330 01:25;3/1135070;
D;097;3432825;2;20090330 01:25;P;;;;;;
D;097;3432825;2;20090330 01:25;V;;;;;;
D;097;3432825;2;20090330 01:25;V;;;;;;
B;097;3069032;3;20090330 01:25;;;15;DULIP CL;DALMENY;2546;804;M;20081125;20081223;89000;A;V;VACANT LAND;;WR;;0;AE565155;
C;097;3069032;3;20090330 01:25;16/1064369;
D;097;3069032;3;20090330 01:25;P;;;;;;
D;097;3069032;3;20090330 01:25;P;;;;;;
D;097;3069032;3;20090330 01:25;V;;;;;;
D;097;3069032;3;20090330 01:25;V;;;;;;
D;097;3069032;3;20090330 01:25;V;;;;;;
B;097;3069037;4;20090330 01:25;;;3;DULIP CL;DALMENY;2546;800;M;20090130;20090316;435000;A;R;RESIDENCE;;WR;;0;AE567192;
C;097;3069037;4;20090330 01:25;21/1064369;
D;097;3069037;4;20090330 01:25;P;;;;;;
D;097;3069037;4;20090330 01:25;P;;;;;;
D;097;3069037;4;20090330 01:25;V;;;;;;
D;097;3069037;4;20090330 01:25;V;;;;;;
B;097;1000392;5;20090330 01:25;;;12;BURRAWANG CRES;SUNSHINE BAY;2536;557;M;20090131;20090302;337000;A;R;RESIDENCE;;YG;;0;AE558217;
C;097;1000392;5;20090330 01:25;111/250697;
D;097;1000392;5;20090330 01:25;P;;;;;;
D;097;1000392;5;20090330 01:25;P;;;;;;
D;097;1000392;5;20090330 01:25;V;;;;;;
D;097;1000392;5;20090330 01:25;V;;;;;;
B;097;1000657;6;20090330 01:25;;;27;CATALINA DR;CATALINA;2536;506.7;M;20090122;20090305;289000;A;R;RESIDENCE;;YP;;0;AE562439;
C;097;1000657;6;20090330 01:25;45/242907;
D;097;1000657;6;20090330 01:25;P;;;;;;
D;097;1000657;6;20090330 01:25;P;;;;;;
D;097;1000657;6;20090330 01:25;V;;;;;;
D;097;1000657;6;20090330 01:25;V;;;;;;
B;097;1002262;7;20090330 01:25;;;4;IRENE AVE;BATEHAVEN;2536;588.1;M;20090122;20090305;252000;A;R;RESIDENCE;;YM;;0;AE561633;
C;097;1002262;7;20090330 01:25;123/214003;
D;097;1002262;7;20090330 01:25;P;;;;;;
D;097;1002262;7;20090330 01:25;P;;;;;;
D;097;1002262;7;20090330 01:25;V;;;;;;
B;097;1002015;8;20090330 01:25;;;22;NEWTH PL;SURF BEACH;2536;791.6;M;20090217;20090313;455000;A;R;RESIDENCE;;XW;;0;AE563323;
C;097;1002015;8;20090330 01:25;26/263586;
D;097;1002015;8;20090330 01:25;P;;;;;;
D;097;1002015;8;20090330 01:25;V;;;;;;
D;097;1002015;8;20090330 01:25;V;;;;;;
B;097;1002635;9;20090330 01:25;;1;30;MATTHEW PDE;BATEHAVEN;2536;;;20081215;20090227;175000;;R;RESIDENCE;1;;;0;AE556772;
C;097;1002635;9;20090330 01:25;1/SP15496;
D;097;1002635;9;20090330 01:25;P;;;;;;
D;097;1002635;9;20090330 01:25;V;;;;;;
D;097;1002635;9;20090330 01:25;V;;;;;;
B;097;1005569;10;20090330 01:25;;7;534;GEORGE BASS DR;MALUA BAY;2536;;;20090220;20090313;180000;;3;COMMERCIAL;7;;;0;AE564055;
C;097;1005569;10;20090330 01:25;7/SP16940;
D;097;1005569;10;20090330 01:25;P;;;;;;
D;097;1005569;10;20090330 01:25;V;;;;;;
B;097;1003155;11;20090330 01:25;;;10;POOLE PL;SUNSHINE BAY;2536;812.7;M;20090120;20090220;345000;A;R;RESIDENCE;;YH;;0;AE556004;
C;097;1003155;11;20090330 01:25;229/857509;
D;097;1003155;11;20090330 01:25;P;;;;;;
D;097;1003155;11;20090330 01:25;P;;;;;;
D;097;1003155;11;20090330 01:25;V;;;;;;
D;097;1003155;11;20090330 01:25;V;;;;;;
B;097;1011171;12;20090330 01:25;;;71;COOGEE ST;TUROSS HEAD;2537;648.5;M;20090127;20090226;152000;A;R;RESIDENCE;;TG;;0;AE560761;
C;097;1011171;12;20090330 01:25;360/247202;
D;097;1011171;12;20090330 01:25;P;;;;;;
D;097;1011171;12;20090330 01:25;V;;;;;;
