A;303;20090202 01:36;VALNET;
B;303;3431155;1;20090202 01:36;;;126;RYAN ST;SOUTH GRAFTON;2460;612.1;M;20081103;20081215;34000;;V;VACANT LAND;;;;0;AE436924;
C;303;3431155;1;20090202 01:36;1/157701;
D;303;3431155;1;20090202 01:36;P;;;;;;
D;303;3431155;1;20090202 01:36;P;;;;;;
D;303;3431155;1;20090202 01:36;V;;;;;;
D;303;3431155;1;20090202 01:36;V;;;;;;
B;303;3431156;2;20090202 01:36;;;124;RYAN ST;SOUTH GRAFTON;2460;584.3;M;20081113;20081211;156000;;R;RESIDENCE;;;;0;AE426157;
C;303;3431156;2;20090202 01:36;2/157701;
D;303;3431156;2;20090202 01:36;P;;;;;;
D;303;3431156;2;20090202 01:36;P;;;;;;
D;303;3431156;2;20090202 01:36;V;;;;;;
D;303;3431156;2;20090202 01:36;V;;;;;;
B;303;3431162;3;20090202 01:36;OFF;;;UPPER SHARK CREEK RD;SHARK CREEK;2463;16.19;H;20081124;20081222;135000;;V;VACANT LAND;;;;0;AE441229;
C;303;3431162;3;20090202 01:36;176/751372;
D;303;3431162;3;20090202 01:36;P;;;;;;
D;303;3431162;3;20090202 01:36;V;;;;;;
D;303;3431162;3;20090202 01:36;V;;;;;;
B;303;1722263;4;20090202 01:36;;;16;MCHUGH ST;GRAFTON;2460;1315;M;20080804;20090116;660000;A;R;RESIDENCE;;EH;;0;AE449508;
C;303;1722263;4;20090202 01:36;1/732753;
D;303;1722263;4;20090202 01:36;P;;;;;;
D;303;1722263;4;20090202 01:36;P;;;;;;
D;303;1722263;4;20090202 01:36;V;;;;;;
D;303;1722263;4;20090202 01:36;V;;;;;;
B;303;1765494;5;20090202 01:36;;;7;KING PARROT PDE;GULMARRAD;2463;4269;M;20081209;20090115;452000;R;R;RESIDENCE;;JV;;0;AE452839;
C;303;1765494;5;20090202 01:36;11/864937;
D;303;1765494;5;20090202 01:36;P;;;;;;
D;303;1765494;5;20090202 01:36;P;;;;;;
D;303;1765494;5;20090202 01:36;V;;;;;;
B;303;1765633;6;20090202 01:36;;;12;MCPHEE ST;MACLEAN;2463;562.7;M;20081112;20081209;294000;A;R;RESIDENCE;;LP;;0;AE453516;
C;303;1765633;6;20090202 01:36;10/262091;
D;303;1765633;6;20090202 01:36;P;;;;;;
D;303;1765633;6;20090202 01:36;P;;;;;;
D;303;1765633;6;20090202 01:36;V;;;;;;
D;303;1765633;6;20090202 01:36;V;;;;;;
B;303;1766623;7;20090202 01:36;;;3526;PACIFIC HWY;TYNDALE;2460;3642;M;20081013;20081126;220000;R;R;RESIDENCE;;KG;;0;AE363762;
C;303;1766623;7;20090202 01:36;1/510615 1/519016;
D;303;1766623;7;20090202 01:36;P;;;;;;
D;303;1766623;7;20090202 01:36;V;;;;;;
D;303;1766623;7;20090202 01:36;V;;;;;;
B;303;3045581;8;20090202 01:36;;;4;FLINDERS PL;YAMBA;2464;607.1;M;20081205;20090119;475000;A;R;RESIDENCE;;AH;;0;AE457693;
C;303;3045581;8;20090202 01:36;37/1061843;
D;303;3045581;8;20090202 01:36;P;;;;;;
D;303;3045581;8;20090202 01:36;P;;;;;;
D;303;3045581;8;20090202 01:36;V;;;;;;
D;303;3045581;8;20090202 01:36;V;;;;;;
B;303;1839985;9;20090202 01:36;;;11;CLARENCE ST;GLENREAGH;2450;1037;M;20081224;20081224;117500;Z;R;RESIDENCE;;GR;;50;AE448593;
C;303;1839985;9;20090202 01:36;3/11968;
D;303;1839985;9;20090202 01:36;P;;;;;;
D;303;1839985;9;20090202 01:36;V;;;;;;
D;303;1839985;9;20090202 01:36;V;;;;;;
D;303;1839985;9;20090202 01:36;V;;;;;;
D;303;1839985;9;20090202 01:36;V;;;;;;
B;303;1840543;10;20090202 01:36;;;23;COLDSTREAM ST;ULMARRA;2462;1134;M;20081018;20081218;160000;Z;3;CHURCH;;UL;;0;AE449688;
C;303;1840543;10;20090202 01:36;28/1103583;
D;303;1840543;10;20090202 01:36;P;;;;;;
D;303;1840543;10;20090202 01:36;P;;;;;;
D;303;1840543;10;20090202 01:36;V;;;;;;
B;303;3195299;11;20090202 01:36;;;693;ROBERTS CREEK RD;MACLEAN;2463;23.16;H;20081204;20090116;500000;R;R;RESIDENCE;;RC;;0;AE457715;
C;303;3195299;11;20090202 01:36;34/751392;
D;303;3195299;11;20090202 01:36;P;;;;;;
D;303;3195299;11;20090202 01:36;P;;;;;;
D;303;3195299;11;20090202 01:36;V;;;;;;
D;303;3195299;11;20090202 01:36;V;;;;;;
B;303;3202651;12;20090202 01:36;;;;CLYDE ESSEX DR;GULMARRAD;2463;4937;M;20081209;20090106;199500;R;V;VACANT LAND;;JV;;0;AE446310;
C;303;3202651;12;20090202 01:36;12/1087141;
D;303;3202651;12;20090202 01:36;P;;;;;;
D;303;3202651;12;20090202 01:36;P;;;;;;
D;303;3202651;12;20090202 01:36;V;;;;;;
B;303;2818358;13;20090202 01:36;;;7;PARK AVE;YAMBA;2464;651.5;M;20081217;20090108;182000;A;V;VACANT LAND;;AH;;0;AE446472;
C;303;2818358;13;20090202 01:36;3/1026006;
D;303;2818358;13;20090202 01:36;P;;;;;;
D;303;2818358;13;20090202 01:36;V;;;;;;
D;303;2818358;13;20090202 01:36;V;;;;;;
Z;75;13;13;47;
