A;RTSALEDATA;058;20171218 01:12;VALNET;
B;058;526668;1;20171218 01:12;;;1571;MUTTAMA RD;MUTTAMA;2722;3313;M;20171123;20171208;4000;RU1;V;VACANT LAND;;HPA;;0;AM953448;
C;058;526668;1;20171218 01:12;1, 2/1/758742;
D;058;526668;1;20171218 01:12;P;;;;;;
D;058;526668;1;20171218 01:12;P;;;;;;
D;058;526668;1;20171218 01:12;V;;;;;;
B;058;4084928;2;20171218 01:12;;;;GOCUP RD;SOUTH GUNDAGAI;2722;5956;M;20170516;20171108;10000;;V;VACANT LAND;;;;0;AM958080;
C;058;4084928;2;20171218 01:12;PT 2/849950;
D;058;4084928;2;20171218 01:12;P;;;;;;
D;058;4084928;2;20171218 01:12;P;;;;;;
D;058;4084928;2;20171218 01:12;P;;;;;;
D;058;4084928;2;20171218 01:12;V;;;;;;
D;058;4084928;2;20171218 01:12;V;;;;;;
B;058;525107;3;20171218 01:12;;;1;CARRIGG PL;GUNDAGAI;2722;1053;M;20171110;20171210;285000;R1;R;RESIDENCE;;AGA;;0;AM962123;
C;058;525107;3;20171218 01:12;36/712043;
D;058;525107;3;20171218 01:12;P;;;;;;
D;058;525107;3;20171218 01:12;P;;;;;;
D;058;525107;3;20171218 01:12;V;;;;;;
B;058;3273548;4;20171218 01:12;;;6;TENANDRA ST;NANGUS;2722;2428;M;20171109;20171207;184000;RU5;R;RESIDENCE;;VNG;;0;AM967586;
C;058;3273548;4;20171218 01:12;9, 10/846441;
D;058;3273548;4;20171218 01:12;P;;;;;;
D;058;3273548;4;20171218 01:12;P;;;;;;
D;058;3273548;4;20171218 01:12;V;;;;;;
B;058;3670930;5;20171218 01:12;;;28;LAWSON DR;GUNDAGAI;2722;1005;M;20171110;20171208;70000;R1;V;VACANT LAND;;AGA;;0;AM954046;
C;058;3670930;5;20171218 01:12;50/1173450;
D;058;3670930;5;20171218 01:12;P;;;;;;
D;058;3670930;5;20171218 01:12;P;;;;;;
D;058;3670930;5;20171218 01:12;V;;;;;;
B;058;3338521;6;20171218 01:12;;;;SPRINGFIELD LANE;SOUTH GUNDAGAI;2722;7.217;H;20171106;20171212;95000;RU4;V;VACANT LAND;;RSG;;0;AM963360;
C;058;3338521;6;20171218 01:12;2/1117077;
D;058;3338521;6;20171218 01:12;P;;;;;;
D;058;3338521;6;20171218 01:12;V;;;;;;
Z;33;6;6;19;
