A;RTSALEDATA;254;20171002 01:09;VALNET;
C;254;2683169;4;20171002 01:09;3438 1, 3, 11, 12, 13, 14, 15, 16, 28, 29, 32, 33, 34, 37, 39, 40, 41,;
C;254;2683169;4;20171002 01:09; 45, 46, 48, 60, 61, 62, 63, 64, 65, 66, 67, 110/753475 5, 6, 7, 8, 9,;
C;254;2683169;4;20171002 01:09; 10, 11, 12, 13, 14, 15, 16, 17, 18, 50, 53, 54, 55, 56, 57, 62/753482;
C;254;2683169;4;20171002 01:09; 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20;
C;254;2683169;4;20171002 01:09;, 21, 22, 23, 26, 28, 29, 34, 38, 40, 43, 44, 45, 46, 47, 48, 49, 50, ;
C;254;2683169;4;20171002 01:09;51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 63, 64, 65, 66, 67, 68, 75;
C;254;2683169;4;20171002 01:09;, 77, 79, 84, 85, 86, 87, 88, 90, 91, 92, 94, 95, 98, 99, 100, 101, 10;
C;254;2683169;4;20171002 01:09;2, 103, 104/753490 7001/1020573 7002/1020580 1/1107214 1, 2/1107226 1,;
C;254;2683169;4;20171002 01:09; 2/1107227 1, 2/1107287 1, 2, 3, 4/1107311 Enclosure Permit 59154 Lice;
C;254;2683169;4;20171002 01:09;nce 476408;
D;254;2683169;4;20171002 01:09;P;;;;;;
D;254;2683169;4;20171002 01:09;V;;;;;;
Z;56;4;42;8;
