A;RTSALEDATA;242;20170807 01:08;VALNET;
B;242;4049471;1;20170807 01:08;;;463;JUNCTION RD;TENTERDEN;2365;264.1;H;20170630;20170720;600000;;3;FARM;;;;0;AM591464;
C;242;4049471;1;20170807 01:08;1/1180291;
D;242;4049471;1;20170807 01:08;P;;;;;;
D;242;4049471;1;20170807 01:08;P;;;;;;
D;242;4049471;1;20170807 01:08;V;;;;;;
D;242;4049471;1;20170807 01:08;V;;;;;;
B;242;2644401;2;20170807 01:08;NORWOOD;;262;HUDSONS RD;BALDERSLEIGH;2365;388.5;H;20170508;20170526;925000;RU1;R;RESIDENCE;;RRW;;0;AM535175;
C;242;2644401;2;20170807 01:08;24/753682;
D;242;2644401;2;20170807 01:08;P;;;;;;
D;242;2644401;2;20170807 01:08;V;;;;;;
D;242;2644401;2;20170807 01:08;V;;;;;;
D;242;2644401;2;20170807 01:08;V;;;;;;
D;242;2644401;2;20170807 01:08;V;;;;;;
B;242;2642101;3;20170807 01:08;IRON RIDGE;;200;ABERDEEN RD;STANBOROUGH;2360;48.99;H;20170621;20170725;340000;RU1;R;RESIDENCE;;RRS;;0;AM609519;
C;242;2642101;3;20170807 01:08;5/255937;
D;242;2642101;3;20170807 01:08;P;;;;;;
D;242;2642101;3;20170807 01:08;P;;;;;;
D;242;2642101;3;20170807 01:08;V;;;;;;
D;242;2642101;3;20170807 01:08;V;;;;;;
B;242;2642446;4;20170807 01:08;;;30;RUBY ST;TINGHA;2369;980.1;M;20170623;20170623;60000;RU5;R;RESIDENCE;;ZVT;;0;AM610491;
C;242;2642446;4;20170807 01:08;1/539678;
D;242;2642446;4;20170807 01:08;P;;;;;;
D;242;2642446;4;20170807 01:08;V;;;;;;
B;242;2642640;5;20170807 01:08;;;87;BRADLEY ST;GUYRA;2365;765.1;M;20170724;20170724;400000;B2;3;COMMERCIAL;;GBA;;0;AM596103;
C;242;2642640;5;20170807 01:08;PT 1/19/758497;
D;242;2642640;5;20170807 01:08;P;;;;;;
D;242;2642640;5;20170807 01:08;V;;;;;;
D;242;2642640;5;20170807 01:08;V;;;;;;
Z;30;5;5;18;
