A;RTSALEDATA;192;20171204 01:18;VALNET;
B;192;4080243;1;20171204 01:18;;;;TYRONE RD;GURLEY;2398;22.64;H;20130923;20171027;29560;;V;VACANT LAND;;;;0;AM903122;
C;192;4080243;1;20171204 01:18;9/1197684;
D;192;4080243;1;20171204 01:18;P;;;;;;
D;192;4080243;1;20171204 01:18;P;;;;;;
D;192;4080243;1;20171204 01:18;P;;;;;;
D;192;4080243;1;20171204 01:18;V;;;;;;
B;192;4080244;2;20171204 01:18;;;;TYRONE RD;GURLEY;2398;19.54;H;20130923;20171027;29560;;V;VACANT LAND;;;;0;AM903122;
C;192;4080244;2;20171204 01:18;10/1197684;
D;192;4080244;2;20171204 01:18;P;;;;;;
D;192;4080244;2;20171204 01:18;P;;;;;;
D;192;4080244;2;20171204 01:18;P;;;;;;
D;192;4080244;2;20171204 01:18;V;;;;;;
B;192;4080230;3;20171204 01:18;PART BETHLEE;;;MOSQUITO CREEK RD;PALLAMALLAWA;2399;158.54;H;20171006;20171031;1322215;;3;FARM/RURAL;;;;0;AM906266;
C;192;4080230;3;20171204 01:18;1/130911 47/751784;
D;192;4080230;3;20171204 01:18;P;;;;;;
D;192;4080230;3;20171204 01:18;P;;;;;;
D;192;4080230;3;20171204 01:18;V;;;;;;
B;192;4080231;4;20171204 01:18;;;2577;MOSQUITO CREEK RD;PALLAMALLAWA;2399;166.83;H;20171006;20171031;824524;;3;FARM/RURAL;;;;0;AM917401;
C;192;4080231;4;20171204 01:18;82/751784;
D;192;4080231;4;20171204 01:18;P;;;;;;
D;192;4080231;4;20171204 01:18;P;;;;;;
D;192;4080231;4;20171204 01:18;V;;;;;;
B;192;1868772;5;20171204 01:18;CARBEEN;;23290;BRUXNER WAY;BOGGABILLA;2409;16.298;H;20170911;20171026;330000;RU1;R;RESIDENCE;;RRE;;0;AM914888;
C;192;1868772;5;20171204 01:18;1/661588 14/755980;
D;192;1868772;5;20171204 01:18;P;;;;;;
D;192;1868772;5;20171204 01:18;V;;;;;;
B;192;1863941;6;20171204 01:18;;;83;ANNE ST;MOREE;2400;1505;M;20171013;20171124;134000;R1;R;RESIDENCE;;AMW;;0;AM925914;
C;192;1863941;6;20171204 01:18;10/29737;
D;192;1863941;6;20171204 01:18;P;;;;;;
D;192;1863941;6;20171204 01:18;V;;;;;;
D;192;1863941;6;20171204 01:18;V;;;;;;
B;192;1866964;7;20171204 01:18;;;2;SUGARWOOD PL;MOREE;2400;888.6;M;20170805;20170818;6000;R1;V;VACANT LAND;;AMW;;0;AM715384;
C;192;1866964;7;20171204 01:18;48/263789;
D;192;1866964;7;20171204 01:18;P;;;;;;
D;192;1866964;7;20171204 01:18;V;;;;;;
B;192;1866965;8;20171204 01:18;;;3;SUGARWOOD PL;MOREE;2400;759.9;M;20170805;20170818;6000;R1;V;VACANT LAND;;AMW;;0;AM715384;
C;192;1866965;8;20171204 01:18;53/263789;
D;192;1866965;8;20171204 01:18;P;;;;;;
D;192;1866965;8;20171204 01:18;V;;;;;;
B;192;1866966;9;20171204 01:18;;;1;SUGARWOOD PL;MOREE;2400;755.3;M;20170805;20170818;6000;R1;V;VACANT LAND;;AMW;;0;AM715384;
C;192;1866966;9;20171204 01:18;54/263789;
D;192;1866966;9;20171204 01:18;P;;;;;;
D;192;1866966;9;20171204 01:18;V;;;;;;
B;192;1867756;10;20171204 01:18;;;38;WALKER ST;MUNGINDI;2406;2023;M;20170928;20171101;95000;RU5;R;RESIDENCE;;AVM;;0;AM916286;
C;192;1867756;10;20171204 01:18;4/6/758729;
D;192;1867756;10;20171204 01:18;P;;;;;;
D;192;1867756;10;20171204 01:18;V;;;;;;
B;192;1865591;11;20171204 01:18;;;14;FLORENCE ST;MOREE;2400;934.2;M;20170925;20171127;16950;R1;V;VACANT LAND;;AMW;;0;AM924570;
C;192;1865591;11;20171204 01:18;10/251042;
D;192;1865591;11;20171204 01:18;P;;;;;;
D;192;1865591;11;20171204 01:18;V;;;;;;
B;192;1868166;12;20171204 01:18;;;10;MANCHEE ST;BINIGUY;2399;5059;M;20171026;20171124;17000;RU5;R;RESIDENCE;;AVV;;0;AM927637;
C;192;1868166;12;20171204 01:18;2/347959 11, 12/1/758112;
D;192;1868166;12;20171204 01:18;P;;;;;;
D;192;1868166;12;20171204 01:18;V;;;;;;
Z;57;12;12;31;
