A;RTSALEDATA;022;20170904 01:02;VALNET;
B;022;414848;1;20170904 01:02;;;256;BOOROWA ST;YOUNG;2594;5481;M;20170712;20170823;1850000;B4;3;COMMERCIAL;;YBB;;0;AM678875;
C;022;414848;1;20170904 01:02;1/875255;
D;022;414848;1;20170904 01:02;P;;;;;;
D;022;414848;1;20170904 01:02;P;;;;;;
D;022;414848;1;20170904 01:02;V;;;;;;
B;022;414903;2;20170904 01:02;;;4;BRIGGS ST;YOUNG;2594;1112;M;20170727;20170818;312000;R1;R;RESIDENCE;;YAG;;0;AM677233;
C;022;414903;2;20170904 01:02;2/574200;
D;022;414903;2;20170904 01:02;P;;;;;;
D;022;414903;2;20170904 01:02;P;;;;;;
D;022;414903;2;20170904 01:02;V;;;;;;
B;022;412490;3;20170904 01:02;;;117;COWRA ST;KOORAWATHA;2807;2782;M;20170703;20170821;247500;RU5;R;RESIDENCE;;YZA;;0;AM679622;
C;022;412490;3;20170904 01:02;1/186988;
D;022;412490;3;20170904 01:02;P;;;;;;
D;022;412490;3;20170904 01:02;P;;;;;;
D;022;412490;3;20170904 01:02;V;;;;;;
B;022;417517;4;20170904 01:02;;;78;WINDERMERE ST;YOUNG;2594;8309;M;20170623;20170823;420000;R1;R;RESIDENCE;;YAJ;;0;AM671567;
C;022;417517;4;20170904 01:02;11/773146;
D;022;417517;4;20170904 01:02;P;;;;;;
D;022;417517;4;20170904 01:02;V;;;;;;
B;022;415195;5;20170904 01:02;;;10;CLOETE ST;YOUNG;2594;1087;M;20170817;20170818;325000;B4;R;RESIDENCE;;YBC;;0;AM688782;
C;022;415195;5;20170904 01:02;5/38A/759144;
D;022;415195;5;20170904 01:02;P;;;;;;
D;022;415195;5;20170904 01:02;V;;;;;;
B;022;415748;6;20170904 01:02;;;19;HARDY AVE;YOUNG;2594;761.3;M;20170726;20170824;325000;R1;R;RESIDENCE;;YAC;;0;AM679799;
C;022;415748;6;20170904 01:02;13/258032;
D;022;415748;6;20170904 01:02;P;;;;;;
D;022;415748;6;20170904 01:02;V;;;;;;
D;022;415748;6;20170904 01:02;V;;;;;;
B;022;416029;7;20170904 01:02;;;13;CHUMS LANE;YOUNG;2594;663.9;M;20170622;20170818;247000;RU4;R;RESIDENCE;;YEA;;0;AM672350;
C;022;416029;7;20170904 01:02;7/222244;
D;022;416029;7;20170904 01:02;P;;;;;;
D;022;416029;7;20170904 01:02;P;;;;;;
D;022;416029;7;20170904 01:02;V;;;;;;
B;022;3454757;8;20170904 01:02;;;38;CHUMS LANE;YOUNG;2594;1.173;H;20170708;20170822;381000;RU4;3;PRIMARY PRODUC;;YEA;;0;AM678115;
C;022;3454757;8;20170904 01:02;1/727542 1244/754611;
D;022;3454757;8;20170904 01:02;P;;;;;;
D;022;3454757;8;20170904 01:02;V;;;;;;
D;022;3454757;8;20170904 01:02;V;;;;;;
B;022;416158;9;20170904 01:02;;;43;MCLERIE ST;YOUNG;2594;1859;M;20170522;20170822;385000;R1;R;RESIDENCE;;YAB;;0;AM677948;
C;022;416158;9;20170904 01:02;1/186662 A/330147;
D;022;416158;9;20170904 01:02;P;;;;;;
D;022;416158;9;20170904 01:02;P;;;;;;
D;022;416158;9;20170904 01:02;V;;;;;;
B;022;416571;10;20170904 01:02;;;47;NASMYTH ST;YOUNG;2594;7645;M;20170726;20170823;270000;R1;R;RESIDENCE;;YAJ;;0;AM684589;
C;022;416571;10;20170904 01:02;A/340033 686/664715;
D;022;416571;10;20170904 01:02;P;;;;;;
D;022;416571;10;20170904 01:02;P;;;;;;
D;022;416571;10;20170904 01:02;V;;;;;;
B;022;416804;11;20170904 01:02;;;19;PINEVIEW CCT;YOUNG;2594;954;M;20170707;20170818;360000;R1;R;RESIDENCE;;YAE;;0;AM673458;
C;022;416804;11;20170904 01:02;55/805834;
D;022;416804;11;20170904 01:02;P;;;;;;
D;022;416804;11;20170904 01:02;P;;;;;;
D;022;416804;11;20170904 01:02;V;;;;;;
D;022;416804;11;20170904 01:02;V;;;;;;
B;022;416945;12;20170904 01:02;;;2;STANLEY ST;YOUNG;2594;695.6;M;20170717;20170821;227000;R1;R;RESIDENCE;;YAC;;0;AM677126;
C;022;416945;12;20170904 01:02;5/35916;
D;022;416945;12;20170904 01:02;P;;;;;;
D;022;416945;12;20170904 01:02;P;;;;;;
D;022;416945;12;20170904 01:02;V;;;;;;
Z;61;12;12;35;
