A;RTSALEDATA;240;20170821 01:09;VALNET;
B;240;2637625;1;20170821 01:09;;;18;MILLER ST;GILGANDRA;2827;176.3;M;20170623;20170802;90000;B2;3;COMMERCIAL;;BBA;;0;AM639667;
C;240;2637625;1;20170821 01:09;22/701305;
D;240;2637625;1;20170821 01:09;P;;;;;;
D;240;2637625;1;20170821 01:09;V;;;;;;
D;240;2637625;1;20170821 01:09;V;;;;;;
B;240;3156838;2;20170821 01:09;;;675;BALLADORAN RAILWAY RD;GILGANDRA;2827;107.7;H;20170706;20170810;535000;RU1;3;FARM;;RHA;;0;AM644202;
C;240;3156838;2;20170821 01:09;351/1068214;
D;240;3156838;2;20170821 01:09;P;;;;;;
D;240;3156838;2;20170821 01:09;P;;;;;;
D;240;3156838;2;20170821 01:09;V;;;;;;
D;240;3156838;2;20170821 01:09;V;;;;;;
Z;13;2;2;7;
