A;241;20050616 08:51;PDANN;
B;241;2640057;1;20050616 08:51;;;87;HUME ST;GLOUCESTER;2422;950.5;M;20050415;20050513;180000;A;R;RESIDENCE;;AC;;0;AB505428;
C;241;2640057;1;20050616 08:51;14/12/192505;
D;241;2640057;1;20050616 08:51;P;;;;;;
D;241;2640057;1;20050616 08:51;P;;;;;;
D;241;2640057;1;20050616 08:51;V;;;;;;
B;241;2640283;2;20050616 08:51;;;13;MARKET ST;GLOUCESTER;2422;;;20050121;20050225;180000;A;R;RESIDENCE;;AA;;0;4458015;
C;241;2640283;2;20050616 08:51;PT 6/L/192505;
D;241;2640283;2;20050616 08:51;P;;;;;;
D;241;2640283;2;20050616 08:51;V;;;;;;
B;241;2640759;3;20050616 08:51;;;292;MCKINLEYS LANE;FORBESDALE;2422;123.4;H;20050324;20050513;780000;R;R;RESIDENCE;;RC;;0;AB522783;
C;241;2640759;3;20050616 08:51;129/979859;
D;241;2640759;3;20050616 08:51;P;;;;;;
D;241;2640759;3;20050616 08:51;V;;;;;;
D;241;2640759;3;20050616 08:51;V;;;;;;
B;241;2641567;4;20050616 08:51;;;;BUCKETTS WAY E;TUGRABAKH;2422;6.84;H;20040401;20040603;230000;R;R;RESIDENCE;;RL;;0;AB498281;
C;241;2641567;4;20050616 08:51;383/1012726;
D;241;2641567;4;20050616 08:51;P;;;;;;
D;241;2641567;4;20050616 08:51;P;;;;;;
D;241;2641567;4;20050616 08:51;V;;;;;;
D;241;2641567;4;20050616 08:51;V;;;;;;
B;241;2642026;5;20050616 08:51;;;1832;MOPPY RD;RAWDON VALE;2422;116.9;H;20050310;20050310;150000;R;V;VACANT LAND;;RC;;67;AB505761;
C;241;2642026;5;20050616 08:51;1, 14, 28, 29, 30, 45/753218 Enclosure Permit 32349;
D;241;2642026;5;20050616 08:51;P;;;;;;
D;241;2642026;5;20050616 08:51;P;;;;;;
D;241;2642026;5;20050616 08:51;P;;;;;;
D;241;2642026;5;20050616 08:51;P;;;;;;
D;241;2642026;5;20050616 08:51;P;;;;;;
D;241;2642026;5;20050616 08:51;V;;;;;;
D;241;2642026;5;20050616 08:51;V;;;;;;
D;241;2642026;5;20050616 08:51;V;;;;;;
D;241;2642026;5;20050616 08:51;V;;;;;;
D;241;2642026;5;20050616 08:51;V;;;;;;
B;241;3178553;6;20050616 08:51;;;;BARRINGTON WEST RD;BARRINGTON;2422;4.342;H;20040415;20040929;350000;;R;RESIDENCE;;;;0;AB505723;
C;241;3178553;6;20050616 08:51;21/1067124;
D;241;3178553;6;20050616 08:51;P;;;;;;
D;241;3178553;6;20050616 08:51;P;;;;;;
D;241;3178553;6;20050616 08:51;V;;;;;;
Z;39;6;6;25;
