A;224;20050117 11:15;PBARBER;
B;224;2527524;1;20050117 11:15;;;8;ADAMS CRES;ST MARYS;2760;594.4;M;20040912;20041202;285000;A;R;RESIDENCE;;AC;;0;AB137889;
C;224;2527524;1;20050117 11:15;31/36757;
D;224;2527524;1;20050117 11:15;P;;;;;;
D;224;2527524;1;20050117 11:15;V;;;;;;
B;224;2528115;2;20050117 11:15;;;3;ALEXANDRA CCT;ST CLAIR;2759;560;M;20041119;20041220;325000;A;R;RESIDENCE;;AA;;0;AB189771;
C;224;2528115;2;20050117 11:15;29/601380;
D;224;2528115;2;20050117 11:15;P;;;;;;
D;224;2528115;2;20050117 11:15;P;;;;;;
D;224;2528115;2;20050117 11:15;V;;;;;;
D;224;2528115;2;20050117 11:15;V;;;;;;
B;224;2528170;3;20050117 11:15;;;5;ALGIE CRES;KINGSWOOD;2747;556.4;M;20041010;20041119;316500;A;R;RESIDENCE;;AR;;0;AB186703;
C;224;2528170;3;20050117 11:15;7/242174;
D;224;2528170;3;20050117 11:15;P;;;;;;
D;224;2528170;3;20050117 11:15;P;;;;;;
D;224;2528170;3;20050117 11:15;V;;;;;;
D;224;2528170;3;20050117 11:15;V;;;;;;
B;224;2528297;4;20050117 11:15;;;13;ALLAWAH CT;ERSKINE PARK;2759;617;M;20041203;20041220;365000;A;R;RESIDENCE;;AH;;0;AB187107;
C;224;2528297;4;20050117 11:15;318/807150;
D;224;2528297;4;20050117 11:15;P;;;;;;
D;224;2528297;4;20050117 11:15;P;;;;;;
D;224;2528297;4;20050117 11:15;V;;;;;;
D;224;2528297;4;20050117 11:15;V;;;;;;
B;224;2528356;5;20050117 11:15;;;9;ALLSOPP DR;CAMBRIDGE GARDENS;2747;746.8;M;20041029;20041215;285000;A;R;RESIDENCE;;GV;;0;AB198108;
C;224;2528356;5;20050117 11:15;411/246920;
D;224;2528356;5;20050117 11:15;P;;;;;;
D;224;2528356;5;20050117 11:15;P;;;;;;
D;224;2528356;5;20050117 11:15;V;;;;;;
D;224;2528356;5;20050117 11:15;V;;;;;;
B;224;2530140;6;20050117 11:15;;;42;BALLYBUNNION TCE;GLENMORE PARK;2745;415.7;M;20041110;20041117;379000;A;R;RESIDENCE;;KP;;0;AB195579;
C;224;2530140;6;20050117 11:15;766/872823;
D;224;2530140;6;20050117 11:15;P;;;;;;
D;224;2530140;6;20050117 11:15;V;;;;;;
D;224;2530140;6;20050117 11:15;V;;;;;;
B;224;2530165;7;20050117 11:15;;;4;BALMORAL DR;CAMBRIDGE PARK;2747;556.4;M;20041106;20041220;335000;A;R;RESIDENCE;;GU;;0;AB202285;
C;224;2530165;7;20050117 11:15;38/28965;
D;224;2530165;7;20050117 11:15;P;;;;;;
D;224;2530165;7;20050117 11:15;P;;;;;;
D;224;2530165;7;20050117 11:15;V;;;;;;
B;224;2530249;8;20050117 11:15;;;3;BANJO CRES;EMU PLAINS;2750;463.8;M;20041029;20041217;355000;A;R;RESIDENCE;;BR;;0;AB185524;
C;224;2530249;8;20050117 11:15;3/706182;
D;224;2530249;8;20050117 11:15;P;;;;;;
D;224;2530249;8;20050117 11:15;P;;;;;;
D;224;2530249;8;20050117 11:15;V;;;;;;
D;224;2530249;8;20050117 11:15;V;;;;;;
B;224;2530392;9;20050117 11:15;;;11;BANKS DR;ST CLAIR;2759;864;M;20041110;20041220;344000;A;R;RESIDENCE;;AA;;0;AB201912;
C;224;2530392;9;20050117 11:15;5144/260507;
D;224;2530392;9;20050117 11:15;P;;;;;;
D;224;2530392;9;20050117 11:15;P;;;;;;
D;224;2530392;9;20050117 11:15;V;;;;;;
D;224;2530392;9;20050117 11:15;V;;;;;;
B;224;2531733;10;20050117 11:15;;;5;BELLEREVE PL;LEONAY;2750;662.6;M;20041221;20041221;485000;A;R;RESIDENCE;;GN;;0;AB182528;
C;224;2531733;10;20050117 11:15;88/244894;
D;224;2531733;10;20050117 11:15;P;;;;;;
D;224;2531733;10;20050117 11:15;V;;;;;;
D;224;2531733;10;20050117 11:15;V;;;;;;
B;224;2532137;11;20050117 11:15;;;113;BENNETT RD;LONDONDERRY;2753;4.355;H;20041118;20041210;579000;R;V;VACANT LAND;;RD;;0;AB183287;
C;224;2532137;11;20050117 11:15;14/26302;
D;224;2532137;11;20050117 11:15;P;;;;;;
D;224;2532137;11;20050117 11:15;V;;;;;;
D;224;2532137;11;20050117 11:15;V;;;;;;
B;224;2532152;12;20050117 11:15;;;28;BENNETT RD;LONDONDERRY;2753;1.012;H;20041008;20041129;605000;R;R;RESIDENCE;;RD;;0;AB181483;
C;224;2532152;12;20050117 11:15;72/A/24679;
D;224;2532152;12;20050117 11:15;P;;;;;;
D;224;2532152;12;20050117 11:15;P;;;;;;
D;224;2532152;12;20050117 11:15;V;;;;;;
D;224;2532152;12;20050117 11:15;V;;;;;;
D;224;2532152;12;20050117 11:15;V;;;;;;
D;224;2532152;12;20050117 11:15;V;;;;;;
B;224;2532152;13;20050117 11:15;;;28;BENNETT RD;LONDONDERRY;2753;1.012;H;20041008;20041129;6050;R;R;RESIDENCE;;RD;;0;AB181484;
C;224;2532152;13;20050117 11:15;72/A/24679;
D;224;2532152;13;20050117 11:15;P;;;;;;
D;224;2532152;13;20050117 11:15;P;;;;;;
D;224;2532152;13;20050117 11:15;P;;;;;;
D;224;2532152;13;20050117 11:15;V;;;;;;
D;224;2532152;13;20050117 11:15;V;;;;;;
D;224;2532152;13;20050117 11:15;V;;;;;;
D;224;2532152;13;20050117 11:15;V;;;;;;
B;224;2532424;14;20050117 11:15;;;34;BESLEY ST;CAMBRIDGE PARK;2747;645;M;20041116;20041217;348000;A;R;RESIDENCE;;GV;;0;AB197344;
C;224;2532424;14;20050117 11:15;30/239877;
D;224;2532424;14;20050117 11:15;P;;;;;;
D;224;2532424;14;20050117 11:15;P;;;;;;
D;224;2532424;14;20050117 11:15;V;;;;;;
D;224;2532424;14;20050117 11:15;V;;;;;;
B;224;2533279;15;20050117 11:15;;;4;BOEING PL;ST CLAIR;2759;629;M;20040929;20041110;353000;A;R;RESIDENCE;;AA;;0;AB189147;
C;224;2533279;15;20050117 11:15;45/260938;
D;224;2533279;15;20050117 11:15;P;;;;;;
D;224;2533279;15;20050117 11:15;P;;;;;;
D;224;2533279;15;20050117 11:15;V;;;;;;
D;224;2533279;15;20050117 11:15;V;;;;;;
B;224;2533629;16;20050117 11:15;;;8;BOTTLE BRUSH PL;COLYTON;2760;467.2;M;20041108;20041220;321000;A;R;RESIDENCE;;AC;;0;AB189890;
C;224;2533629;16;20050117 11:15;240/819631;
D;224;2533629;16;20050117 11:15;P;;;;;;
D;224;2533629;16;20050117 11:15;P;;;;;;
D;224;2533629;16;20050117 11:15;V;;;;;;
D;224;2533629;16;20050117 11:15;V;;;;;;
B;224;2533921;17;20050117 11:15;;;14;BRADMAN AVE;ST CLAIR;2759;700;M;20041121;20041220;441500;A;R;RESIDENCE;;AA;;0;AB205481;
C;224;2533921;17;20050117 11:15;2051/255371;
D;224;2533921;17;20050117 11:15;P;;;;;;
D;224;2533921;17;20050117 11:15;V;;;;;;
D;224;2533921;17;20050117 11:15;V;;;;;;
B;224;2534576;18;20050117 11:15;;;3;BRITTEN CL;CRANEBROOK;2749;540;M;20041101;20041130;340000;A;R;RESIDENCE;;AV;;0;AB192850;
C;224;2534576;18;20050117 11:15;1074/803591;
D;224;2534576;18;20050117 11:15;P;;;;;;
D;224;2534576;18;20050117 11:15;V;;;;;;
D;224;2534576;18;20050117 11:15;V;;;;;;
B;224;2534906;19;20050117 11:15;;;53;BROWN ST;PENRITH;2750;714.5;M;20041108;20041223;371000;A;R;RESIDENCE;;GE;;0;AB194159;
C;224;2534906;19;20050117 11:15;27/28917;
D;224;2534906;19;20050117 11:15;P;;;;;;
D;224;2534906;19;20050117 11:15;V;;;;;;
D;224;2534906;19;20050117 11:15;V;;;;;;
B;224;2537607;20;20050117 11:15;;;117;CASTLE RD;ORCHARD HILLS;2748;1.99;H;20041015;20041126;800000;R;3;;;RA;;0;AB196044;
C;224;2537607;20;20050117 11:15;38/1344;
D;224;2537607;20;20050117 11:15;P;;;;;;
D;224;2537607;20;20050117 11:15;P;;;;;;
D;224;2537607;20;20050117 11:15;V;;;;;;
B;224;2539222;21;20050117 11:15;;;3;CHINDOO CL;KINGSWOOD;2747;569.4;M;20041028;20041217;345000;A;R;RESIDENCE;;AS;;0;AB183478;
C;224;2539222;21;20050117 11:15;3075/263158;
D;224;2539222;21;20050117 11:15;P;;;;;;
D;224;2539222;21;20050117 11:15;P;;;;;;
D;224;2539222;21;20050117 11:15;V;;;;;;
D;224;2539222;21;20050117 11:15;V;;;;;;
B;224;2539600;22;20050117 11:15;;;2;CLEMSON ST;KINGSWOOD;2747;613.4;M;20041029;20041217;316000;A;R;RESIDENCE;;GT;;0;AB195044;
C;224;2539600;22;20050117 11:15;9/30513;
D;224;2539600;22;20050117 11:15;P;;;;;;
D;224;2539600;22;20050117 11:15;V;;;;;;
B;224;2539729;23;20050117 11:15;;;4;CLUSTER PL;CRANEBROOK;2749;664.3;M;20041018;20041130;488000;A;R;RESIDENCE;;AV;;0;AB165416;
C;224;2539729;23;20050117 11:15;320/262047;
D;224;2539729;23;20050117 11:15;P;;;;;;
D;224;2539729;23;20050117 11:15;P;;;;;;
D;224;2539729;23;20050117 11:15;V;;;;;;
B;224;2540060;24;20050117 11:15;;;100;COLLEGE ST;CAMBRIDGE PARK;2747;607;M;20041104;20041216;272000;A;R;RESIDENCE;;GU;;0;AB195942;
C;224;2540060;24;20050117 11:15;9/26240;
D;224;2540060;24;20050117 11:15;P;;;;;;
D;224;2540060;24;20050117 11:15;V;;;;;;
B;224;2540118;25;20050117 11:15;;;51;COLLESS ST;PENRITH;2750;575.4;M;20040831;20040831;155000;A;R;RESIDENCE;;GE;;0;AB191307;
C;224;2540118;25;20050117 11:15;5/25505;
D;224;2540118;25;20050117 11:15;P;;;;;;
D;224;2540118;25;20050117 11:15;P;;;;;;
D;224;2540118;25;20050117 11:15;V;;;;;;
D;224;2540118;25;20050117 11:15;V;;;;;;
D;224;2540118;25;20050117 11:15;V;;;;;;
D;224;2540118;25;20050117 11:15;V;;;;;;
B;224;2541058;26;20050117 11:15;;;10;CORBIN AVE;SOUTH PENRITH;2750;626.2;M;20041116;20041223;321000;A;R;RESIDENCE;;GG;;0;AB201373;
C;224;2541058;26;20050117 11:15;54/260642;
D;224;2541058;26;20050117 11:15;P;;;;;;
D;224;2541058;26;20050117 11:15;P;;;;;;
D;224;2541058;26;20050117 11:15;V;;;;;;
B;224;2541077;27;20050117 11:15;;15;132;COREEN AVE;PENRITH;2750;;;20041020;20041201;299000;;R;RESIDENCE;15;;;0;AB179522;
C;224;2541077;27;20050117 11:15;15/SP54227;
D;224;2541077;27;20050117 11:15;P;;;;;;
D;224;2541077;27;20050117 11:15;P;;;;;;
D;224;2541077;27;20050117 11:15;V;;;;;;
D;224;2541077;27;20050117 11:15;V;;;;;;
B;224;2541549;28;20050117 11:15;;;22;COSGROVE CRES;KINGSWOOD;2747;550.1;M;20041104;20041210;316500;A;R;RESIDENCE;;AR;;0;AB163619;
C;224;2541549;28;20050117 11:15;95/212261;
D;224;2541549;28;20050117 11:15;P;;;;;;
