A;242;20050117 11:16;PBARBER;
B;242;2642100;1;20050117 11:16;;;154;ABERDEEN RD;ABERDEEN;2336;49.72;H;20041019;20041210;230000;R;3;FARM;;SR;;0;AB181393;
C;242;2642100;1;20050117 11:16;4/255937;
D;242;2642100;1;20050117 11:16;P;;;;;;
D;242;2642100;1;20050117 11:16;V;;;;;;
B;242;2642133;2;20050117 11:16;;;;STREETERS RD;LLANGOTHLIN;2365;138.9;H;20041119;20041220;686500;R;3;FARM;;RV;;0;AB184726;
C;242;2642133;2;20050117 11:16;168, 184/751436;
D;242;2642133;2;20050117 11:16;P;;;;;;
D;242;2642133;2;20050117 11:16;P;;;;;;
D;242;2642133;2;20050117 11:16;P;;;;;;
D;242;2642133;2;20050117 11:16;V;;;;;;
B;242;2642597;3;20050117 11:16;;;12;ABERCROMBIE ST;GUYRA;2365;714.5;M;20041206;20041220;82000;A;R;RESIDENCE;;AA;;0;AB185879;
C;242;2642597;3;20050117 11:16;10/232732;
D;242;2642597;3;20050117 11:16;P;;;;;;
D;242;2642597;3;20050117 11:16;P;;;;;;
D;242;2642597;3;20050117 11:16;P;;;;;;
D;242;2642597;3;20050117 11:16;V;;;;;;
D;242;2642597;3;20050117 11:16;V;;;;;;
B;242;2643417;4;20050117 11:16;;;17;YOUMAN ST;GUYRA;2365;738.7;M;20041123;20041217;153000;A;R;RESIDENCE;;AA;;0;AB205274;
C;242;2643417;4;20050117 11:16;31/253680;
D;242;2643417;4;20050117 11:16;P;;;;;;
D;242;2643417;4;20050117 11:16;P;;;;;;
D;242;2643417;4;20050117 11:16;P;;;;;;
D;242;2643417;4;20050117 11:16;V;;;;;;
D;242;2643417;4;20050117 11:16;V;;;;;;
B;242;2643440;5;20050117 11:16;;;128;OLLERA ST;GUYRA;2365;1.611;H;20041116;20041203;160000;R;R;RESIDENCE;;RA;;0;AB193000;
C;242;2643440;5;20050117 11:16;297/753659;
D;242;2643440;5;20050117 11:16;P;;;;;;
D;242;2643440;5;20050117 11:16;P;;;;;;
D;242;2643440;5;20050117 11:16;V;;;;;;
D;242;2643440;5;20050117 11:16;V;;;;;;
B;242;2870827;6;20050117 11:16;;;145;STOKE FARM RD;LLANGOTHLIN;2365;46.577;H;20041119;20041220;230000;R;3;FARM;;RV;;0;AB189281;
C;242;2870827;6;20050117 11:16;183/751436;
D;242;2870827;6;20050117 11:16;P;;;;;;
D;242;2870827;6;20050117 11:16;P;;;;;;
D;242;2870827;6;20050117 11:16;V;;;;;;
B;242;3147309;7;20050117 11:16;;;;BROOK RD;BRUSHY CREEK;2365;145.69;H;20041009;20041222;100000;;3;FARM/RURAL;;;;0;AB189481;
C;242;3147309;7;20050117 11:16;22/753676 57/753682;
D;242;3147309;7;20050117 11:16;P;;;;;;
D;242;3147309;7;20050117 11:16;P;;;;;;
D;242;3147309;7;20050117 11:16;V;;;;;;
Z;42;7;7;26;
