A;203;20050117 11:12;PBARBER;
B;203;1882788;1;20050117 11:12;;;14;ALBERT ST;BOTANY;2019;;;20041208;20041220;935000;A;R;RESIDENCE;;AF;;0;AB205573;
C;203;1882788;1;20050117 11:12;11/G/939785;
D;203;1882788;1;20050117 11:12;P;;;;;;
D;203;1882788;1;20050117 11:12;P;;;;;;
D;203;1882788;1;20050117 11:12;V;;;;;;
D;203;1882788;1;20050117 11:12;V;;;;;;
B;203;1883203;2;20050117 11:12;;;26 C;BANKSIA ST;BOTANY;2019;371.5;M;20041020;20041213;750000;A;R;RESIDENCE;;AF;;0;AB185871;
C;203;1883203;2;20050117 11:12;28/860312;
D;203;1883203;2;20050117 11:12;P;;;;;;
D;203;1883203;2;20050117 11:12;V;;;;;;
D;203;1883203;2;20050117 11:12;V;;;;;;
B;203;1883324;3;20050117 11:12;;;141;BANKSIA ST;PAGEWOOD;2035;;;20040925;20041213;657000;A;R;RESIDENCE;;AE;;0;AB191574;
C;203;1883324;3;20050117 11:12;151/11375;
D;203;1883324;3;20050117 11:12;P;;;;;;
D;203;1883324;3;20050117 11:12;P;;;;;;
D;203;1883324;3;20050117 11:12;V;;;;;;
B;203;1884263;4;20050117 11:12;;;20;BEGONIA ST;PAGEWOOD;2035;;;20050105;20050105;820000;A;V;VACANT LAND;;AE;;0;AB196991;
C;203;1884263;4;20050117 11:12;67/11375;
D;203;1884263;4;20050117 11:12;P;;;;;;
D;203;1884263;4;20050117 11:12;P;;;;;;
D;203;1884263;4;20050117 11:12;V;;;;;;
B;203;1884560;5;20050117 11:12;;20;1074;BOTANY RD;BOTANY;2019;;;20041102;20041210;265000;;R;RESIDENCE;20;;;0;AB194722;
C;203;1884560;5;20050117 11:12;20/SP12191;
D;203;1884560;5;20050117 11:12;P;;;;;;
D;203;1884560;5;20050117 11:12;V;;;;;;
B;203;1884872;6;20050117 11:12;;4;1467;BOTANY RD;BOTANY;2019;;;20041201;20041217;305000;;R;RESIDENCE;4;;;0;AB205403;
C;203;1884872;6;20050117 11:12;4/SP9144;
D;203;1884872;6;20050117 11:12;P;;;;;;
D;203;1884872;6;20050117 11:12;V;;;;;;
B;203;1885457;7;20050117 11:12;;1;6;BRITTAIN CRES;HILLSDALE;2036;;;20041105;20041105;335000;;R;RESIDENCE;1;;;0;AB195464;
C;203;1885457;7;20050117 11:12;1/SP54806;
D;203;1885457;7;20050117 11:12;P;;;;;;
D;203;1885457;7;20050117 11:12;P;;;;;;
D;203;1885457;7;20050117 11:12;V;;;;;;
B;203;1886109;8;20050117 11:12;;1;37;CHURCH AVE;MASCOT;2020;;;20030725;20041203;7096600;;3;UNIT;1;;;0;AB175966;
C;203;1886109;8;20050117 11:12;1/SP38426;
D;203;1886109;8;20050117 11:12;P;;;;;;
D;203;1886109;8;20050117 11:12;P;;;;;;
D;203;1886109;8;20050117 11:12;P;;;;;;
D;203;1886109;8;20050117 11:12;P;;;;;;
D;203;1886109;8;20050117 11:12;V;;;;;;
B;203;1887971;9;20050117 11:12;;;31;FLINT ST;EASTGARDENS;2036;531.1;M;20040723;20041217;730000;A;R;RESIDENCE;;AC;;0;AB191085;
C;203;1887971;9;20050117 11:12;10/19436;
D;203;1887971;9;20050117 11:12;P;;;;;;
D;203;1887971;9;20050117 11:12;P;;;;;;
D;203;1887971;9;20050117 11:12;V;;;;;;
B;203;1889265;10;20050117 11:12;;15;1;GRAY CRES;EASTLAKES;2018;;;20041220;20041220;117600;;R;RESIDENCE;15;;;42;AB194332;
C;203;1889265;10;20050117 11:12;15/SP1425;
D;203;1889265;10;20050117 11:12;P;;;;;;
D;203;1889265;10;20050117 11:12;V;;;;;;
D;203;1889265;10;20050117 11:12;V;;;;;;
B;203;1889323;11;20050117 11:12;;8;14;GREEN ST;EAST BOTANY;2019;;;20040726;20040806;305000;;3;INDUSTRIAL UN;8;;;0;AB202443;
C;203;1889323;11;20050117 11:12;8/SP55167;
D;203;1889323;11;20050117 11:12;P;;;;;;
D;203;1889323;11;20050117 11:12;V;;;;;;
B;203;1889400;12;20050117 11:12;;;28;HAMBLY ST;BOTANY;2019;;;20041111;20041211;685000;A;R;RESIDENCE;;AF;;0;AB194048;
C;203;1889400;12;20050117 11:12;2/I/939785;
D;203;1889400;12;20050117 11:12;P;;;;;;
D;203;1889400;12;20050117 11:12;P;;;;;;
D;203;1889400;12;20050117 11:12;V;;;;;;
D;203;1889400;12;20050117 11:12;V;;;;;;
