A;528;20050316 11:19;PBARBER;
B;528;425333;1;20050316 11:19;;;6;MAIN SOUTHERN RD;BOWNING;2582;2428;M;20050119;20050217;205000;Z;R;RESIDENCE;;VG;;0;AB317989;
C;528;425333;1;20050316 11:19;6, 7/17/758149;
D;528;425333;1;20050316 11:19;P;;;;;;
D;528;425333;1;20050316 11:19;P;;;;;;
D;528;425333;1;20050316 11:19;V;;;;;;
B;528;425467;2;20050316 11:19;;;2011;WARGEILA RD;YASS;2582;121.9;H;20040113;20040328;41666;R;3;;;FA;;17;AB306464;
C;528;425467;2;20050316 11:19;111/652041 166, 167, 168/754109;
D;528;425467;2;20050316 11:19;P;;;;;;
D;528;425467;2;20050316 11:19;P;;;;;;
D;528;425467;2;20050316 11:19;P;;;;;;
D;528;425467;2;20050316 11:19;P;;;;;;
D;528;425467;2;20050316 11:19;V;;;;;;
D;528;425467;2;20050316 11:19;V;;;;;;
D;528;425467;2;20050316 11:19;V;;;;;;
D;528;425467;2;20050316 11:19;V;;;;;;
D;528;425467;2;20050316 11:19;V;;;;;;
B;528;425467;3;20050316 11:19;;;2011;WARGEILA RD;YASS;2582;121.9;H;20040113;20040328;41666;R;3;FARM;;FA;;17;AB306465;
C;528;425467;3;20050316 11:19;111/652041 166, 167, 168/754109;
D;528;425467;3;20050316 11:19;P;;;;;;
D;528;425467;3;20050316 11:19;P;;;;;;
D;528;425467;3;20050316 11:19;P;;;;;;
D;528;425467;3;20050316 11:19;V;;;;;;
D;528;425467;3;20050316 11:19;V;;;;;;
D;528;425467;3;20050316 11:19;V;;;;;;
D;528;425467;3;20050316 11:19;V;;;;;;
D;528;425467;3;20050316 11:19;V;;;;;;
B;528;425735;4;20050316 11:19;BARRABAND VINEYARD;;2307;BARTON HWY JEIR;HALL;2618;122.9;H;20041122;20041222;685211;R;V;VACANT LAND;;FH;;50;AB303389;
C;528;425735;4;20050316 11:19;4/258717 10/832216;
D;528;425735;4;20050316 11:19;P;;;;;;
D;528;425735;4;20050316 11:19;P;;;;;;
D;528;425735;4;20050316 11:19;V;;;;;;
D;528;425735;4;20050316 11:19;V;;;;;;
D;528;425735;4;20050316 11:19;V;;;;;;
D;528;425735;4;20050316 11:19;V;;;;;;
D;528;425735;4;20050316 11:19;V;;;;;;
D;528;425735;4;20050316 11:19;V;;;;;;
D;528;425735;4;20050316 11:19;V;;;;;;
D;528;425735;4;20050316 11:19;V;;;;;;
D;528;425735;4;20050316 11:19;V;;;;;;
D;528;425735;4;20050316 11:19;V;;;;;;
B;528;426270;5;20050316 11:19;;;3;FRANKLIN PL;MURRUMBATEMAN;2582;8637;M;20050117;20050222;410000;R;R;RESIDENCE;;RM;;0;AB328515;
C;528;426270;5;20050316 11:19;70/258762;
D;528;426270;5;20050316 11:19;P;;;;;;
D;528;426270;5;20050316 11:19;V;;;;;;
B;528;426406;6;20050316 11:19;;;115;MCINTOSH CIR;MURRUMBATEMAN;2582;2.023;H;20050121;20050225;550000;R;R;RESIDENCE;;RM;;0;AB323322;
C;528;426406;6;20050316 11:19;2/246196;
D;528;426406;6;20050316 11:19;P;;;;;;
