A;076;20050117 11:05;PBARBER;
B;076;572035;1;20050117 11:05;;;4;DENILIQUIN RD;WAKOOL;2710;1208;M;20041113;20041214;81000;Z;R;RESIDENCE;;ZW;;0;AB189468;
C;076;572035;1;20050117 11:05;4/13/759033;
D;076;572035;1;20050117 11:05;P;;;;;;
D;076;572035;1;20050117 11:05;V;;;;;;
B;076;572789;2;20050117 11:05;WYELANGTA;;;NESBITS RD;MOULAMEIN;2733;565;H;20040820;20041005;55350;R;3;FARM;;RQ;;0;AB181503;
C;076;572789;2;20050117 11:05;1/403294 50, 61/756572;
D;076;572789;2;20050117 11:05;P;;;;;;
D;076;572789;2;20050117 11:05;P;;;;;;
D;076;572789;2;20050117 11:05;V;;;;;;
B;076;573033;3;20050117 11:05;;;21;MURRAY ST;TOOLEYBUC;2736;1012;M;20041203;20041210;110000;Z;R;RESIDENCE;;ZT;;0;AB194184;
C;076;573033;3;20050117 11:05;2/818850;
D;076;573033;3;20050117 11:05;P;;;;;;
D;076;573033;3;20050117 11:05;V;;;;;;
B;076;573036;4;20050117 11:05;;;29;MURRAY ST;TOOLEYBUC;2736;2023;M;20041105;20041224;40000;Z;R;RESIDENCE;;ZT;;0;AB193463;
C;076;573036;4;20050117 11:05;8/20/758985;
D;076;573036;4;20050117 11:05;P;;;;;;
D;076;573036;4;20050117 11:05;P;;;;;;
D;076;573036;4;20050117 11:05;V;;;;;;
B;076;3126134;5;20050117 11:05;;;;LILFORDS LANE;BARHAM;2732;;;20040902;20041112;290000;;3;FARM;;;;0;AB202217;
C;076;3126134;5;20050117 11:05;13/1074270;
D;076;3126134;5;20050117 11:05;P;;;;;;
D;076;3126134;5;20050117 11:05;P;;;;;;
D;076;3126134;5;20050117 11:05;P;;;;;;
D;076;3126134;5;20050117 11:05;V;;;;;;
D;076;3126134;5;20050117 11:05;V;;;;;;
Z;27;5;5;15;
