A;037;20050316 11:07;PBARBER;
B;037;451297;1;20050316 11:07;;;;ALBURY ST;HARDEN;2587;8074;M;20041111;20050114;160000;Z;3;YARD;;AE;;0;AB288325;
C;037;451297;1;20050316 11:07;3/841712;
D;037;451297;1;20050316 11:07;P;;;;;;
D;037;451297;1;20050316 11:07;V;;;;;;
D;037;451297;1;20050316 11:07;V;;;;;;
B;037;451844;2;20050316 11:07;;;54;NEILL ST;HARDEN;2587;1555.3;M;20041213;20050203;143000;Z;3;SHOP;;BA;;0;AB277771;
C;037;451844;2;20050316 11:07;C/355665 B/380345;
D;037;451844;2;20050316 11:07;P;;;;;;
D;037;451844;2;20050316 11:07;P;;;;;;
D;037;451844;2;20050316 11:07;V;;;;;;
D;037;451844;2;20050316 11:07;V;;;;;;
B;037;451946;3;20050316 11:07;;;2;NORTH ST;HARDEN;2587;1543;M;20041213;20050218;102000;Z;R;RESIDENCE;;AA;;0;AB329819;
C;037;451946;3;20050316 11:07;20/5/758737;
D;037;451946;3;20050316 11:07;P;;;;;;
D;037;451946;3;20050316 11:07;V;;;;;;
B;037;452156;4;20050316 11:07;;;39;SWIFT ST;HARDEN;2587;1011;M;20050117;20050207;128000;Z;R;RESIDENCE;;AA;;0;AB307523;
C;037;452156;4;20050316 11:07;4/669167;
D;037;452156;4;20050316 11:07;P;;;;;;
D;037;452156;4;20050316 11:07;V;;;;;;
D;037;452156;4;20050316 11:07;V;;;;;;
B;037;452529;5;20050316 11:07;;;88;HOLMAN RD;HARDEN;2587;10.76;H;20041202;20041223;111000;R;V;VACANT LAND;;RB;;0;AB205436;
C;037;452529;5;20050316 11:07;1/661632 88, 217/753609;
D;037;452529;5;20050316 11:07;P;;;;;;
D;037;452529;5;20050316 11:07;P;;;;;;
D;037;452529;5;20050316 11:07;V;;;;;;
D;037;452529;5;20050316 11:07;V;;;;;;
B;037;452781;6;20050316 11:07;;;;ALONZO ST;JUGIONG;2726;6600;M;20041012;20050111;97500;R;R;RESIDENCE;;RF;;0;AB221645;
C;037;452781;6;20050316 11:07;2/710037;
D;037;452781;6;20050316 11:07;P;;;;;;
D;037;452781;6;20050316 11:07;V;;;;;;
B;037;452896;7;20050316 11:07;;;;PSH MOPPITY;CURRAWONG;2587;139;H;20040804;20041201;2100000;R;3;FARM;;RB;;0;AB167108;
C;037;452896;7;20050316 11:07;1195, 1213, 1219/135479 25, 212, PT 217, /753623 (PART MOPPITY PARK WI;
C;037;452896;7;20050316 11:07;LDLIFE REFUGE 4648);
D;037;452896;7;20050316 11:07;P;;;;;;
D;037;452896;7;20050316 11:07;P;;;;;;
D;037;452896;7;20050316 11:07;P;;;;;;
D;037;452896;7;20050316 11:07;V;;;;;;
D;037;452896;7;20050316 11:07;V;;;;;;
B;037;452908;8;20050316 11:07;;;;PSH MOPPITY;CURRAWONG;2587;59.7;H;20040804;20041201;2100000;R;3;FARM;;RB;;0;AB167108;
C;037;452908;8;20050316 11:07;151, 154/753623 1, 2/1005478;
D;037;452908;8;20050316 11:07;P;;;;;;
D;037;452908;8;20050316 11:07;P;;;;;;
D;037;452908;8;20050316 11:07;P;;;;;;
D;037;452908;8;20050316 11:07;V;;;;;;
D;037;452908;8;20050316 11:07;V;;;;;;
B;037;452941;9;20050316 11:07;OLD BENMORE LODGE;;;BENMORE RD;HARDEN;2587;8.01;H;20041020;20041130;300000;R;3;FARM RURAL;;RD;;0;AB179357;
C;037;452941;9;20050316 11:07;27/753624;
D;037;452941;9;20050316 11:07;P;;;;;;
D;037;452941;9;20050316 11:07;P;;;;;;
D;037;452941;9;20050316 11:07;V;;;;;;
