A;139;20050316 11:12;PBARBER;
B;139;1447955;1;20050316 11:12;;;1;AVERILL ST;RHODES;2138;;;20040526;20041021;1650000;I;3;FACTORY;;DA;;0;AB298280;
C;139;1447955;1;20050316 11:12;11/739491;
D;139;1447955;1;20050316 11:12;P;;;;;;
D;139;1447955;1;20050316 11:12;V;;;;;;
B;139;1448226;2;20050316 11:12;;;31;BLAXLAND RD;RHODES;2138;461.6;M;20041218;20050224;505500;A;R;RESIDENCE;;EA;;0;AB319265;
C;139;1448226;2;20050316 11:12;D/432340;
D;139;1448226;2;20050316 11:12;P;;;;;;
D;139;1448226;2;20050316 11:12;P;;;;;;
D;139;1448226;2;20050316 11:12;V;;;;;;
D;139;1448226;2;20050316 11:12;V;;;;;;
B;139;1449194;3;20050316 11:12;;15;162 H;BURWOOD RD;CONCORD;2137;225.7;M;20050217;20050218;590000;A;R;RESIDENCE;;EK;;0;AB302968;
C;139;1449194;3;20050316 11:12;15/270150;
D;139;1449194;3;20050316 11:12;P;;;;;;
D;139;1449194;3;20050316 11:12;V;;;;;;
B;139;1449353;4;20050316 11:12;;;60;BURWOOD RD;CONCORD;2137;;;20050113;20050224;715000;A;R;RESIDENCE;;EM;;0;AB320059;
C;139;1449353;4;20050316 11:12;2/14869;
D;139;1449353;4;20050316 11:12;P;;;;;;
D;139;1449353;4;20050316 11:12;V;;;;;;
D;139;1449353;4;20050316 11:12;V;;;;;;
B;139;1449464;5;20050316 11:12;;;;CABARITA RD HOUSE NO: K/132;CABARITA;2137;209.9;M;20041211;20050127;720000;A;R;RESIDENCE;;EK;;0;AB299467;
C;139;1449464;5;20050316 11:12;12/270214;
D;139;1449464;5;20050316 11:12;P;;;;;;
D;139;1449464;5;20050316 11:12;P;;;;;;
D;139;1449464;5;20050316 11:12;V;;;;;;
B;139;1450213;6;20050316 11:12;;10;107;CONCORD RD;CONCORD;2137;;;20041105;20050209;390000;;R;RESIDENCE;10;;;0;AB303368;
C;139;1450213;6;20050316 11:12;10/SP1814;
D;139;1450213;6;20050316 11:12;P;;;;;;
D;139;1450213;6;20050316 11:12;P;;;;;;
D;139;1450213;6;20050316 11:12;V;;;;;;
B;139;1450213;7;20050316 11:12;;10;107;CONCORD RD;CONCORD;2137;;;20041105;20050209;390000;;R;RESIDENCE;59;;;0;AB303368;
C;139;1450213;7;20050316 11:12;59/SP1814;
D;139;1450213;7;20050316 11:12;P;;;;;;
D;139;1450213;7;20050316 11:12;P;;;;;;
D;139;1450213;7;20050316 11:12;V;;;;;;
B;139;1450688;8;20050316 11:12;;;8;CONNER CL;CONCORD WEST;2138;144.3;M;20050113;20050224;495000;A;R;RESIDENCE;;ES;;0;AB327866;
C;139;1450688;8;20050316 11:12;217/270137;
D;139;1450688;8;20050316 11:12;P;;;;;;
D;139;1450688;8;20050316 11:12;P;;;;;;
D;139;1450688;8;20050316 11:12;V;;;;;;
D;139;1450688;8;20050316 11:12;V;;;;;;
B;139;1451445;9;20050316 11:12;;;4;DAVIDSON AVE;CONCORD;2137;;;20041008;20041203;770000;A;R;RESIDENCE;;ES;;0;AB327652;
C;139;1451445;9;20050316 11:12;13/15220;
D;139;1451445;9;20050316 11:12;P;;;;;;
D;139;1451445;9;20050316 11:12;V;;;;;;
