A;243;20050117 11:16;PBARBER;
B;243;2644612;1;20050117 11:16;;;5;GELAM RD;MAUDE;2711;52.72;H;20040617;20040909;30000;R;V;VACANT LAND;;RD;;0;AB180692;
C;243;2644612;1;20050117 11:16;5/258318;
D;243;2644612;1;20050117 11:16;P;;;;;;
D;243;2644612;1;20050117 11:16;V;;;;;;
B;243;2645274;2;20050117 11:16;;;414;LEONARD ST;HAY;2711;404.7;M;20041014;20041028;89500;Z;R;RESIDENCE;;AA;;0;AB202366;
C;243;2645274;2;20050117 11:16;10/915773;
D;243;2645274;2;20050117 11:16;P;;;;;;
D;243;2645274;2;20050117 11:16;P;;;;;;
D;243;2645274;2;20050117 11:16;V;;;;;;
D;243;2645274;2;20050117 11:16;V;;;;;;
B;243;2645742;3;20050117 11:16;;;497;PARK ST;HAY;2711;894.2;M;20040722;20040819;87500;Z;R;RESIDENCE;;AA;;0;AB190162;
C;243;2645742;3;20050117 11:16;11/3167 1/557117;
D;243;2645742;3;20050117 11:16;P;;;;;;
D;243;2645742;3;20050117 11:16;P;;;;;;
D;243;2645742;3;20050117 11:16;V;;;;;;
Z;17;3;3;9;
