A;252;20050316 11:18;PBARBER;
B;252;2677015;1;20050316 11:18;;;14 W;CHURCHILL ST;WALCHA;2354;648.5;M;20050105;20050203;260000;Z;R;RESIDENCE;;AA;;0;AB293193;
C;252;2677015;1;20050316 11:18;101/747655;
D;252;2677015;1;20050316 11:18;P;;;;;;
D;252;2677015;1;20050316 11:18;P;;;;;;
D;252;2677015;1;20050316 11:18;V;;;;;;
D;252;2677015;1;20050316 11:18;V;;;;;;
B;252;2677299;2;20050316 11:18;;;9 W;FITZROY ST;WALCHA;2354;657.6;M;20041013;20041025;117500;Z;3;SHOP PREMISES;;BB;;0;AB293601;
C;252;2677299;2;20050316 11:18;1/719327;
D;252;2677299;2;20050316 11:18;P;;;;;;
D;252;2677299;2;20050316 11:18;P;;;;;;
D;252;2677299;2;20050316 11:18;P;;;;;;
D;252;2677299;2;20050316 11:18;V;;;;;;
D;252;2677299;2;20050316 11:18;V;;;;;;
B;252;2677321;3;20050316 11:18;;;206 E;FITZROY ST;WALCHA;2354;1395;M;20050120;20050217;180000;Z;R;RESIDENCE;;AA;;0;AB327277;
C;252;2677321;3;20050316 11:18;20/592426;
D;252;2677321;3;20050316 11:18;P;;;;;;
D;252;2677321;3;20050316 11:18;V;;;;;;
D;252;2677321;3;20050316 11:18;V;;;;;;
B;252;2677603;4;20050316 11:18;;;177 W;NORTH ST;WALCHA;2354;1897;M;20050113;20050224;72000;Z;R;RESIDENCE;;AA;;0;AB318764;
C;252;2677603;4;20050316 11:18;479/756502;
D;252;2677603;4;20050316 11:18;P;;;;;;
D;252;2677603;4;20050316 11:18;P;;;;;;
D;252;2677603;4;20050316 11:18;V;;;;;;
D;252;2677603;4;20050316 11:18;V;;;;;;
Z;26;4;4;16;
