A;072;20050316 11:08;PBARBER;
B;072;555086;1;20050316 11:08;;;;PH BATLOW DP'S;TUMUT;2720;157.7;H;20050217;20050217;1250000;R;R;RESIDENCE;;RP;;0;AB318739;
C;072;555086;1;20050316 11:08;2, 4/851379;
D;072;555086;1;20050316 11:08;P;;;;;;
D;072;555086;1;20050316 11:08;V;;;;;;
D;072;555086;1;20050316 11:08;V;;;;;;
B;072;555397;2;20050316 11:08;;;53;MILL RD;BATLOW;2730;720.8;M;20041129;20050214;95000;A;R;RESIDENCE;;BT;;0;AB318665;
C;072;555397;2;20050316 11:08;12/23277;
D;072;555397;2;20050316 11:08;P;;;;;;
D;072;555397;2;20050316 11:08;V;;;;;;
D;072;555397;2;20050316 11:08;V;;;;;;
B;072;555693;3;20050316 11:08;;;308;DUNNS RD;ELLERSLIE;2729;695.1;H;20041223;20050203;1682000;R;V;VACANT LAND;;RQ;;0;AB310396;
C;072;555693;3;20050316 11:08;PT 34/757216 . . Incomplete Purchase pt 64653 Enclosure Permit 190983;
D;072;555693;3;20050316 11:08;P;;;;;;
D;072;555693;3;20050316 11:08;V;;;;;;
B;072;555795;4;20050316 11:08;;;;LITTLE RIVER RD;LITTLE RIVER;2720;17.62;H;20041201;20050127;132500;R;V;VACANT LAND;;GR;;0;AB321582;
C;072;555795;4;20050316 11:08;31/1015376;
D;072;555795;4;20050316 11:08;P;;;;;;
D;072;555795;4;20050316 11:08;P;;;;;;
D;072;555795;4;20050316 11:08;V;;;;;;
D;072;555795;4;20050316 11:08;V;;;;;;
B;072;556960;5;20050316 11:08;;;6;GROVES ST;TALBINGO;2720;811.5;M;20041209;20050125;55000;A;V;VACANT LAND;;DU;;0;AB295334;
C;072;556960;5;20050316 11:08;6/709357;
D;072;556960;5;20050316 11:08;P;;;;;;
D;072;556960;5;20050316 11:08;P;;;;;;
D;072;556960;5;20050316 11:08;P;;;;;;
D;072;556960;5;20050316 11:08;V;;;;;;
B;072;556966;6;20050316 11:08;;;19;GROVES ST;TALBINGO;2720;842;M;20050107;20050128;193000;A;V;VACANT LAND;;DU;;0;AB295139;
C;072;556966;6;20050316 11:08;13/709357;
D;072;556966;6;20050316 11:08;P;;;;;;
D;072;556966;6;20050316 11:08;P;;;;;;
D;072;556966;6;20050316 11:08;V;;;;;;
B;072;558019;7;20050316 11:08;;;5;COOLAMINE CCT;TUMUT;2720;634.7;M;20041221;20050124;278000;A;R;RESIDENCE;;CK;;0;AB308822;
C;072;558019;7;20050316 11:08;17/856748;
D;072;558019;7;20050316 11:08;P;;;;;;
D;072;558019;7;20050316 11:08;P;;;;;;
D;072;558019;7;20050316 11:08;V;;;;;;
B;072;558764;8;20050316 11:08;;;24;LAMBIE ST;TUMUT;2720;896;M;20050113;20050208;278000;A;R;RESIDENCE;;CB;;0;AB299477;
C;072;558764;8;20050316 11:08;3/565722;
D;072;558764;8;20050316 11:08;P;;;;;;
D;072;558764;8;20050316 11:08;P;;;;;;
D;072;558764;8;20050316 11:08;V;;;;;;
D;072;558764;8;20050316 11:08;V;;;;;;
D;072;558764;8;20050316 11:08;V;;;;;;
B;072;560000;9;20050316 11:08;;;;PH WALLACE;TUMUT;2720;657.2;H;20041223;20050214;1030000;R;V;VACANT LAND;;RQ;;0;AB304910;
C;072;560000;9;20050316 11:08;98/757256 Settlement Purchase Lease 1989/95;
D;072;560000;9;20050316 11:08;P;;;;;;
D;072;560000;9;20050316 11:08;V;;;;;;
D;072;560000;9;20050316 11:08;V;;;;;;
B;072;560002;10;20050316 11:08;;;707;ELLERSLIE RD;ELLERSLIE;2729;590.9;H;20050131;20050203;1050000;R;V;VACANT LAND;;RQ;;0;AB318894;
C;072;560002;10;20050316 11:08;100/757256;
D;072;560002;10;20050316 11:08;P;;;;;;
D;072;560002;10;20050316 11:08;V;;;;;;
D;072;560002;10;20050316 11:08;V;;;;;;
B;072;2926602;11;20050316 11:08;;;29;SMARTS RD;TUMUT;2720;9.79;H;20050203;20050215;112000;R;V;VACANT LAND;;TM;;0;AB298297;
C;072;2926602;11;20050316 11:08;21/1043502;
D;072;2926602;11;20050316 11:08;P;;;;;;
D;072;2926602;11;20050316 11:08;P;;;;;;
D;072;2926602;11;20050316 11:08;V;;;;;;
B;072;2951949;12;20050316 11:08;;;;OBERNE ELLERSLIE TRL;ELLERSLIE;2729;822.4;H;20041223;20050203;1218000;R;V;VACANT LAND;;RQ;;0;AB289620;
C;072;2951949;12;20050316 11:08;PT 1/1044896;
D;072;2951949;12;20050316 11:08;P;;;;;;
D;072;2951949;12;20050316 11:08;V;;;;;;
B;072;2951950;13;20050316 11:08;;;;ELLERSLIE RD;ELLERSLIE;2729;242.8;H;20041223;20050203;1218000;R;V;VACANT LAND;;RQ;;0;AB289620;
C;072;2951950;13;20050316 11:08;PT 1/1044896;
D;072;2951950;13;20050316 11:08;P;;;;;;
D;072;2951950;13;20050316 11:08;V;;;;;;
B;072;2997796;14;20050316 11:08;;;;REKA RD;ADELONG;2729;6.838;H;20041118;20050217;150000;R;V;VACANT LAND;;TH;;0;AB306535;
C;072;2997796;14;20050316 11:08;1, 2/1035997;
D;072;2997796;14;20050316 11:08;P;;;;;;
D;072;2997796;14;20050316 11:08;P;;;;;;
D;072;2997796;14;20050316 11:08;V;;;;;;
D;072;2997796;14;20050316 11:08;V;;;;;;
B;072;3028431;15;20050316 11:08;;;10;ROYDEN CL;BATLOW;2730;1882.5;M;20040816;20040915;265000;A;R;RESIDENCE;;DQ;;0;AB301744;
C;072;3028431;15;20050316 11:08;23, 24/792682;
D;072;3028431;15;20050316 11:08;P;;;;;;
D;072;3028431;15;20050316 11:08;P;;;;;;
D;072;3028431;15;20050316 11:08;V;;;;;;
B;072;3132414;16;20050316 11:08;;;;EAST GILMORE RD;GILMORE;2720;87.65;H;20050217;20050217;1250000;R;R;RESIDENCE;;RP;;0;AB318739;
C;072;3132414;16;20050316 11:08;2/1071382;
D;072;3132414;16;20050316 11:08;P;;;;;;
D;072;3132414;16;20050316 11:08;V;;;;;;
B;072;3139278;17;20050316 11:08;;;;WEST GILMORE RD;GILMORE;2720;242.4;H;20050217;20050217;1250000;R;R;RESIDENCE;;RQ;;0;AB318739;
C;072;3139278;17;20050316 11:08;3/234787 1/851379;
D;072;3139278;17;20050316 11:08;P;;;;;;
D;072;3139278;17;20050316 11:08;V;;;;;;
Z;87;17;17;51;
