A;141;20050117 11:10;PBARBER;
B;141;1489005;1;20050117 11:10;;5;7;BELLEVUE PDE;HURSTVILLE;2220;;;20041130;20041223;292500;;R;RESIDENCE;5;;;0;AB189185;
C;141;1489005;1;20050117 11:10;5/SP4249;
D;141;1489005;1;20050117 11:10;P;;;;;;
D;141;1489005;1;20050117 11:10;V;;;;;;
B;141;1490440;2;20050117 11:10;;6;17;CARNARVON ST;CARLTON;2218;;;20041004;20041124;368000;;R;RESIDENCE;21;;;0;AB181434;
C;141;1490440;2;20050117 11:10;21/SP44971;
D;141;1490440;2;20050117 11:10;P;;;;;;
D;141;1490440;2;20050117 11:10;P;;;;;;
D;141;1490440;2;20050117 11:10;V;;;;;;
D;141;1490440;2;20050117 11:10;V;;;;;;
B;141;1490940;3;20050117 11:10;;;13;CLAREMONT ST;PENSHURST;2222;;;20041119;20041222;520000;A;R;RESIDENCE;;XH;;0;AB204588;
C;141;1490940;3;20050117 11:10;10/5/1650;
D;141;1490940;3;20050117 11:10;P;;;;;;
D;141;1490940;3;20050117 11:10;P;;;;;;
D;141;1490940;3;20050117 11:10;V;;;;;;
D;141;1490940;3;20050117 11:10;V;;;;;;
B;141;1490941;4;20050117 11:10;;;15;CLAREMONT ST;PENSHURST;2222;;;20041126;20041222;470000;A;R;RESIDENCE;;XH;;0;AB185664;
C;141;1490941;4;20050117 11:10;11/5/1650;
D;141;1490941;4;20050117 11:10;P;;;;;;
D;141;1490941;4;20050117 11:10;P;;;;;;
D;141;1490941;4;20050117 11:10;V;;;;;;
D;141;1490941;4;20050117 11:10;V;;;;;;
B;141;1491195;5;20050117 11:10;;;86 A;CONNELLS POINT RD;SOUTH HURSTVILLE;2221;550.1;M;20041104;20041215;500000;A;R;RESIDENCE;;XG;;0;AB200052;
C;141;1491195;5;20050117 11:10;B/419750;
D;141;1491195;5;20050117 11:10;P;;;;;;
D;141;1491195;5;20050117 11:10;P;;;;;;
D;141;1491195;5;20050117 11:10;V;;;;;;
B;141;1491493;6;20050117 11:10;;1;2;COOLEEN ST;BLAKEHURST;2221;;;20041011;20041213;647500;;R;RESIDENCE;1;;;0;AB181365;
C;141;1491493;6;20050117 11:10;1/SP58618;
D;141;1491493;6;20050117 11:10;P;;;;;;
D;141;1491493;6;20050117 11:10;P;;;;;;
D;141;1491493;6;20050117 11:10;V;;;;;;
D;141;1491493;6;20050117 11:10;V;;;;;;
B;141;1493659;7;20050117 11:10;;;73;GRAY ST;KOGARAH;2217;;;20041015;20041216;670000;A;R;RESIDENCE;;XB;;0;AB181976;
C;141;1493659;7;20050117 11:10;27/6615;
D;141;1493659;7;20050117 11:10;P;;;;;;
D;141;1493659;7;20050117 11:10;P;;;;;;
D;141;1493659;7;20050117 11:10;V;;;;;;
D;141;1493659;7;20050117 11:10;V;;;;;;
B;141;1493683;8;20050117 11:10;;;68;GRAY ST;KOGARAH;2217;;;20041016;20041213;537000;A;R;RESIDENCE;;XB;;0;AB190443;
C;141;1493683;8;20050117 11:10;51/6615;
D;141;1493683;8;20050117 11:10;P;;;;;;
D;141;1493683;8;20050117 11:10;P;;;;;;
D;141;1493683;8;20050117 11:10;V;;;;;;
B;141;1496526;9;20050117 11:10;;;693;KING GEORGES RD;PENSHURST;2222;891.6;M;20041101;20041210;499000;A;R;RESIDENCE;;MH;;0;AB181271;
C;141;1496526;9;20050117 11:10;34/11194;
D;141;1496526;9;20050117 11:10;P;;;;;;
D;141;1496526;9;20050117 11:10;V;;;;;;
B;141;1497245;10;20050117 11:10;;6;35;LANCELOT ST;ALLAWAH;2218;;;20041028;20041209;345000;;R;RESIDENCE;6;;;0;AB180167;
C;141;1497245;10;20050117 11:10;6/SP8154;
D;141;1497245;10;20050117 11:10;P;;;;;;
D;141;1497245;10;20050117 11:10;V;;;;;;
B;141;1499754;11;20050117 11:10;;12;1;NORMAN ST;ALLAWAH;2218;;;20040921;20041116;380000;;R;RESIDENCE;12;;;0;AB178629;
C;141;1499754;11;20050117 11:10;12/SP16829;
D;141;1499754;11;20050117 11:10;P;;;;;;
D;141;1499754;11;20050117 11:10;P;;;;;;
D;141;1499754;11;20050117 11:10;V;;;;;;
B;141;1500329;12;20050117 11:10;;65;14;ORMONDE PDE;HURSTVILLE;2220;;;20041105;20041213;362000;;R;RESIDENCE;65;;;0;AB193786;
C;141;1500329;12;20050117 11:10;65/SP61964;
D;141;1500329;12;20050117 11:10;P;;;;;;
D;141;1500329;12;20050117 11:10;V;;;;;;
B;141;1501440;13;20050117 11:10;;2;227;PRINCES HWY;KOGARAH;2217;;;20041022;20041217;358000;;R;RESIDENCE;2;;;0;AB184720;
C;141;1501440;13;20050117 11:10;2/SP63486;
D;141;1501440;13;20050117 11:10;P;;;;;;
D;141;1501440;13;20050117 11:10;P;;;;;;
D;141;1501440;13;20050117 11:10;V;;;;;;
B;141;1501440;14;20050117 11:10;;25;227;PRINCES HWY;KOGARAH;2217;;;20041210;20041217;353000;;R;RESIDENCE;25;;;0;AB183510;
C;141;1501440;14;20050117 11:10;25/SP63486;
D;141;1501440;14;20050117 11:10;P;;;;;;
D;141;1501440;14;20050117 11:10;V;;;;;;
B;141;1501493;15;20050117 11:10;;;261;PRINCES HWY;CARLTON;2218;2055;M;20041109;20041221;3170000;A;3;FACTORY;;MH;;0;AB178709;
C;141;1501493;15;20050117 11:10;33, 34, 35, 36/13023;
D;141;1501493;15;20050117 11:10;P;;;;;;
D;141;1501493;15;20050117 11:10;V;;;;;;
D;141;1501493;15;20050117 11:10;V;;;;;;
B;141;1501665;16;20050117 11:10;;;719;PRINCES HWY;BLAKEHURST;2221;2346;M;20041112;20041215;700000;A;R;RESIDENCE;;XL;;50;AB166121;
C;141;1501665;16;20050117 11:10;1/190683 413/752056 Permissive Occupancy 58/410;
D;141;1501665;16;20050117 11:10;P;;;;;;
D;141;1501665;16;20050117 11:10;V;;;;;;
D;141;1501665;16;20050117 11:10;V;;;;;;
D;141;1501665;16;20050117 11:10;V;;;;;;
D;141;1501665;16;20050117 11:10;V;;;;;;
D;141;1501665;16;20050117 11:10;V;;;;;;
B;141;1502024;17;20050117 11:10;;;71;QUEENS RD;CONNELLS POINT;2221;;;20041123;20041221;830000;A;R;RESIDENCE;;XN;;0;AB183788;
C;141;1502024;17;20050117 11:10;4/15344;
D;141;1502024;17;20050117 11:10;P;;;;;;
D;141;1502024;17;20050117 11:10;P;;;;;;
D;141;1502024;17;20050117 11:10;V;;;;;;
D;141;1502024;17;20050117 11:10;V;;;;;;
B;141;1502580;18;20050117 11:10;;1;512;RAILWAY PDE;HURSTVILLE;2220;;;20041106;20041210;340000;;R;RESIDENCE;1;;;0;AB178865;
C;141;1502580;18;20050117 11:10;1/SP11496;
D;141;1502580;18;20050117 11:10;P;;;;;;
D;141;1502580;18;20050117 11:10;V;;;;;;
