A;007;20050117 11:03;PBARBER;
B;007;196470;1;20050117 11:03;;;LOT4;'SHADOW VALLEY" MANOBALAI DRY;MERRIWA NSW;2329;16.19;H;20041122;20041222;8000;P;V;VACANT LAND;;PL;;0;AB191716;
C;007;196470;1;20050117 11:03;4/750940;
D;007;196470;1;20050117 11:03;P;;;;;;
D;007;196470;1;20050117 11:03;V;;;;;;
D;007;196470;1;20050117 11:03;V;;;;;;
B;007;196884;2;20050117 11:03;;;150;WYBONG P O RD;MUSWELLBROOK;2333;45.12;H;20041110;20041217;340000;R;R;RESIDENCE;;RL;;0;AB173496;
C;007;196884;2;20050117 11:03;657/633417 Enclosure Permit 313068;
D;007;196884;2;20050117 11:03;P;;;;;;
D;007;196884;2;20050117 11:03;V;;;;;;
B;007;198054;3;20050117 11:03;;;23;CHABLIS CL;MUSWELLBROOK;2333;1112;M;20041212;20041223;367000;A;R;RESIDENCE;;AM;;0;AB200668;
C;007;198054;3;20050117 11:03;203/263254;
D;007;198054;3;20050117 11:03;P;;;;;;
D;007;198054;3;20050117 11:03;P;;;;;;
D;007;198054;3;20050117 11:03;V;;;;;;
D;007;198054;3;20050117 11:03;V;;;;;;
B;007;198365;4;20050117 11:03;;;18;DALWOOD PL;MUSWELLBROOK;2333;627.7;M;20041026;20041222;55000;A;3;INVESTMENT;;AH;;0;AB185544;
C;007;198365;4;20050117 11:03;31/261812;
D;007;198365;4;20050117 11:03;P;;;;;;
D;007;198365;4;20050117 11:03;V;;;;;;
D;007;198365;4;20050117 11:03;V;;;;;;
D;007;198365;4;20050117 11:03;V;;;;;;
B;007;198638;5;20050117 11:03;;;9;FORBES ST;MUSWELLBROOK;2333;720.8;M;20040802;20040913;120050;A;R;RESIDENCE;;AH;;0;AB205551;
C;007;198638;5;20050117 11:03;8/22107;
D;007;198638;5;20050117 11:03;P;;;;;;
D;007;198638;5;20050117 11:03;P;;;;;;
D;007;198638;5;20050117 11:03;V;;;;;;
B;007;198828;6;20050117 11:03;;;22;HERMITAGE PL;MUSWELLBROOK;2333;1306;M;20041207;20041217;262500;A;R;RESIDENCE;;AM;;0;AB192265;
C;007;198828;6;20050117 11:03;262/263254;
D;007;198828;6;20050117 11:03;P;;;;;;
D;007;198828;6;20050117 11:03;P;;;;;;
D;007;198828;6;20050117 11:03;V;;;;;;
D;007;198828;6;20050117 11:03;V;;;;;;
B;007;199186;7;20050117 11:03;;;4;KAROOLA AVE;MUSWELLBROOK;2333;866.3;M;20041105;20041217;205000;A;R;RESIDENCE;;AT;;0;AB199354;
C;007;199186;7;20050117 11:03;83/237998;
D;007;199186;7;20050117 11:03;P;;;;;;
D;007;199186;7;20050117 11:03;P;;;;;;
D;007;199186;7;20050117 11:03;V;;;;;;
B;007;199669;8;20050117 11:03;;;8;MIDANGA AVE;MUSWELLBROOK;2333;1088;M;20041125;20041222;225000;A;R;RESIDENCE;;AT;;0;AB188196;
C;007;199669;8;20050117 11:03;35/236462;
D;007;199669;8;20050117 11:03;P;;;;;;
D;007;199669;8;20050117 11:03;V;;;;;;
D;007;199669;8;20050117 11:03;V;;;;;;
B;007;200553;9;20050117 11:03;;;57;SOWERBY ST;MUSWELLBROOK;2333;1005;M;20041022;20041117;255000;A;R;RESIDENCE;;AT;;0;AB186973;
C;007;200553;9;20050117 11:03;15/1063831;
D;007;200553;9;20050117 11:03;P;;;;;;
D;007;200553;9;20050117 11:03;P;;;;;;
D;007;200553;9;20050117 11:03;V;;;;;;
D;007;200553;9;20050117 11:03;V;;;;;;
B;007;200907;10;20050117 11:03;;;20;TOBRUK AVE;MUSWELLBROOK;2333;613.4;M;20041119;20041217;130000;A;R;RESIDENCE;;AH;;0;AB198444;
C;007;200907;10;20050117 11:03;18/237872;
D;007;200907;10;20050117 11:03;P;;;;;;
D;007;200907;10;20050117 11:03;P;;;;;;
D;007;200907;10;20050117 11:03;V;;;;;;
B;007;3066434;11;20050117 11:03;;;7;SILKY OAK CL;MUSWELLBROOK;2333;1182;M;20041027;20041215;110000;A;V;VACANT LAND;;AT;;0;AB180345;
C;007;3066434;11;20050117 11:03;21/1063579;
D;007;3066434;11;20050117 11:03;P;;;;;;
D;007;3066434;11;20050117 11:03;P;;;;;;
