A;152;20050117 11:11;PBARBER;
B;152;1688720;1;20050117 11:11;;;13;MOSELEY DR;BOAMBEE EAST;2452;466.3;M;20041122;20041213;270000;A;R;RESIDENCE;;AP;;0;AB179952;
C;152;1688720;1;20050117 11:11;320/827214;
D;152;1688720;1;20050117 11:11;P;;;;;;
D;152;1688720;1;20050117 11:11;P;;;;;;
D;152;1688720;1;20050117 11:11;V;;;;;;
D;152;1688720;1;20050117 11:11;V;;;;;;
B;152;1688898;2;20050117 11:11;;;24 A;AQUAMARINE DR;TOORMINA;2452;473.6;M;20041101;20041222;256000;A;R;RESIDENCE;;AR;;0;AB191282;
C;152;1688898;2;20050117 11:11;1/1010478;
D;152;1688898;2;20050117 11:11;P;;;;;;
D;152;1688898;2;20050117 11:11;V;;;;;;
B;152;1689067;3;20050117 11:11;;;162;AYRSHIRE PARK DR;BOAMBEE;2450;7132;M;20041214;20041214;450000;R;R;RESIDENCE;;RV;;0;AB192033;
C;152;1689067;3;20050117 11:11;12/713553;
D;152;1689067;3;20050117 11:11;P;;;;;;
D;152;1689067;3;20050117 11:11;V;;;;;;
D;152;1689067;3;20050117 11:11;V;;;;;;
B;152;1689910;4;20050117 11:11;;;3;BRONZEWING PL;BOAMBEE EAST;2452;1040;M;20041029;20041213;430000;A;R;RESIDENCE;;AP;;0;AB197938;
C;152;1689910;4;20050117 11:11;450/793636;
D;152;1689910;4;20050117 11:11;P;;;;;;
D;152;1689910;4;20050117 11:11;P;;;;;;
D;152;1689910;4;20050117 11:11;V;;;;;;
D;152;1689910;4;20050117 11:11;V;;;;;;
B;152;1690047;5;20050117 11:11;;;30;CARRYWELL CRES;TOORMINA;2452;819.2;M;20041022;20041221;305000;A;R;RESIDENCE;;AV;;0;AB187789;
C;152;1690047;5;20050117 11:11;9/707628;
D;152;1690047;5;20050117 11:11;P;;;;;;
D;152;1690047;5;20050117 11:11;P;;;;;;
D;152;1690047;5;20050117 11:11;V;;;;;;
D;152;1690047;5;20050117 11:11;V;;;;;;
B;152;1690695;6;20050117 11:11;;;17;CUTHBERT ST;BOAMBEE EAST;2452;815;M;20041203;20041222;310000;A;R;RESIDENCE;;AP;;0;AB205604;
C;152;1690695;6;20050117 11:11;21/730185;
D;152;1690695;6;20050117 11:11;P;;;;;;
D;152;1690695;6;20050117 11:11;P;;;;;;
D;152;1690695;6;20050117 11:11;V;;;;;;
D;152;1690695;6;20050117 11:11;V;;;;;;
B;152;1691247;7;20050117 11:11;;;17;EUNGELLA ST;TOORMINA;2452;836.1;M;20041124;20041124;147500;A;R;RESIDENCE;;AV;;0;AB180254;
C;152;1691247;7;20050117 11:11;36/243957;
D;152;1691247;7;20050117 11:11;P;;;;;;
D;152;1691247;7;20050117 11:11;P;;;;;;
D;152;1691247;7;20050117 11:11;V;;;;;;
D;152;1691247;7;20050117 11:11;V;;;;;;
D;152;1691247;7;20050117 11:11;V;;;;;;
B;152;1691728;8;20050117 11:11;;;12;GILLIBRI CRES;SAWTELL;2452;1056;M;20041112;20041210;282000;A;R;RESIDENCE;;AQ;;0;AB191034;
C;152;1691728;8;20050117 11:11;65/243833;
D;152;1691728;8;20050117 11:11;P;;;;;;
D;152;1691728;8;20050117 11:11;V;;;;;;
D;152;1691728;8;20050117 11:11;V;;;;;;
B;152;1692815;9;20050117 11:11;;7;14;LALAGULI DR;TOORMINA;2452;;;20041108;20041210;167000;;R;RESIDENCE;8;;;0;AB192933;
C;152;1692815;9;20050117 11:11;8/SP18558;
D;152;1692815;9;20050117 11:11;P;;;;;;
D;152;1692815;9;20050117 11:11;V;;;;;;
B;152;1693272;10;20050117 11:11;;;4;LUKIN CL;BOAMBEE EAST;2452;646;M;20040927;20041116;320000;A;R;RESIDENCE;;AP;;0;AB187805;
C;152;1693272;10;20050117 11:11;30/730185;
D;152;1693272;10;20050117 11:11;P;;;;;;
D;152;1693272;10;20050117 11:11;P;;;;;;
D;152;1693272;10;20050117 11:11;V;;;;;;
B;152;1694006;11;20050117 11:11;;;5;NOREENA PL;BOAMBEE EAST;2452;264;M;20041203;20041216;230000;A;R;RESIDENCE;;AP;;0;AB199042;
C;152;1694006;11;20050117 11:11;23/855453;
D;152;1694006;11;20050117 11:11;P;;;;;;
D;152;1694006;11;20050117 11:11;V;;;;;;
