A;511;20050316 11:19;PBARBER;
B;511;292276;1;20050316 11:19;;;2097;STEWARTS BROOK RD;STEWARTS BROOK;2337;1.836;H;20041129;20050117;190000;R;R;RESIDENCE;;HF;;0;AB316661;
C;511;292276;1;20050316 11:19;1/216781;
D;511;292276;1;20050316 11:19;P;;;;;;
D;511;292276;1;20050316 11:19;P;;;;;;
D;511;292276;1;20050316 11:19;V;;;;;;
D;511;292276;1;20050316 11:19;V;;;;;;
B;511;292552;2;20050316 11:19;;;8;ABERCAIRNEY TCE;ABERDEEN;2336;6070.2;M;20041002;20041115;109000;A;V;VACANT LAND;;AA;;0;AB322817;
C;511;292552;2;20050316 11:19;2, 3, 4/2/758003;
D;511;292552;2;20050316 11:19;P;;;;;;
D;511;292552;2;20050316 11:19;P;;;;;;
D;511;292552;2;20050316 11:19;V;;;;;;
D;511;292552;2;20050316 11:19;V;;;;;;
B;511;292894;3;20050316 11:19;;;8;MOUNT ST;ABERDEEN;2336;1012;M;20050128;20050218;90000;A;R;RESIDENCE;;AA;;0;AB317660;
C;511;292894;3;20050316 11:19;3/24/758003;
D;511;292894;3;20050316 11:19;P;;;;;;
D;511;292894;3;20050316 11:19;P;;;;;;
D;511;292894;3;20050316 11:19;V;;;;;;
D;511;292894;3;20050316 11:19;V;;;;;;
B;511;292918;4;20050316 11:19;;;52;MOUNT ST;ABERDEEN;2336;1012;M;20041118;20041222;155000;A;3;UNITS;;AA;;0;AB299046;
C;511;292918;4;20050316 11:19;8/8378;
D;511;292918;4;20050316 11:19;P;;;;;;
D;511;292918;4;20050316 11:19;V;;;;;;
B;511;292930;5;20050316 11:19;;;33;MOUNT ST;ABERDEEN;2336;2023;M;20050203;20050210;165000;A;R;RESIDENCE;;AA;;0;AB306518;
C;511;292930;5;20050316 11:19;14/6/758003;
D;511;292930;5;20050316 11:19;P;;;;;;
D;511;292930;5;20050316 11:19;V;;;;;;
B;511;293146;6;20050316 11:19;;;25;ST HELIERS ST;ABERDEEN;2336;1161;M;20041224;20050211;300000;A;R;RESIDENCE;;AA;;0;AB313169;
C;511;293146;6;20050316 11:19;3/258231;
D;511;293146;6;20050316 11:19;P;;;;;;
D;511;293146;6;20050316 11:19;P;;;;;;
D;511;293146;6;20050316 11:19;V;;;;;;
D;511;293146;6;20050316 11:19;V;;;;;;
B;511;293784;7;20050316 11:19;;;47;GRAY ST;SCONE;2337;7309;M;20050107;20050211;520000;R;R;RESIDENCE;;HG;;0;AB310719;
C;511;293784;7;20050316 11:19;43/819812;
D;511;293784;7;20050316 11:19;P;;;;;;
D;511;293784;7;20050316 11:19;P;;;;;;
D;511;293784;7;20050316 11:19;V;;;;;;
B;511;294280;8;20050316 11:19;;;2;MCLOUGHLIN ST;SCONE;2337;1584;M;20041215;20050128;271700;I;3;INDUSTRIAL SH;;WS;;0;AB304996;
C;511;294280;8;20050316 11:19;3/249450;
D;511;294280;8;20050316 11:19;P;;;;;;
D;511;294280;8;20050316 11:19;P;;;;;;
D;511;294280;8;20050316 11:19;V;;;;;;
B;511;294582;9;20050316 11:19;;;72;OXFORD RD;SCONE;2337;1064;M;20050217;20050218;250000;A;V;VACANT LAND;;AE;;0;AB301361;
C;511;294582;9;20050316 11:19;101/633264;
D;511;294582;9;20050316 11:19;P;;;;;;
D;511;294582;9;20050316 11:19;P;;;;;;
D;511;294582;9;20050316 11:19;V;;;;;;
D;511;294582;9;20050316 11:19;V;;;;;;
B;511;294717;10;20050316 11:19;;;35;PARKER ST;SCONE;2337;1012;M;20050113;20050210;140000;A;R;RESIDENCE;;AW;;0;AB300438;
C;511;294717;10;20050316 11:19;38/5417;
D;511;294717;10;20050316 11:19;P;;;;;;
D;511;294717;10;20050316 11:19;V;;;;;;
D;511;294717;10;20050316 11:19;V;;;;;;
B;511;294770;11;20050316 11:19;;;118;ST AUBINS ST;SCONE;2337;866.3;M;20050110;20050218;185000;A;R;RESIDENCE;;AE;;0;AB306657;
C;511;294770;11;20050316 11:19;D/20517;
D;511;294770;11;20050316 11:19;P;;;;;;
D;511;294770;11;20050316 11:19;V;;;;;;
B;511;295913;12;20050316 11:19;;;53;RAGLAN ST;WINGEN;2337;6377;M;20041231;20041231;35000;A;V;VACANT LAND;;VW;;0;AB291654;
C;511;295913;12;20050316 11:19;5/14/759098;
D;511;295913;12;20050316 11:19;P;;;;;;
D;511;295913;12;20050316 11:19;V;;;;;;
B;511;2651048;13;20050316 11:19;;;6507;DUBBO RD;MERRIWA;2329;305.5;H;20041112;20050121;1030000;R;3;FARM;;RB;;0;AB293580;
C;511;2651048;13;20050316 11:19;211, 212/750934 Perpetual Lease 65284 Perpetual Lease 65284;
D;511;2651048;13;20050316 11:19;P;;;;;;
D;511;2651048;13;20050316 11:19;P;;;;;;
D;511;2651048;13;20050316 11:19;V;;;;;;
B;511;2652537;14;20050316 11:19;TARA SPRINGS;;;PAGES RIVER RD;MURRURUNDI;2338;226.7;H;20050111;20050222;550000;R;V;VACANT LAND;;GE;;0;AB316888;
C;511;2652537;14;20050316 11:19;22/867863;
D;511;2652537;14;20050316 11:19;P;;;;;;
D;511;2652537;14;20050316 11:19;V;;;;;;
D;511;2652537;14;20050316 11:19;V;;;;;;
B;511;2652779;15;20050316 11:19;;;;MAYNE ST;MURRURUNDI;2338;7215;M;20040415;20050127;55000;Z;V;VACANT LAND;;ZM;;0;AB318732;
C;511;2652779;15;20050316 11:19;1, 2/536309;
D;511;2652779;15;20050316 11:19;P;;;;;;
D;511;2652779;15;20050316 11:19;V;;;;;;
B;511;2652824;16;20050316 11:19;;;42;MAYNE ST;MURRURUNDI;2338;3547.7;M;20050204;20050211;57025;Z;V;VACANT LAND;;ZM;;0;AB306509;
C;511;2652824;16;20050316 11:19;3/532511 5/535610 15/1067464;
D;511;2652824;16;20050316 11:19;P;;;;;;
D;511;2652824;16;20050316 11:19;V;;;;;;
B;511;2652873;17;20050316 11:19;;;153;MAYNE ST;MURRURUNDI;2338;773.1;M;20050207;20050228;150000;Z;R;RESIDENCE;;ZM;;0;AB324242;
C;511;2652873;17;20050316 11:19;1/783166;
D;511;2652873;17;20050316 11:19;P;;;;;;
D;511;2652873;17;20050316 11:19;V;;;;;;
D;511;2652873;17;20050316 11:19;V;;;;;;
B;511;2652992;18;20050316 11:19;;;;PARADISE RD;MURRURUNDI;2338;5267;M;20041216;20050202;185000;Z;R;RESIDENCE;;ZM;;0;AB272033;
C;511;2652992;18;20050316 11:19;4/965977;
D;511;2652992;18;20050316 11:19;P;;;;;;
D;511;2652992;18;20050316 11:19;P;;;;;;
D;511;2652992;18;20050316 11:19;V;;;;;;
B;511;2908486;19;20050316 11:19;;;68;GRAY ST;SCONE;2337;2016;M;20040528;20040618;118000;R;V;VACANT LAND;;HG;;0;AB322653;
C;511;2908486;19;20050316 11:19;32/1040974;
D;511;2908486;19;20050316 11:19;P;;;;;;
D;511;2908486;19;20050316 11:19;V;;;;;;
D;511;2908486;19;20050316 11:19;V;;;;;;
B;511;2918533;20;20050316 11:19;;;46 C;HILL ST;SCONE;2337;803.5;M;20041215;20050203;70000;A;V;VACANT LAND;;AW;;0;AB283203;
C;511;2918533;20;20050316 11:19;215/1042234;
D;511;2918533;20;20050316 11:19;P;;;;;;
D;511;2918533;20;20050316 11:19;P;;;;;;
D;511;2918533;20;20050316 11:19;V;;;;;;
D;511;2918533;20;20050316 11:19;V;;;;;;
D;511;2918533;20;20050316 11:19;V;;;;;;
D;511;2918533;20;20050316 11:19;V;;;;;;
B;511;3052581;21;20050316 11:19;;;;BUNNAN RD;SCONE;2337;6874;M;20041116;20041215;55000;O;R;RESIDENCE;;SP;;0;AB326589;
C;511;3052581;21;20050316 11:19;812/1061912;
D;511;3052581;21;20050316 11:19;P;;;;;;
D;511;3052581;21;20050316 11:19;V;;;;;;
B;511;3054586;22;20050316 11:19;;;15;OLD HIGHWAY RD;BLANDFORD;2338;10.83;H;20040529;20050128;310000;R;3;FARM/RURAL;;HM;;0;AB293789;
C;511;3054586;22;20050316 11:19;11/1049265;
D;511;3054586;22;20050316 11:19;P;;;;;;
D;511;3054586;22;20050316 11:19;P;;;;;;
D;511;3054586;22;20050316 11:19;V;;;;;;
D;511;3054586;22;20050316 11:19;V;;;;;;
D;511;3054586;22;20050316 11:19;V;;;;;;
B;511;3061096;23;20050316 11:19;;;14;GUNDY RD;SCONE;2337;2010.8;M;20041222;20050210;285000;A;R;RESIDENCE;;AE;;0;AB295443;
C;511;3061096;23;20050316 11:19;10, 11, 12/4/2958;
D;511;3061096;23;20050316 11:19;P;;;;;;
D;511;3061096;23;20050316 11:19;V;;;;;;
B;511;3152981;24;20050316 11:19;;;1 A;ELIZABETH ST;MERRIWA;2329;1778;M;20041201;20050131;20000;;V;VACANT LAND;;;;0;AB288880;
C;511;3152981;24;20050316 11:19;6/650911;
D;511;3152981;24;20050316 11:19;P;;;;;;
D;511;3152981;24;20050316 11:19;V;;;;;;
B;511;3158058;25;20050316 11:19;;;;DONALDS CREEK RD;SCONE;2337;712.1;H;20040402;20050114;1800000;;V;VACANT LAND;;;;0;AB237160;
