A;137;20050316 11:12;PBARBER;
B;137;1388929;1;20050316 11:12;;;44;BEAUMARIS ST;ENFIELD;2136;;;20041204;20050128;781500;A;R;RESIDENCE;;ES;;0;AB323146;
C;137;1388929;1;20050316 11:12;2/305095;
D;137;1388929;1;20050316 11:12;P;;;;;;
D;137;1388929;1;20050316 11:12;P;;;;;;
D;137;1388929;1;20050316 11:12;V;;;;;;
D;137;1388929;1;20050316 11:12;V;;;;;;
B;137;1389258;2;20050316 11:12;;50;28 A;BELMORE ST;BURWOOD;2134;;;20041224;20050211;360000;;R;RESIDENCE;50;;;0;AB329680;
C;137;1389258;2;20050316 11:12;50/SP62559;
D;137;1389258;2;20050316 11:12;P;;;;;;
D;137;1389258;2;20050316 11:12;V;;;;;;
D;137;1389258;2;20050316 11:12;V;;;;;;
B;137;1389258;3;20050316 11:12;;77;28 A;BELMORE ST;BURWOOD;2134;;;20041223;20050210;330000;;R;RESIDENCE;77;;;0;AB305398;
C;137;1389258;3;20050316 11:12;77/SP62559;
D;137;1389258;3;20050316 11:12;P;;;;;;
D;137;1389258;3;20050316 11:12;P;;;;;;
D;137;1389258;3;20050316 11:12;V;;;;;;
B;137;1389258;4;20050316 11:12;;105;28 A;BELMORE ST;BURWOOD;2134;;;20050107;20050211;380000;;R;RESIDENCE;105;;;0;AB296841;
C;137;1389258;4;20050316 11:12;105/SP62559;
D;137;1389258;4;20050316 11:12;P;;;;;;
D;137;1389258;4;20050316 11:12;V;;;;;;
B;137;1390883;5;20050316 11:12;;;31;CLAREMONT RD;ENFIELD;2136;;;20041204;20050214;1022000;A;R;RESIDENCE;;EG;;0;AB311960;
C;137;1390883;5;20050316 11:12;68/7371;
D;137;1390883;5;20050316 11:12;P;;;;;;
D;137;1390883;5;20050316 11:12;P;;;;;;
D;137;1390883;5;20050316 11:12;P;;;;;;
D;137;1390883;5;20050316 11:12;V;;;;;;
B;137;1391343;6;20050316 11:12;;;107;CROYDON AVE;CROYDON PARK;2133;;;20041113;20050223;562000;A;R;RESIDENCE;;ES;;0;AB317764;
C;137;1391343;6;20050316 11:12;F/100392;
D;137;1391343;6;20050316 11:12;P;;;;;;
D;137;1391343;6;20050316 11:12;V;;;;;;
B;137;1391348;7;20050316 11:12;;;97;CROYDON AVE;CROYDON PARK;2133;;;20041215;20050214;500000;A;R;RESIDENCE;;ES;;0;AB314843;
C;137;1391348;7;20050316 11:12;A/100392;
D;137;1391348;7;20050316 11:12;P;;;;;;
D;137;1391348;7;20050316 11:12;P;;;;;;
D;137;1391348;7;20050316 11:12;V;;;;;;
B;137;1391687;8;20050316 11:12;;;4;ESPLIN AVE;STRATHFIELD;2135;373.1;M;20050112;20050223;510000;A;3;;;EP;;0;AB309040;
C;137;1391687;8;20050316 11:12;5/219812;
D;137;1391687;8;20050316 11:12;P;;;;;;
D;137;1391687;8;20050316 11:12;V;;;;;;
B;137;1391948;9;20050316 11:12;;31;7;EVERTON RD;STRATHFIELD;2135;;;20050112;20050211;312700;;R;RESIDENCE;31;;;0;AB300305;
C;137;1391948;9;20050316 11:12;31/SP3014;
D;137;1391948;9;20050316 11:12;P;;;;;;
D;137;1391948;9;20050316 11:12;V;;;;;;
D;137;1391948;9;20050316 11:12;V;;;;;;
B;137;1391948;10;20050316 11:12;;31;7;EVERTON RD;STRATHFIELD;2135;;;20050112;20050211;312700;;R;RESIDENCE;59;;;0;AB300305;
C;137;1391948;10;20050316 11:12;59/SP3014;
D;137;1391948;10;20050316 11:12;P;;;;;;
D;137;1391948;10;20050316 11:12;V;;;;;;
D;137;1391948;10;20050316 11:12;V;;;;;;
B;137;1392858;11;20050316 11:12;;24;10;GROSVENOR ST;CROYDON;2132;;;20040930;20041112;335000;;R;RESIDENCE;24;;;0;AB313541;
C;137;1392858;11;20050316 11:12;24/SP61731;
D;137;1392858;11;20050316 11:12;P;;;;;;
D;137;1392858;11;20050316 11:12;V;;;;;;
D;137;1392858;11;20050316 11:12;V;;;;;;
B;137;1394431;12;20050316 11:12;;;18;MALVERN AVE;CROYDON;2132;645;M;20041030;20050208;1250000;A;R;RESIDENCE;;EF;;0;AB296565;
C;137;1394431;12;20050316 11:12;30/E/5613;
D;137;1394431;12;20050316 11:12;P;;;;;;
D;137;1394431;12;20050316 11:12;P;;;;;;
D;137;1394431;12;20050316 11:12;V;;;;;;
D;137;1394431;12;20050316 11:12;V;;;;;;
B;137;1394736;13;20050316 11:12;;;12;MOORE ST;STRATHFIELD;2135;;;20041127;20050124;660000;A;R;RESIDENCE;;EC;;0;AB305614;
C;137;1394736;13;20050316 11:12;15/12214;
D;137;1394736;13;20050316 11:12;P;;;;;;
D;137;1394736;13;20050316 11:12;P;;;;;;
D;137;1394736;13;20050316 11:12;V;;;;;;
B;137;1395397;14;20050316 11:12;;33;2;PARK AVE;BURWOOD;2134;;;20041220;20050211;360000;;R;RESIDENCE;33;;;0;AB302183;
C;137;1395397;14;20050316 11:12;33/SP17913;
D;137;1395397;14;20050316 11:12;P;;;;;;
D;137;1395397;14;20050316 11:12;P;;;;;;
D;137;1395397;14;20050316 11:12;V;;;;;;
B;137;1396221;15;20050316 11:12;;13;12;RAILWAY PDE;BURWOOD;2134;;;20041216;20050228;374000;;R;RESIDENCE;13;;;0;AB328244;
C;137;1396221;15;20050316 11:12;13/SP53585;
D;137;1396221;15;20050316 11:12;P;;;;;;
D;137;1396221;15;20050316 11:12;P;;;;;;
D;137;1396221;15;20050316 11:12;P;;;;;;
D;137;1396221;15;20050316 11:12;P;;;;;;
D;137;1396221;15;20050316 11:12;V;;;;;;
B;137;1397021;16;20050316 11:12;;;6;SEYMOUR ST;CROYDON PARK;2133;306;M;20041009;20050215;480000;A;R;RESIDENCE;;ES;;0;AB315501;
C;137;1397021;16;20050316 11:12;2/577361;
D;137;1397021;16;20050316 11:12;P;;;;;;
D;137;1397021;16;20050316 11:12;V;;;;;;
B;137;1397274;17;20050316 11:12;;;3;SHERARS AVE;STRATHFIELD;2135;444.5;M;20041213;20050211;900000;A;R;RESIDENCE;;EP;;0;AB303663;
C;137;1397274;17;20050316 11:12;10/573555;
D;137;1397274;17;20050316 11:12;P;;;;;;
D;137;1397274;17;20050316 11:12;P;;;;;;
D;137;1397274;17;20050316 11:12;V;;;;;;
D;137;1397274;17;20050316 11:12;V;;;;;;
B;137;1399253;18;20050316 11:12;;9;4;WYATT AVE;BURWOOD;2134;;;20041216;20050210;555000;;R;RESIDENCE;9;;;0;AB315012;
