A;134;20050117 11:09;PBARBER;
B;134;1291824;1;20050117 11:09;;5;12;ALLMAN AVE;SUMMER HILL;2130;;;20041115;20041222;270000;;R;RESIDENCE;5;;;0;AB197020;
C;134;1291824;1;20050117 11:09;5/SP54249;
D;134;1291824;1;20050117 11:09;P;;;;;;
D;134;1291824;1;20050117 11:09;V;;;;;;
B;134;1292218;2;20050117 11:09;;14;115;ALT ST;ASHFIELD;2131;;;20041101;20041216;340000;;R;RESIDENCE;14;;;0;AB187738;
C;134;1292218;2;20050117 11:09;14/SP3415;
D;134;1292218;2;20050117 11:09;P;;;;;;
D;134;1292218;2;20050117 11:09;V;;;;;;
B;134;1292546;3;20050117 11:09;;3;38;ALT ST;ASHFIELD;2131;;;20041105;20041210;260000;;R;RESIDENCE;3;;;0;AB198569;
C;134;1292546;3;20050117 11:09;3/SP351;
D;134;1292546;3;20050117 11:09;P;;;;;;
D;134;1292546;3;20050117 11:09;V;;;;;;
B;134;1292739;4;20050117 11:09;;;1;ANTHONY ST;CROYDON;2132;263.9;M;20031213;20040226;911000;A;R;RESIDENCE;;EG;;0;AA462222;
C;134;1292739;4;20050117 11:09;2/1075077;
D;134;1292739;4;20050117 11:09;P;;;;;;
D;134;1292739;4;20050117 11:09;V;;;;;;
D;134;1292739;4;20050117 11:09;V;;;;;;
D;134;1292739;4;20050117 11:09;V;;;;;;
B;134;1292740;5;20050117 11:09;;;1 A;ANTHONY ST;CROYDON;2132;280.6;M;20031213;20040226;911000;A;R;RESIDENCE;;EG;;0;AA462222;
C;134;1292740;5;20050117 11:09;1/1075077;
D;134;1292740;5;20050117 11:09;P;;;;;;
D;134;1292740;5;20050117 11:09;V;;;;;;
B;134;1293612;6;20050117 11:09;;16;36;BLAND ST;ASHFIELD;2131;;;20041116;20041220;262500;;R;RESIDENCE;16;;;0;AB184706;
C;134;1293612;6;20050117 11:09;16/SP1364;
D;134;1293612;6;20050117 11:09;P;;;;;;
D;134;1293612;6;20050117 11:09;V;;;;;;
D;134;1293612;6;20050117 11:09;V;;;;;;
B;134;1293985;7;20050117 11:09;;;5;CARLISLE ST;ASHFIELD;2131;;;20041208;20041208;580000;A;R;RESIDENCE;;ES;;0;AB181273;
C;134;1293985;7;20050117 11:09;A/309469;
D;134;1293985;7;20050117 11:09;P;;;;;;
D;134;1293985;7;20050117 11:09;P;;;;;;
D;134;1293985;7;20050117 11:09;V;;;;;;
D;134;1293985;7;20050117 11:09;V;;;;;;
B;134;2973636;8;20050117 11:09;;3;8;CAVILL AVE;ASHFIELD;2131;;;20041104;20041216;205000;;R;RESIDENCE;3;;;0;AB195736;
C;134;2973636;8;20050117 11:09;3/SP58268;
D;134;2973636;8;20050117 11:09;P;;;;;;
D;134;2973636;8;20050117 11:09;V;;;;;;
B;134;1294930;9;20050117 11:09;;;78;CHANDOS ST;ASHFIELD;2131;;;20041123;20041223;950000;A;R;RESIDENCE;;ED;;0;AB183967;
C;134;1294930;9;20050117 11:09;1/308728;
D;134;1294930;9;20050117 11:09;P;;;;;;
D;134;1294930;9;20050117 11:09;V;;;;;;
B;134;1294996;10;20050117 11:09;;26;32;CHANDOS ST;ASHFIELD;2131;;;20041027;20041217;422000;;R;RESIDENCE;26;;;0;AB200854;
C;134;1294996;10;20050117 11:09;26/SP10395;
D;134;1294996;10;20050117 11:09;P;;;;;;
D;134;1294996;10;20050117 11:09;V;;;;;;
B;134;1295780;11;20050117 11:09;;;30;CROMWELL ST;CROYDON PARK;2133;;;20041109;20041221;570000;A;R;RESIDENCE;;ES;;0;AB181097;
C;134;1295780;11;20050117 11:09;2/9191;
D;134;1295780;11;20050117 11:09;P;;;;;;
D;134;1295780;11;20050117 11:09;P;;;;;;
D;134;1295780;11;20050117 11:09;V;;;;;;
D;134;1295780;11;20050117 11:09;V;;;;;;
B;134;1295854;12;20050117 11:09;;;1;CROYDON RD;CROYDON;2132;;;20041104;20041216;632000;A;R;RESIDENCE;;EG;;0;AB184148;
C;134;1295854;12;20050117 11:09;1/169795;
D;134;1295854;12;20050117 11:09;P;;;;;;
D;134;1295854;12;20050117 11:09;V;;;;;;
B;134;1296610;13;20050117 11:09;;;52;DUDLEY ST;HABERFIELD;2045;;;20041015;20041210;1010000;A;R;RESIDENCE;;EH;;0;AB198002;
C;134;1296610;13;20050117 11:09;19/2/5908;
D;134;1296610;13;20050117 11:09;P;;;;;;
D;134;1296610;13;20050117 11:09;V;;;;;;
D;134;1296610;13;20050117 11:09;V;;;;;;
B;134;1296776;14;20050117 11:09;;12;144;EDWIN ST N;CROYDON;2132;;;20041103;20041215;370000;;R;RESIDENCE;12;;;0;AB183490;
C;134;1296776;14;20050117 11:09;12/SP1993;
D;134;1296776;14;20050117 11:09;P;;;;;;
D;134;1296776;14;20050117 11:09;V;;;;;;
B;134;1296776;15;20050117 11:09;;12;144;EDWIN ST N;CROYDON;2132;;;20041103;20041215;370000;;R;RESIDENCE;23;;;0;AB183490;
C;134;1296776;15;20050117 11:09;23/SP1993;
D;134;1296776;15;20050117 11:09;P;;;;;;
D;134;1296776;15;20050117 11:09;V;;;;;;
B;134;1297098;16;20050117 11:09;;13;118;ELIZABETH ST;ASHFIELD;2131;;;20040924;20041220;420000;;R;RESIDENCE;13;;;0;AB180787;
C;134;1297098;16;20050117 11:09;13/SP3790;
D;134;1297098;16;20050117 11:09;P;;;;;;
D;134;1297098;16;20050117 11:09;V;;;;;;
D;134;1297098;16;20050117 11:09;V;;;;;;
B;134;1297418;17;20050117 11:09;;1;14;ETONVILLE PDE;CROYDON;2132;;;20041117;20041224;320000;;R;RESIDENCE;1;;;0;AB204762;
C;134;1297418;17;20050117 11:09;1/SP14240;
D;134;1297418;17;20050117 11:09;P;;;;;;
D;134;1297418;17;20050117 11:09;P;;;;;;
D;134;1297418;17;20050117 11:09;V;;;;;;
B;134;1298532;18;20050117 11:09;;2;48;GROSVENOR CRES;SUMMER HILL;2130;;;20041111;20041217;450000;;R;RESIDENCE;2;;;0;AB201960;
C;134;1298532;18;20050117 11:09;2/SP12905;
D;134;1298532;18;20050117 11:09;P;;;;;;
D;134;1298532;18;20050117 11:09;V;;;;;;
B;134;1298853;19;20050117 11:09;;;7;HARDY ST;ASHFIELD;2131;;;20041112;20041221;610000;A;R;RESIDENCE;;ES;;0;AB203370;
C;134;1298853;19;20050117 11:09;5/10030;
D;134;1298853;19;20050117 11:09;P;;;;;;
D;134;1298853;19;20050117 11:09;P;;;;;;
D;134;1298853;19;20050117 11:09;V;;;;;;
B;134;1300229;20;20050117 11:09;;2;36;JUNCTION RD;SUMMER HILL;2130;;;20041029;20041210;320000;;R;RESIDENCE;2;;;0;AB181770;
C;134;1300229;20;20050117 11:09;2/SP60240;
D;134;1300229;20;20050117 11:09;P;;;;;;
D;134;1300229;20;20050117 11:09;V;;;;;;
B;134;1300945;21;20050117 11:09;;15;457;LIVERPOOL RD;CROYDON;2132;;;20041030;20041213;460000;;R;RESIDENCE;15;;;0;AB181454;
C;134;1300945;21;20050117 11:09;15/SP21901;
D;134;1300945;21;20050117 11:09;P;;;;;;
D;134;1300945;21;20050117 11:09;P;;;;;;
D;134;1300945;21;20050117 11:09;V;;;;;;
D;134;1300945;21;20050117 11:09;V;;;;;;
B;134;1301555;22;20050117 11:09;;9;3;LOFTUS ST;ASHFIELD;2131;;;20041113;20041217;420000;;R;RESIDENCE;9;;;0;AB191925;
C;134;1301555;22;20050117 11:09;9/SP16653;
D;134;1301555;22;20050117 11:09;P;;;;;;
D;134;1301555;22;20050117 11:09;V;;;;;;
B;134;1301921;23;20050117 11:09;;;24;MILLER AVE;ASHFIELD;2131;;;20041127;20041127;660000;A;R;RESIDENCE;;ES;;0;AB198939;
C;134;1301921;23;20050117 11:09;12/4204;
D;134;1301921;23;20050117 11:09;P;;;;;;
D;134;1301921;23;20050117 11:09;P;;;;;;
D;134;1301921;23;20050117 11:09;V;;;;;;
B;134;1301954;24;20050117 11:09;;3;44;MILTON ST;ASHFIELD;2131;;;20040902;20041217;350000;;R;RESIDENCE;3;;;0;AB184837;
C;134;1301954;24;20050117 11:09;3/SP15066;
