A;207;20050117 11:13;PBARBER;
B;207;1972357;1;20050117 11:13;;3;1;ADA ST;RANDWICK;2031;;;20041108;20041210;397500;;R;RESIDENCE;3;;;0;AB203054;
C;207;1972357;1;20050117 11:13;3/SP1576;
D;207;1972357;1;20050117 11:13;P;;;;;;
D;207;1972357;1;20050117 11:13;V;;;;;;
B;207;1973207;2;20050117 11:13;;105;244;ALISON RD;RANDWICK;2031;;;20041112;20041217;468000;;R;RESIDENCE;105;;;0;AB197509;
C;207;1973207;2;20050117 11:13;105/SP10829;
D;207;1973207;2;20050117 11:13;P;;;;;;
D;207;1973207;2;20050117 11:13;P;;;;;;
D;207;1973207;2;20050117 11:13;V;;;;;;
D;207;1973207;2;20050117 11:13;V;;;;;;
B;207;1974433;3;20050117 11:13;;;1438;ANZAC PDE;LITTLE BAY;2036;543.8;M;20041201;20041210;885000;A;R;RESIDENCE;;AT;;0;AB192916;
C;207;1974433;3;20050117 11:13;5116/752015;
D;207;1974433;3;20050117 11:13;P;;;;;;
D;207;1974433;3;20050117 11:13;V;;;;;;
B;207;1976650;4;20050117 11:13;;;1121;ANZAC PDE;MATRAVILLE;2036;562.8;M;20041118;20041217;765000;A;R;RESIDENCE;;AM;;0;AB194017;
C;207;1976650;4;20050117 11:13;15/245359;
D;207;1976650;4;20050117 11:13;P;;;;;;
D;207;1976650;4;20050117 11:13;V;;;;;;
D;207;1976650;4;20050117 11:13;V;;;;;;
B;207;1976939;5;20050117 11:13;;4;40;ARCADIA ST;COOGEE;2034;;;20041122;20041215;520000;;R;RESIDENCE;4;;;0;AB189288;
C;207;1976939;5;20050117 11:13;4/SP52031;
D;207;1976939;5;20050117 11:13;P;;;;;;
D;207;1976939;5;20050117 11:13;P;;;;;;
D;207;1976939;5;20050117 11:13;P;;;;;;
D;207;1976939;5;20050117 11:13;V;;;;;;
D;207;1976939;5;20050117 11:13;V;;;;;;
B;207;1977240;6;20050117 11:13;;23;166;ARDEN ST;COOGEE;2034;;;20041108;20041215;710000;;R;RESIDENCE;23;;;0;AB179297;
C;207;1977240;6;20050117 11:13;23/SP57237;
D;207;1977240;6;20050117 11:13;P;;;;;;
D;207;1977240;6;20050117 11:13;V;;;;;;
B;207;1978555;7;20050117 11:13;;12;167;AVOCA ST;RANDWICK;2031;;;20041015;20041216;475000;;R;RESIDENCE;12;;;0;AB195628;
C;207;1978555;7;20050117 11:13;12/SP5829;
D;207;1978555;7;20050117 11:13;P;;;;;;
D;207;1978555;7;20050117 11:13;V;;;;;;
B;207;1978889;8;20050117 11:13;;1;7;BADEN ST;COOGEE;2034;;;20041021;20041209;550000;;R;RESIDENCE;1;;;0;AB184291;
C;207;1978889;8;20050117 11:13;1/SP10585;
D;207;1978889;8;20050117 11:13;P;;;;;;
D;207;1978889;8;20050117 11:13;V;;;;;;
