A;220;20070201 01:19;VALNET;
B;220;2376527;1;20070201 01:19;;;15;BIRCHGROVE AVE;CANLEY HEIGHTS;2166;695.6;M;20061123;20061220;275000;A;R;RESIDENCE;;GD;;0;AC846557;
C;220;2376527;1;20070201 01:19;76/30338;
D;220;2376527;1;20070201 01:19;P;;;;;;
D;220;2376527;1;20070201 01:19;P;;;;;;
D;220;2376527;1;20070201 01:19;V;;;;;;
D;220;2376527;1;20070201 01:19;V;;;;;;
B;220;2376687;2;20070201 01:19;;;9;BLACKMORE PL;WETHERILL PARK;2164;555.8;M;20061207;20070117;425000;A;R;RESIDENCE;;GL;;0;AC883495;
C;220;2376687;2;20070201 01:19;118/259840;
D;220;2376687;2;20070201 01:19;P;;;;;;
D;220;2376687;2;20070201 01:19;P;;;;;;
D;220;2376687;2;20070201 01:19;V;;;;;;
B;220;2376817;3;20070201 01:19;;;9;BLAXLAND ST;YENNORA;2161;594.4;M;20061128;20070108;260000;A;V;VACANT LAND;;KA;;0;AC874692;
C;220;2376817;3;20070201 01:19;37/35953;
D;220;2376817;3;20070201 01:19;P;;;;;;
D;220;2376817;3;20070201 01:19;V;;;;;;
B;220;2380970;4;20070201 01:19;;;29;CANDLEWOOD ST;BOSSLEY PARK;2176;562.5;M;20061004;20061220;515000;A;R;RESIDENCE;;HA;;0;AC859677;
C;220;2380970;4;20070201 01:19;12/263091;
D;220;2380970;4;20070201 01:19;P;;;;;;
D;220;2380970;4;20070201 01:19;P;;;;;;
D;220;2380970;4;20070201 01:19;V;;;;;;
B;220;2380993;5;20070201 01:19;;;325;CANLEY VALE RD;CANLEY HEIGHTS;2166;569.1;M;20060922;20061103;290000;A;R;RESIDENCE;;GD;;0;AC739617;
C;220;2380993;5;20070201 01:19;1/30467;
D;220;2380993;5;20070201 01:19;P;;;;;;
D;220;2380993;5;20070201 01:19;P;;;;;;
D;220;2380993;5;20070201 01:19;V;;;;;;
D;220;2380993;5;20070201 01:19;V;;;;;;
B;220;2381029;6;20070201 01:19;;;239;CANLEY VALE RD;CANLEY HEIGHTS;2166;1599.7;M;20060725;20061108;3150000;B;3;SHOP;;CL;;0;AC747293;
C;220;2381029;6;20070201 01:19;PT 1, PT 2, 3, 4, 5, 6, 7, 8/29541 2/202946;
D;220;2381029;6;20070201 01:19;P;;;;;;
D;220;2381029;6;20070201 01:19;V;;;;;;
D;220;2381029;6;20070201 01:19;V;;;;;;
D;220;2381029;6;20070201 01:19;V;;;;;;
B;220;2375196;7;20070201 01:19;;;4;BARTOK PL;BONNYRIGG;2177;550.4;M;20061123;20061220;335000;A;R;RESIDENCE;;JF;;0;AC862784;
C;220;2375196;7;20070201 01:19;20/772144;
D;220;2375196;7;20070201 01:19;P;;;;;;
D;220;2375196;7;20070201 01:19;P;;;;;;
D;220;2375196;7;20070201 01:19;V;;;;;;
B;220;2381147;8;20070201 01:19;;8;26;CANLEY VALE RD;CANLEY VALE;2166;;;20061110;20061227;137000;;R;RESIDENCE;8;;;0;AC859926;
C;220;2381147;8;20070201 01:19;8/SP38923;
D;220;2381147;8;20070201 01:19;P;;;;;;
D;220;2381147;8;20070201 01:19;V;;;;;;
B;220;2381232;9;20070201 01:19;;;144;CANLEY VALE RD;CANLEY HEIGHTS;2166;442.6;M;20061214;20061220;338000;A;R;RESIDENCE;;GW;;0;AC848982;
C;220;2381232;9;20070201 01:19;14, 15/11/728;
D;220;2381232;9;20070201 01:19;P;;;;;;
D;220;2381232;9;20070201 01:19;P;;;;;;
D;220;2381232;9;20070201 01:19;V;;;;;;
B;220;2378700;10;20070201 01:19;;;;BROCKMAN ST;ST JOHNS PARK;2176;415;M;20061119;20061222;330000;A;R;RESIDENCE;;GL;;0;AC862669;
C;220;2378700;10;20070201 01:19;2452/878652;
D;220;2378700;10;20070201 01:19;P;;;;;;
D;220;2378700;10;20070201 01:19;P;;;;;;
D;220;2378700;10;20070201 01:19;V;;;;;;
B;220;2373416;11;20070201 01:19;;;28;APACHE RD;BOSSLEY PARK;2176;610;M;20061205;20061205;145000;A;R;RESIDENCE;;HA;;50;AC872713;
C;220;2373416;11;20070201 01:19;29/262051;
D;220;2373416;11;20070201 01:19;P;;;;;;
D;220;2373416;11;20070201 01:19;V;;;;;;
D;220;2373416;11;20070201 01:19;V;;;;;;
D;220;2373416;11;20070201 01:19;V;;;;;;
D;220;2373416;11;20070201 01:19;V;;;;;;
B;220;2392319;12;20070201 01:19;;;7;GAZI CL;BOSSLEY PARK;2176;689.9;M;20011110;20011217;250000;A;R;RESIDENCE;;HA;;0;8419445;
C;220;2392319;12;20070201 01:19;228/263227;
D;220;2392319;12;20070201 01:19;P;;;;;;
D;220;2392319;12;20070201 01:19;V;;;;;;
B;220;2405833;13;20070201 01:19;;;60;LORD ST;CABRAMATTA WEST;2166;578.4;M;20061113;20061221;335000;A;R;RESIDENCE;;GD;;0;AC854917;
C;220;2405833;13;20070201 01:19;A/393573 1/728464;
D;220;2405833;13;20070201 01:19;P;;;;;;
D;220;2405833;13;20070201 01:19;P;;;;;;
D;220;2405833;13;20070201 01:19;V;;;;;;
B;220;2416477;14;20070201 01:19;;;9;QUINN PL;PRAIRIEWOOD;2176;609.3;M;20060925;20061115;345000;A;R;RESIDENCE;;GL;;0;AC761814;
C;220;2416477;14;20070201 01:19;241/633547;
D;220;2416477;14;20070201 01:19;P;;;;;;
D;220;2416477;14;20070201 01:19;V;;;;;;
D;220;2416477;14;20070201 01:19;V;;;;;;
B;220;2389647;15;20070201 01:19;;58;4;EQUITY PL;CANLEY VALE;2166;;;20061129;20070111;190000;;R;RESIDENCE;58;;;0;AC873650;
C;220;2389647;15;20070201 01:19;58/SP36932;
D;220;2389647;15;20070201 01:19;P;;;;;;
D;220;2389647;15;20070201 01:19;P;;;;;;
D;220;2389647;15;20070201 01:19;V;;;;;;
B;220;2405940;16;20070201 01:19;;;10;LOSCOE ST;FAIRFIELD;2165;556.4;M;20061208;20061215;290000;A;R;RESIDENCE;;JK;;0;AC883316;
C;220;2405940;16;20070201 01:19;32/30340;
D;220;2405940;16;20070201 01:19;P;;;;;;
D;220;2405940;16;20070201 01:19;V;;;;;;
B;220;2416639;17;20070201 01:19;;8;230;RAILWAY PDE;CABRAMATTA;2166;;;20061004;20061115;155000;;R;RESIDENCE;8;;XA;0;AC817603;
C;220;2416639;17;20070201 01:19;8/SP35519;
D;220;2416639;17;20070201 01:19;P;;;;;;
D;220;2416639;17;20070201 01:19;V;;;;;;
B;220;2381840;18;20070201 01:19;;;32;CARTWRIGHT ST;BONNYRIGG HEIGHTS;2177;755.1;M;20061116;20070105;372000;A;R;RESIDENCE;;JF;;0;AC862339;
C;220;2381840;18;20070201 01:19;110/739757;
D;220;2381840;18;20070201 01:19;P;;;;;;
D;220;2381840;18;20070201 01:19;P;;;;;;
D;220;2381840;18;20070201 01:19;V;;;;;;
B;220;2400890;19;20070201 01:19;;;8;JUDITH AVE;CABRAMATTA;2166;657.6;M;20061214;20070110;60000;A;R;RESIDENCE;;GW;;20;AC872596;
C;220;2400890;19;20070201 01:19;65/29867;
D;220;2400890;19;20070201 01:19;P;;;;;;
D;220;2400890;19;20070201 01:19;V;;;;;;
D;220;2400890;19;20070201 01:19;V;;;;;;
B;220;2406321;20;20070201 01:19;;;3;MACKENZIE ST;CANLEY VALE;2166;834.6;M;20061030;20061120;250000;A;R;RESIDENCE;;KA;;0;AC778011;
C;220;2406321;20;20070201 01:19;16/6697 1/128776;
D;220;2406321;20;20070201 01:19;P;;;;;;
D;220;2406321;20;20070201 01:19;V;;;;;;
D;220;2406321;20;20070201 01:19;V;;;;;;
B;220;2423179;21;20070201 01:19;;;13;STRZELECKI CL;WAKELEY;2176;646;M;20061108;20070104;370000;A;R;RESIDENCE;;GL;;0;AC867958;
C;220;2423179;21;20070201 01:19;16/255150;
D;220;2423179;21;20070201 01:19;P;;;;;;
D;220;2423179;21;20070201 01:19;V;;;;;;
D;220;2423179;21;20070201 01:19;V;;;;;;
B;220;2398357;22;20070201 01:19;;;41;HUGHES ST;CABRAMATTA;2166;619.7;M;20061030;20061222;600000;A;R;RESIDENCE;;GW;;0;AC860865;
C;220;2398357;22;20070201 01:19;B/372179;
D;220;2398357;22;20070201 01:19;P;;;;;;
D;220;2398357;22;20070201 01:19;P;;;;;;
D;220;2398357;22;20070201 01:19;P;;;;;;
D;220;2398357;22;20070201 01:19;V;;;;;;
D;220;2398357;22;20070201 01:19;V;;;;;;
B;220;2398358;23;20070201 01:19;;;39;HUGHES ST;CABRAMATTA;2166;619.7;M;20061030;20070110;600000;A;R;RESIDENCE;;GW;;0;AC877342;
C;220;2398358;23;20070201 01:19;C/372179;
D;220;2398358;23;20070201 01:19;P;;;;;;
D;220;2398358;23;20070201 01:19;V;;;;;;
D;220;2398358;23;20070201 01:19;V;;;;;;
B;220;2398386;24;20070201 01:19;;19;25;HUGHES ST;CABRAMATTA;2166;;;20061108;20061215;180000;;R;RESIDENCE;19;;;0;AC861929;
C;220;2398386;24;20070201 01:19;19/SP15292;
D;220;2398386;24;20070201 01:19;P;;;;;;
D;220;2398386;24;20070201 01:19;V;;;;;;
B;220;2403781;25;20070201 01:19;;;7;LAROW PL;BONNYRIGG;2177;624.4;M;20061207;20061221;330000;A;R;RESIDENCE;;JF;;0;AC855727;
C;220;2403781;25;20070201 01:19;48/262642;
D;220;2403781;25;20070201 01:19;P;;;;;;
D;220;2403781;25;20070201 01:19;P;;;;;;
D;220;2403781;25;20070201 01:19;V;;;;;;
D;220;2403781;25;20070201 01:19;V;;;;;;
D;220;2403781;25;20070201 01:19;V;;;;;;
D;220;2403781;25;20070201 01:19;V;;;;;;
B;220;2414435;26;20070201 01:19;;;19;PETERLEE RD;CANLEY HEIGHTS;2166;562.7;M;20061212;20061222;77000;A;R;RESIDENCE;;GD;;0;AC859917;
C;220;2414435;26;20070201 01:19;180/226325;
D;220;2414435;26;20070201 01:19;P;;;;;;
