A;054;20040202 11:41;PTHIRLWELL;
B;054;511768;1;20040202 11:41;;;15;HANNAH ST;GANMAIN;2702;2024;M;20031105;20031212;123000;Z;R;RESIDENCE;;VE;;0;AA339453;
C;054;511768;1;20040202 11:41;2, 3/37/758428;
D;054;511768;1;20040202 11:41;P;;;;;;
D;054;511768;1;20040202 11:41;V;;;;;;
B;054;511783;2;20040202 11:41;;;;LAKE ST;GANMAIN;2702;1062;M;20031204;20031212;520000;Z;3;HOTEL;;VE;;0;AA327771;
C;054;511783;2;20040202 11:41;1//217741;
D;054;511783;2;20040202 11:41;P;;;;;;
D;054;511783;2;20040202 11:41;P;;;;;;
D;054;511783;2;20040202 11:41;P;;;;;;
D;054;511783;2;20040202 11:41;P;;;;;;
D;054;511783;2;20040202 11:41;V;;;;;;
B;054;511981;3;20040202 11:41;;;24;WATERVIEW ST;GANMAIN;2702;1461;M;20030801;20030805;29000;Z;R;RESIDENCE;;VE;;0;AA339104;
C;054;511981;3;20040202 11:41;74//6626 1//328308;
D;054;511981;3;20040202 11:41;P;;;;;;
D;054;511981;3;20040202 11:41;V;;;;;;
B;054;512596;4;20040202 11:41;;;;LEWIS ST;COOLAMON;2701;2023;M;20031204;20031217;27000;Z;V;VACANT LAND;;VD;;0;AA318524;
C;054;512596;4;20040202 11:41;1, 2//602139;
D;054;512596;4;20040202 11:41;P;;;;;;
D;054;512596;4;20040202 11:41;P;;;;;;
D;054;512596;4;20040202 11:41;V;;;;;;
D;054;512596;4;20040202 11:41;V;;;;;;
B;054;512695;5;20040202 11:41;;;114;METHUL ST;COOLAMON;2701;2023;M;20031016;20031110;115000;Z;R;RESIDENCE;;VB;;0;AA324337;
C;054;512695;5;20040202 11:41;3/4/758277;
D;054;512695;5;20040202 11:41;P;;;;;;
D;054;512695;5;20040202 11:41;P;;;;;;
D;054;512695;5;20040202 11:41;V;;;;;;
D;054;512695;5;20040202 11:41;V;;;;;;
B;054;512738;6;20040202 11:41;;;47;METHUL ST;COOLAMON;2701;2023;M;20031007;20031007;80000;Z;R;RESIDENCE;;VB;;67;AA322547;
C;054;512738;6;20040202 11:41;5/27/758277;
D;054;512738;6;20040202 11:41;P;;;;;;
D;054;512738;6;20040202 11:41;V;;;;;;
D;054;512738;6;20040202 11:41;V;;;;;;
D;054;512738;6;20040202 11:41;V;;;;;;
D;054;512738;6;20040202 11:41;V;;;;;;
B;054;512749;7;20040202 11:41;;;48;MIMOSA ST;COOLAMON;2701;2023;M;20031216;20040116;220000;Z;R;RESIDENCE;;VD;;0;AA348560;
C;054;512749;7;20040202 11:41;1/1/758277;
D;054;512749;7;20040202 11:41;P;;;;;;
D;054;512749;7;20040202 11:41;P;;;;;;
D;054;512749;7;20040202 11:41;V;;;;;;
B;054;512750;8;20040202 11:41;;;48;MIMOSA ST;COOLAMON;2701;2023;M;20031216;20040116;220000;Z;R;RESIDENCE;;VD;;0;AA348560;
C;054;512750;8;20040202 11:41;2/1/758277;
D;054;512750;8;20040202 11:41;P;;;;;;
D;054;512750;8;20040202 11:41;P;;;;;;
D;054;512750;8;20040202 11:41;V;;;;;;
B;054;513070;9;20040202 11:41;;;;HARE ST;MARRAR;2652;4047;M;20031104;20040116;75000;Z;R;RESIDENCE;;VF;;0;AA351276;
C;054;513070;9;20040202 11:41;9, 10/15/758650;
D;054;513070;9;20040202 11:41;P;;;;;;
D;054;513070;9;20040202 11:41;V;;;;;;
D;054;513070;9;20040202 11:41;V;;;;;;
B;054;513373;10;20040202 11:41;;;;PH RAMSAY;ARDLETHAN;2665;337.8;H;20030905;20030905;150000;R;3;FARM/RURAL;;ME;;0;AA196426;
C;054;513373;10;20040202 11:41;PT 45//750860;
D;054;513373;10;20040202 11:41;P;;;;;;
D;054;513373;10;20040202 11:41;V;;;;;;
B;054;513806;11;20040202 11:41;;1;67;WARRI ST;ARDLETHAN;2665;1012;M;20031007;20031105;63000;Z;R;RESIDENCE;;VA;;0;AA349977;
C;054;513806;11;20040202 11:41;9/2/758028;
D;054;513806;11;20040202 11:41;P;;;;;;
D;054;513806;11;20040202 11:41;V;;;;;;
D;054;513806;11;20040202 11:41;V;;;;;;
B;054;3044796;12;20040202 11:41;;;;LEARYS LANE;COOLAMON;2701;2;H;20030812;20031217;65000;;V;VACANT LAND;;;;0;AA315452;
C;054;3044796;12;20040202 11:41;6//1061946;
D;054;3044796;12;20040202 11:41;P;;;;;;
D;054;3044796;12;20040202 11:41;P;;;;;;
D;054;3044796;12;20040202 11:41;V;;;;;;
Z;65;12;12;39;
