A;300;20050104 11:53;MASMITH;
B;300;1842311;1;20050104 11:53;;;;PH GUNDAMULDA;BARRABA;2347;1372.5;H;20041104;20041104;1000000;R;3;FARMLAND;;GR;;0;AB137382;
C;300;1842311;1;20050104 11:53;1, 2, 3, 4/114452 12/754841 9, 11, 19, 43, 44, PT 125/754857 171/81735;
C;300;1842311;1;20050104 11:53;5 Permissive Occupancy 80/3;
D;300;1842311;1;20050104 11:53;P;;;;;;
D;300;1842311;1;20050104 11:53;P;;;;;;
D;300;1842311;1;20050104 11:53;V;;;;;;
B;300;2688223;2;20050104 11:53;;;;PH BALFOUR;WARIALDA;2402;17.6;H;20041104;20041216;50000;R;V;VACANT LAND;;HF;;0;AB176363;
C;300;2688223;2;20050104 11:53;3/751086;
D;300;2688223;2;20050104 11:53;P;;;;;;
D;300;2688223;2;20050104 11:53;V;;;;;;
B;300;2688438;3;20050104 11:53;;;;PH COX;WARIALDA;2402;972.82;H;20040825;20041112;870000;R;3;RURAL FARM;;MF;;0;AB172052;
C;300;2688438;3;20050104 11:53;88, 89, 92/751098;
D;300;2688438;3;20050104 11:53;P;;;;;;
D;300;2688438;3;20050104 11:53;P;;;;;;
D;300;2688438;3;20050104 11:53;V;;;;;;
B;300;2689167;4;20050104 11:53;;;;PH VICARS;WARIALDA;2402;40.14;H;20041112;20041112;12000;R;R;RESIDENCE;;HF;;0;AB157215;
C;300;2689167;4;20050104 11:53;6/714356;
D;300;2689167;4;20050104 11:53;P;;;;;;
D;300;2689167;4;20050104 11:53;V;;;;;;
B;300;3055194;5;20050104 11:53;;;9;LONG ST;WARIALDA;2402;4046;M;20041008;20041008;50000;Z;R;RESIDENCE;;PW;AC;0;AB154131;
C;300;3055194;5;20050104 11:53;18, 19/7/759052;
D;300;3055194;5;20050104 11:53;P;;;;;;
D;300;3055194;5;20050104 11:53;V;;;;;;
D;300;3055194;5;20050104 11:53;V;;;;;;
B;300;3059896;6;20050104 11:53;GLENAVON;;;GWYDIR HWY;GRAVESEND;2401;274.7;H;20041025;20041208;300000;R;R;RESIDENCE;;SF;;0;AB163302;
C;300;3059896;6;20050104 11:53;1/1058369;
D;300;3059896;6;20050104 11:53;P;;;;;;
D;300;3059896;6;20050104 11:53;P;;;;;;
D;300;3059896;6;20050104 11:53;V;;;;;;
D;300;3059896;6;20050104 11:53;V;;;;;;
B;300;3082291;7;20050104 11:53;;;13 A;BYWONG ST;BINGARA;2404;1131;M;20041129;20041214;13000;Z;V;VACANT LAND;;MR;;0;AB173833;
C;300;3082291;7;20050104 11:53;2/1067145;
D;300;3082291;7;20050104 11:53;P;;;;;;
D;300;3082291;7;20050104 11:53;P;;;;;;
D;300;3082291;7;20050104 11:53;V;;;;;;
D;300;3082291;7;20050104 11:53;V;;;;;;
B;300;3100669;8;20050104 11:53;;;5;EAST ST;BINGARA;2404;4578;M;20041102;20041123;80000;Z;R;RESIDENCE;;NH;;0;AB174627;
C;300;3100669;8;20050104 11:53;2/1069251;
D;300;3100669;8;20050104 11:53;P;;;;;;
D;300;3100669;8;20050104 11:53;V;;;;;;
Z;42;8;9;23;
