A;026;20040316 13:18;PDANN;
B;026;421816;1;20040316 13:18;;;;VILLAGE OF BIGGA;BIGGA;2583;5.489;H;20040109;20040216;232000;R;R;RESIDENCE;;VG;;0;AA437159;
C;026;421816;1;20040316 13:18;119//753041;
D;026;421816;1;20040316 13:18;P;;;;;;
D;026;421816;1;20040316 13:18;P;;;;;;
D;026;421816;1;20040316 13:18;V;;;;;;
B;026;422833;2;20040316 13:18;;;7;KIALLA RD;CROOKWELL;2583;651.3;M;20031015;20031205;255000;A;R;RESIDENCE;;AA;;0;AA434711;
C;026;422833;2;20040316 13:18;13//28138;
D;026;422833;2;20040316 13:18;P;;;;;;
D;026;422833;2;20040316 13:18;V;;;;;;
B;026;422975;3;20040316 13:18;;;45;NORTHCOTT ST;CROOKWELL;2583;2226;M;20020819;20020923;83000;A;R;RESIDENCE;;AD;;0;930068;
C;026;422975;3;20040316 13:18;14, 15/8/2383;
D;026;422975;3;20040316 13:18;P;;;;;;
D;026;422975;3;20040316 13:18;P;;;;;;
D;026;422975;3;20040316 13:18;V;;;;;;
B;026;423202;4;20040316 13:18;;;31;WADE ST;CROOKWELL;2583;872.6;M;20040213;20040213;100000;A;R;RESIDENCE;;AA;;50;AA448243;
C;026;423202;4;20040316 13:18;6//5781;
D;026;423202;4;20040316 13:18;P;;;;;;
D;026;423202;4;20040316 13:18;P;;;;;;
D;026;423202;4;20040316 13:18;V;;;;;;
D;026;423202;4;20040316 13:18;V;;;;;;
D;026;423202;4;20040316 13:18;V;;;;;;
D;026;423202;4;20040316 13:18;V;;;;;;
D;026;423202;4;20040316 13:18;V;;;;;;
D;026;423202;4;20040316 13:18;V;;;;;;
B;026;424262;5;20040316 13:18;;;572;MONTANA RD;PEELWOOD;2583;977.3;H;20031128;20031226;240000;R;3;FARM;;LB;;0;AA438246;
C;026;424262;5;20040316 13:18;42//753057;
D;026;424262;5;20040316 13:18;P;;;;;;
D;026;424262;5;20040316 13:18;P;;;;;;
D;026;424262;5;20040316 13:18;V;;;;;;
D;026;424262;5;20040316 13:18;V;;;;;;
B;026;424680;6;20040316 13:18;;;;DP 753067;BIGGA;2583;85.02;H;20040112;20040217;80000;R;V;VACANT LAND;;RG;;0;AA439295;
C;026;424680;6;20040316 13:18;125//753067;
D;026;424680;6;20040316 13:18;P;;;;;;
D;026;424680;6;20040316 13:18;P;;;;;;
D;026;424680;6;20040316 13:18;V;;;;;;
B;026;2772997;7;20040316 13:18;;;;CLEMENTS ST;CROOKWELL;2583;11.875;H;20030722;20031223;240000;Z;V;VACANT LAND;;ZT;;0;AA455669;
C;026;2772997;7;20040316 13:18;1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20,;
C;026;2772997;7;20040316 13:18; 21, 22, 23, 24, 25, 26, 27, 28, 29, 30/11/2383 1, 2, 3, 4, 5, 6, 7, 8;
C;026;2772997;7;20040316 13:18;, 9, 10, 11, 12/12/2383 1, 2, 3, 4/13/2383 1, 2, 3, 4, 5, 6/14/2383 1/;
C;026;2772997;7;20040316 13:18;/134469;
D;026;2772997;7;20040316 13:18;P;;;;;;
D;026;2772997;7;20040316 13:18;P;;;;;;
D;026;2772997;7;20040316 13:18;V;;;;;;
B;026;2989987;8;20040316 13:18;LITTLE HILL;;;BIGGA RD;CROOKED CORNER;2583;54.39;H;20040202;20040227;320000;R;R;RESIDENCE;;RB;;0;AA462773;
C;026;2989987;8;20040316 13:18;1//1052845;
D;026;2989987;8;20040316 13:18;P;;;;;;
D;026;2989987;8;20040316 13:18;V;;;;;;
D;026;2989987;8;20040316 13:18;V;;;;;;
B;026;3069297;9;20040316 13:18;;;;WOODHOUSELEE RD;LAGGAN;2583;135.6;H;20031010;20040130;1000000;;V;VACANT LAND;;;;0;AA406364;
C;026;3069297;9;20040316 13:18;39, 40, 41, 42, 43, 45, 46, 47, 150//753042;
D;026;3069297;9;20040316 13:18;P;;;;;;
D;026;3069297;9;20040316 13:18;V;;;;;;
B;026;3069299;10;20040316 13:18;;;;BISHOP ST;BINDA;2583;6070;M;20040127;20040205;5000;;V;VACANT LAND;;;;0;AA412391;
C;026;3069299;10;20040316 13:18;;
D;026;3069299;10;20040316 13:18;P;;;;;;
D;026;3069299;10;20040316 13:18;V;;;;;;
Z;58;10;13;33;
