A;233;20040401 15:37;PDANN;
B;233;2612182;1;20040401 15:37;;;34;BATHURST ST;BREWARRINA;2839;501.4;M;20040225;20040317;5000;Z;R;RESIDENCE;;BA;;0;AA521103;
C;233;2612182;1;20040401 15:37;1//743925;
D;233;2612182;1;20040401 15:37;P;;;;;;
D;233;2612182;1;20040401 15:37;V;;;;;;
B;233;2612183;2;20040401 15:37;;;32;BATHURST ST;BREWARRINA;2839;501.4;M;20040225;20040317;5000;Z;R;RESIDENCE;;BA;;0;AA521103;
C;233;2612183;2;20040401 15:37;1//744297;
D;233;2612183;2;20040401 15:37;P;;;;;;
D;233;2612183;2;20040401 15:37;V;;;;;;
Z;10;2;2;4;
