A;042;20050104 11:39;MASMITH;
B;042;470414;1;20050104 11:39;;;110;CULTOWA LANE;BILLIMARI;2804;5.81;H;20041207;20041220;110000;R;V;VACANT LAND;;HB;;0;AB177313;
C;042;470414;1;20050104 11:39;6/1014259;
D;042;470414;1;20050104 11:39;P;;;;;;
D;042;470414;1;20050104 11:39;P;;;;;;
D;042;470414;1;20050104 11:39;V;;;;;;
B;042;470614;2;20050104 11:39;;;;VILLAGE OF BILLIMARI  HOUSE NO: LOT 10;BILLIMARI;2804;1012;M;20041101;20041203;200000;Z;V;VACANT LAND;;VB;;0;AB152456;
C;042;470614;2;20050104 11:39;10/1/758107;
D;042;470614;2;20050104 11:39;P;;;;;;
D;042;470614;2;20050104 11:39;V;;;;;;
B;042;471140;3;20050104 11:39;WATTLE VALLEY;;2200;KANGAROOBY RD;GOOLOOGONG;2805;546.3;H;20041008;20041126;525000;R;3;FARM;;RW;;0;AB152662;
C;042;471140;3;20050104 11:39;10, 11, 40, 41, 71, 74, 82/752934 58/752959 1/1055067 Crown Lease 29/9;
D;042;471140;3;20050104 11:39;P;;;;;;
D;042;471140;3;20050104 11:39;V;;;;;;
B;042;471351;4;20050104 11:39;;;65;MILITARY PDE;COWRA;2794;1.726;H;20040810;20041119;442500;R;R;RESIDENCE;;HA;;0;AB149884;
C;042;471351;4;20050104 11:39;9/829077;
D;042;471351;4;20050104 11:39;P;;;;;;
D;042;471351;4;20050104 11:39;V;;;;;;
D;042;471351;4;20050104 11:39;V;;;;;;
B;042;472534;5;20050104 11:39;;;86;OLD BOOROWA RD;COWRA;2794;3.354;H;20041022;20041126;275000;R;R;RESIDENCE;;HB;;0;AB152238;
C;042;472534;5;20050104 11:39;4/789952;
D;042;472534;5;20050104 11:39;P;;;;;;
D;042;472534;5;20050104 11:39;P;;;;;;
D;042;472534;5;20050104 11:39;V;;;;;;
D;042;472534;5;20050104 11:39;V;;;;;;
B;042;472834;6;20050104 11:39;KALINGA;;1006;TEA TREE RD;LYNDHURST;2797;564;H;20041020;20041201;245000;R;V;VACANT LAND;;RE;;0;AB154530;
C;042;472834;6;20050104 11:39;1/750405 Perpetual Lease 106633;
D;042;472834;6;20050104 11:39;P;;;;;;
D;042;472834;6;20050104 11:39;P;;;;;;
D;042;472834;6;20050104 11:39;V;;;;;;
B;042;473428;7;20050104 11:39;;;20;BARTLETT AVE;COWRA;2794;822.02;M;20041124;20041213;272500;A;R;RESIDENCE;;AE;;0;AB179087;
C;042;473428;7;20050104 11:39;1/157088;
D;042;473428;7;20050104 11:39;P;;;;;;
D;042;473428;7;20050104 11:39;P;;;;;;
D;042;473428;7;20050104 11:39;V;;;;;;
D;042;473428;7;20050104 11:39;V;;;;;;
B;042;473934;8;20050104 11:39;;;15;COOTA ST;COWRA;2794;499.5;M;20041119;20041213;133000;A;R;RESIDENCE;;AE;;0;AB169898;
C;042;473934;8;20050104 11:39;1/386612;
D;042;473934;8;20050104 11:39;P;;;;;;
D;042;473934;8;20050104 11:39;P;;;;;;
D;042;473934;8;20050104 11:39;V;;;;;;
B;042;474061;9;20050104 11:39;;;77;COWRA RD;COWRA;2794;5000;M;20041025;20041203;310000;I;R;RESIDENCE;;WB;;0;AB169943;
C;042;474061;9;20050104 11:39;4/714930;
D;042;474061;9;20050104 11:39;P;;;;;;
D;042;474061;9;20050104 11:39;P;;;;;;
D;042;474061;9;20050104 11:39;V;;;;;;
D;042;474061;9;20050104 11:39;V;;;;;;
B;042;475010;10;20050104 11:39;;;;KENDAL ST;COWRA;2794;5116.8;M;20040531;20040930;5600000;B;3;SHOPPING CTR;;CA;;0;AB151015;
C;042;475010;10;20050104 11:39;F, G/28001 1/48078 2/627537 1, 2/714420 1/736999 2/773464;
D;042;475010;10;20050104 11:39;P;;;;;;
D;042;475010;10;20050104 11:39;V;;;;;;
B;042;475323;11;20050104 11:39;;;151;LACHLAN ST;COWRA;2794;927.3;M;20041029;20041203;200000;A;R;RESIDENCE;;AA;;0;AB169880;
C;042;475323;11;20050104 11:39;3/245937;
D;042;475323;11;20050104 11:39;P;;;;;;
D;042;475323;11;20050104 11:39;P;;;;;;
D;042;475323;11;20050104 11:39;V;;;;;;
D;042;475323;11;20050104 11:39;V;;;;;;
B;042;475584;12;20050104 11:39;;;12;LOGAN ST;COWRA;2794;651.3;M;20041103;20041208;65000;A;R;RESIDENCE;;AM;;0;AB156775;
C;042;475584;12;20050104 11:39;8/232070;
D;042;475584;12;20050104 11:39;P;;;;;;
D;042;475584;12;20050104 11:39;P;;;;;;
D;042;475584;12;20050104 11:39;V;;;;;;
B;042;475651;13;20050104 11:39;;;107;LYALL ST;COWRA;2794;1219;M;20041006;20041128;132000;A;R;RESIDENCE;;AJ;;0;AB151427;
C;042;475651;13;20050104 11:39;1/612729;
D;042;475651;13;20050104 11:39;P;;;;;;
D;042;475651;13;20050104 11:39;P;;;;;;
D;042;475651;13;20050104 11:39;V;;;;;;
B;042;475809;14;20050104 11:39;;;19;MACQUARIE ST;COWRA;2794;230.3;M;20040531;20040930;5600000;B;3;SHOPPING CTR;;CE;;0;AB151015;
C;042;475809;14;20050104 11:39;1/773464;
