A;051;20040202 11:41;PTHIRLWELL;
B;051;504531;1;20040202 11:41;;;41;COLLIE ST;BAROOGA;3644;1012;M;20031127;20031219;63000;Z;V;VACANT LAND;;VB;;0;AA314790;
C;051;504531;1;20040202 11:41;25//574086;
D;051;504531;1;20040202 11:41;P;;;;;;
D;051;504531;1;20040202 11:41;V;;;;;;
D;051;504531;1;20040202 11:41;V;;;;;;
B;051;504576;2;20040202 11:41;;;;GOLF COURSE RD;BAROOGA;3644;1.214;H;20031125;20031218;742500;R;3;MOTEL;;VH;;0;AA303661;
C;051;504576;2;20040202 11:41;11//715203;
D;051;504576;2;20040202 11:41;P;;;;;;
D;051;504576;2;20040202 11:41;V;;;;;;
B;051;504587;3;20040202 11:41;;;43;GOLF COURSE RD;BAROOGA;3644;320.1;M;20031120;20031218;165000;Z;R;RESIDENCE;;VB;;0;AA328606;
C;051;504587;3;20040202 11:41;11//285149;
D;051;504587;3;20040202 11:41;P;;;;;;
D;051;504587;3;20040202 11:41;V;;;;;;
B;051;504675;4;20040202 11:41;;;24;KAMAROOKA ST;BAROOGA;3644;1018;M;20031030;20040107;187000;Z;R;RESIDENCE;;VB;;0;AA332914;
C;051;504675;4;20040202 11:41;13//238626;
D;051;504675;4;20040202 11:41;P;;;;;;
D;051;504675;4;20040202 11:41;P;;;;;;
D;051;504675;4;20040202 11:41;V;;;;;;
D;051;504675;4;20040202 11:41;V;;;;;;
B;051;505171;5;20040202 11:41;;;10;TONGS ST;FINLEY;2713;7.284;H;20031007;20031110;143000;R;3;FARM;;FH;;0;AA333437;
C;051;505171;5;20040202 11:41;126//752283;
D;051;505171;5;20040202 11:41;P;;;;;;
D;051;505171;5;20040202 11:41;P;;;;;;
D;051;505171;5;20040202 11:41;V;;;;;;
D;051;505171;5;20040202 11:41;V;;;;;;
B;051;505310;6;20040202 11:41;;;90;COREE ST;FINLEY;2713;1024;M;20030910;20031014;69000;Z;R;RESIDENCE;;FA;;0;AA154682;
C;051;505310;6;20040202 11:41;1//533710;
D;051;505310;6;20040202 11:41;P;;;;;;
D;051;505310;6;20040202 11:41;P;;;;;;
D;051;505310;6;20040202 11:41;V;;;;;;
D;051;505310;6;20040202 11:41;V;;;;;;
B;051;505904;7;20040202 11:41;;;77;COREE ST;FINLEY;2713;1069;M;20031031;20031215;215000;Z;R;RESIDENCE;;FA;;0;AA324865;
C;051;505904;7;20040202 11:41;12//522713;
D;051;505904;7;20040202 11:41;P;;;;;;
D;051;505904;7;20040202 11:41;P;;;;;;
D;051;505904;7;20040202 11:41;V;;;;;;
B;051;505966;8;20040202 11:41;;;92;TOCUMWAL ST;FINLEY;2713;961.1;M;20031121;20031219;116000;Z;R;RESIDENCE;;FA;;0;AA351201;
C;051;505966;8;20040202 11:41;22/21/758412;
D;051;505966;8;20040202 11:41;P;;;;;;
D;051;505966;8;20040202 11:41;P;;;;;;
D;051;505966;8;20040202 11:41;P;;;;;;
D;051;505966;8;20040202 11:41;V;;;;;;
B;051;506103;9;20040202 11:41;;;77;WARMATTA ST;FINLEY;2713;694.6;M;20031030;20031205;110000;Z;R;RESIDENCE;;FA;;0;AA339701;
C;051;506103;9;20040202 11:41;2//775891;
D;051;506103;9;20040202 11:41;P;;;;;;
D;051;506103;9;20040202 11:41;V;;;;;;
D;051;506103;9;20040202 11:41;V;;;;;;
B;051;506343;10;20040202 11:41;;;;CRONULLA RD;BERRIGAN;2712;22.64;H;20031006;20031127;63000;R;V;VACANT LAND;;BH;;0;AA311040;
C;051;506343;10;20040202 11:41;10//261030;
D;051;506343;10;20040202 11:41;P;;;;;;
D;051;506343;10;20040202 11:41;P;;;;;;
D;051;506343;10;20040202 11:41;V;;;;;;
B;051;506748;11;20040202 11:41;;;18;JERILDERIE ST;BERRIGAN;2712;1821;M;20031014;20031210;125000;Z;R;RESIDENCE;;BR;;0;AA262151;
C;051;506748;11;20040202 11:41;3, 4/32/3353;
D;051;506748;11;20040202 11:41;P;;;;;;
D;051;506748;11;20040202 11:41;V;;;;;;
B;051;507299;12;20040202 11:41;;;;ADCOCKS RD;TOCUMWAL;2714;8.01;H;20030918;20031017;90000;R;V;VACANT LAND;;TH;;0;AA345238;
C;051;507299;12;20040202 11:41;2//788345;
D;051;507299;12;20040202 11:41;P;;;;;;
D;051;507299;12;20040202 11:41;P;;;;;;
D;051;507299;12;20040202 11:41;V;;;;;;
B;051;507452;13;20040202 11:41;;;118;DENILIQUIN ST;TOCUMWAL;2714;1207;M;20030708;20030730;150000;Z;R;RESIDENCE;;TR;;0;AA330986;
C;051;507452;13;20040202 11:41;26//595583;
D;051;507452;13;20040202 11:41;P;;;;;;
D;051;507452;13;20040202 11:41;P;;;;;;
D;051;507452;13;20040202 11:41;V;;;;;;
D;051;507452;13;20040202 11:41;V;;;;;;
B;051;507559;14;20040202 11:41;;;58;CHARLOTTE ST;TOCUMWAL;2714;1010;M;20030613;20030613;95000;Z;R;RESIDENCE;;TR;;0;AA330970;
C;051;507559;14;20040202 11:41;31//588722;
D;051;507559;14;20040202 11:41;P;;;;;;
D;051;507559;14;20040202 11:41;V;;;;;;
D;051;507559;14;20040202 11:41;V;;;;;;
B;051;507683;15;20040202 11:41;;;115;DENILIQUIN ST;TOCUMWAL;2714;2023;M;20031125;20031210;420000;Z;3;COMMERCIAL;;TR;;0;AA309977;
C;051;507683;15;20040202 11:41;5/3/758981;
D;051;507683;15;20040202 11:41;P;;;;;;
D;051;507683;15;20040202 11:41;V;;;;;;
D;051;507683;15;20040202 11:41;V;;;;;;
B;051;3028067;16;20040202 11:41;;3;86;HENNESSY ST;TOCUMWAL;2714;228.2;M;20030923;20031023;119000;Z;3;STRATA UNIT;;TR;;0;AA338378;
C;051;3028067;16;20040202 11:41;4//285810;
D;051;3028067;16;20040202 11:41;P;;;;;;
D;051;3028067;16;20040202 11:41;V;;;;;;
B;051;3058139;17;20040202 11:41;;;;BUCHANANS RD;BAROOGA;3644;818;M;20031113;20031219;39000;;V;VACANT LAND;;;;0;AA294208;
C;051;3058139;17;20040202 11:41;2//813761;
D;051;3058139;17;20040202 11:41;P;;;;;;
D;051;3058139;17;20040202 11:41;P;;;;;;
D;051;3058139;17;20040202 11:41;V;;;;;;
D;051;3058139;17;20040202 11:41;V;;;;;;
D;051;3058139;17;20040202 11:41;V;;;;;;
Z;90;17;17;54;
