A;102;20040202 11:46;PTHIRLWELL;
B;102;1112947;18;20040202 11:46;;;;GREENHILLS RD;WERAI;2577;9252;M;20031211;20040115;525000;R;V;VACANT LAND;;HK;;0;AA347745;
C;102;1112947;18;20040202 11:46;1//873880;
D;102;1112947;18;20040202 11:46;P;;;;;;
D;102;1112947;18;20040202 11:46;P;;;;;;
D;102;1112947;18;20040202 11:46;V;;;;;;
B;102;1113289;19;20040202 11:47;;;30;HIGHLAND DR;BOWRAL;2576;4008;M;20031008;20040108;565000;A;R;RESIDENCE;;NR;;0;AA342723;
C;102;1113289;19;20040202 11:47;224//847072;
D;102;1113289;19;20040202 11:47;P;;;;;;
D;102;1113289;19;20040202 11:47;P;;;;;;
D;102;1113289;19;20040202 11:47;V;;;;;;
B;102;1113952;20;20040202 11:47;FOREST LODGE;;;HUME HWY;ALPINE;2575;3.566;H;20031123;20040119;1430000;S;R;RESIDENCE;;KM;;0;AA358401;
C;102;1113952;20;20040202 11:47;1//605509;
D;102;1113952;20;20040202 11:47;P;;;;;;
D;102;1113952;20;20040202 11:47;P;;;;;;
D;102;1113952;20;20040202 11:47;V;;;;;;
B;102;1113963;21;20040202 11:47;;;2;HUME HWY;BRAEMAR;2575;1.819;H;20030805;20031223;2300000;R;R;RESIDENCE;;DS;;0;AA321842;
C;102;1113963;21;20040202 11:47;3//607486;
D;102;1113963;21;20040202 11:47;P;;;;;;
D;102;1113963;21;20040202 11:47;V;;;;;;
B;102;1114237;22;20040202 11:47;NORGREY;;;JAMBEROO RD;ROBERTSON;2577;10.12;H;20031010;20031121;1025000;P;R;RESIDENCE;;MC;;0;AA303327;
C;102;1114237;22;20040202 11:47;872//556487;
D;102;1114237;22;20040202 11:47;P;;;;;;
D;102;1114237;22;20040202 11:47;V;;;;;;
B;102;1114311;23;20040202 11:47;;;6;JANE ST;HILL TOP;2575;630;M;20030924;20031105;225000;Z;R;RESIDENCE;;CH;;0;AA260835;
C;102;1114311;23;20040202 11:47;60, 61, 62/72/1717;
D;102;1114311;23;20040202 11:47;P;;;;;;
D;102;1114311;23;20040202 11:47;P;;;;;;
