A;197;20040202 11:54;PTHIRLWELL;
B;197;1877450;1;20040202 11:54;;;;KAMILAROI HWY;QUIRINDI;2343;4.42;H;20031128;20031222;25000;R;V;VACANT LAND;;RS;;0;AA319453;
C;197;1877450;1;20040202 11:54;6//828011;
D;197;1877450;1;20040202 11:54;P;;;;;;
D;197;1877450;1;20040202 11:54;V;;;;;;
B;197;1878551;2;20040202 11:54;;;;YARAMAN ST;BLACKVILLE;2343;8903;M;20031201;20040114;17500;Z;R;RESIDENCE;;ZV;;0;AA347234;
C;197;1878551;2;20040202 11:54;1//43038 4, 5, 6, 7/5/758118;
D;197;1878551;2;20040202 11:54;P;;;;;;
D;197;1878551;2;20040202 11:54;V;;;;;;
B;197;1878816;3;20040202 11:54;;;19;DALLEY ST;QUIRINDI;2343;1012;M;20031114;20031117;87000;Z;R;RESIDENCE;;ZQ;;0;AA309112;
C;197;1878816;3;20040202 11:54;A//319635;
D;197;1878816;3;20040202 11:54;P;;;;;;
D;197;1878816;3;20040202 11:54;V;;;;;;
B;197;1879407;4;20040202 11:54;;;27;MUNRO ST;QUIRINDI;2343;992.7;M;20031222;20031222;50000;Z;R;RESIDENCE;;ZQ;;0;AA323315;
C;197;1879407;4;20040202 11:54;27//21230;
D;197;1879407;4;20040202 11:54;P;;;;;;
D;197;1879407;4;20040202 11:54;P;;;;;;
D;197;1879407;4;20040202 11:54;V;;;;;;
B;197;1879734;5;20040202 11:54;;;;RAY CARTER DR;QUIRINDI;2343;2.505;H;20031111;20031223;45000;R;V;VACANT LAND;;RS;;0;AA332975;
C;197;1879734;5;20040202 11:54;119//818546;
D;197;1879734;5;20040202 11:54;P;;;;;;
D;197;1879734;5;20040202 11:54;P;;;;;;
D;197;1879734;5;20040202 11:54;V;;;;;;
D;197;1879734;5;20040202 11:54;V;;;;;;
B;197;1879881;6;20040202 11:54;;;26;UNDERWOOD ST;QUIRINDI;2343;1214;M;20031204;20031218;70000;Z;R;RESIDENCE;;ZQ;;0;AA330815;
C;197;1879881;6;20040202 11:54;6/2/2663;
D;197;1879881;6;20040202 11:54;P;;;;;;
D;197;1879881;6;20040202 11:54;V;;;;;;
Z;29;6;6;15;
