A;141;20050104 11:46;MASMITH;
B;141;1488903;1;20050104 11:46;;;10;BAYSWATER AVE;HURSTVILLE;2220;;;20040813;20041203;825000;A;R;RESIDENCE;;XG;;0;AB159892;
C;141;1488903;1;20050104 11:46;32/12/1604;
D;141;1488903;1;20050104 11:46;P;;;;;;
D;141;1488903;1;20050104 11:46;P;;;;;;
D;141;1488903;1;20050104 11:46;V;;;;;;
D;141;1488903;1;20050104 11:46;V;;;;;;
B;141;1489514;2;20050104 11:46;;;16;BEMBRIDGE ST;CARLTON;2218;240.3;M;20041118;20041214;225000;A;R;RESIDENCE;;XP;;40;AB176239;
C;141;1489514;2;20050104 11:46;B/439840;
D;141;1489514;2;20050104 11:46;P;;;;;;
D;141;1489514;2;20050104 11:46;V;;;;;;
D;141;1489514;2;20050104 11:46;V;;;;;;
B;141;1490946;3;20050104 11:46;;;20;CLAREMONT ST;PENSHURST;2222;;;20041130;20041206;700000;A;R;RESIDENCE;;XH;;0;AB170031;
C;141;1490946;3;20050104 11:46;16/6/1650;
D;141;1490946;3;20050104 11:46;P;;;;;;
D;141;1490946;3;20050104 11:46;V;;;;;;
B;141;1491087;4;20050104 11:46;;;262;CONNELLS POINT RD;SOUTH HURSTVILLE;2221;682.9;M;20040921;20041214;1550000;A;R;RESIDENCE;;XN;;0;AB165670;
C;141;1491087;4;20050104 11:46;E/409573;
D;141;1491087;4;20050104 11:46;P;;;;;;
D;141;1491087;4;20050104 11:46;P;;;;;;
D;141;1491087;4;20050104 11:46;V;;;;;;
D;141;1491087;4;20050104 11:46;V;;;;;;
B;141;1492150;5;20050104 11:46;;;16;EDWARD ST;OATLEY;2223;;;20041116;20041217;639999;A;R;RESIDENCE;;XH;;0;AB175050;
C;141;1492150;5;20050104 11:46;50/11060;
D;141;1492150;5;20050104 11:46;P;;;;;;
D;141;1492150;5;20050104 11:46;P;;;;;;
D;141;1492150;5;20050104 11:46;V;;;;;;
B;141;1493002;6;20050104 11:46;;1;14;GARFIELD ST;CARLTON;2218;;;20041113;20041217;237000;;R;RESIDENCE;1;;;0;AB176557;
C;141;1493002;6;20050104 11:46;1/SP4673;
D;141;1493002;6;20050104 11:46;P;;;;;;
D;141;1493002;6;20050104 11:46;P;;;;;;
D;141;1493002;6;20050104 11:46;V;;;;;;
B;141;1493067;7;20050104 11:46;;14;21;GARFIELD ST;CARLTON;2218;;;20041123;20041220;300000;;R;RESIDENCE;14;;;0;AB172849;
C;141;1493067;7;20050104 11:46;14/SP8346;
D;141;1493067;7;20050104 11:46;P;;;;;;
