A;083;20040301 11:44;PDANN;
B;083;680523;1;20040301 11:44;;;2;JUPITER ST;GLADESVILLE;2111;1111;M;20031129;20040128;1120000;A;R;RESIDENCE;;EA;;0;AA425989;
C;083;680523;1;20040301 11:44;10//522;
D;083;680523;1;20040301 11:44;P;;;;;;
D;083;680523;1;20040301 11:44;P;;;;;;
D;083;680523;1;20040301 11:44;V;;;;;;
B;083;680535;2;20040301 11:44;;13;6;KARRABEE AVE;TARBAN;2111;;;20031218;20040204;590000;;R;RESIDENCE;13;;;0;AA414255;
C;083;680535;2;20040301 11:44;13//SP 63278;
D;083;680535;2;20040301 11:44;P;;;;;;
D;083;680535;2;20040301 11:44;P;;;;;;
D;083;680535;2;20040301 11:44;V;;;;;;
D;083;680535;2;20040301 11:44;V;;;;;;
B;083;682764;3;20040301 11:44;;;12;WANDELLA AVE;HUNTERS HILL;2110;747.8;M;20031020;20040116;2500000;A;R;RESIDENCE;;ED;;0;AA413406;
C;083;682764;3;20040301 11:44;27//4614;
D;083;682764;3;20040301 11:44;P;;;;;;
D;083;682764;3;20040301 11:44;V;;;;;;
B;083;2998966;4;20040301 11:44;"SILKWOOD";24 F;12;KARRABEE AVE;TARBAN;2111;;;20031218;20040212;390000;;R;RESIDENCE;24;;;0;AA419869;
C;083;2998966;4;20040301 11:44;24//SP 69423;
D;083;2998966;4;20040301 11:44;P;;;;;;
D;083;2998966;4;20040301 11:44;V;;;;;;
Z;21;4;4;11;
