A;149;20040202 11:52;PTHIRLWELL;
B;149;1659383;1;20040202 11:52;;;39;HICKORY ST;DORRIGO;2453;1012;M;20031201;20040105;200000;Z;R;RESIDENCE;;ZB;;0;AA335328;
C;149;1659383;1;20040202 11:52;4/11/758357;
D;149;1659383;1;20040202 11:52;P;;;;;;
D;149;1659383;1;20040202 11:52;P;;;;;;
D;149;1659383;1;20040202 11:52;V;;;;;;
B;149;1659517;2;20040202 11:52;;;38;KURRAJONG ST;DORRIGO;2453;1726;M;20031125;20031217;196000;Z;R;RESIDENCE;;ZA;;0;AA338781;
C;149;1659517;2;20040202 11:52;4//11218;
D;149;1659517;2;20040202 11:52;P;;;;;;
D;149;1659517;2;20040202 11:52;V;;;;;;
D;149;1659517;2;20040202 11:52;V;;;;;;
B;149;1659909;3;20040202 11:52;;;1087;DEERVALE RD;MELDRUM DOWNS;2453;8.349;H;20031029;20031219;192000;R;R;RESIDENCE;;RB;;0;AA344104;
C;149;1659909;3;20040202 11:52;30//788972;
D;149;1659909;3;20040202 11:52;P;;;;;;
D;149;1659909;3;20040202 11:52;P;;;;;;
D;149;1659909;3;20040202 11:52;V;;;;;;
B;149;1660489;4;20040202 11:52;;;130;SUMMERVILLES RD;GORDONVILLE;2454;61.18;H;20031124;20031212;410000;R;R;RESIDENCE;;RQ;;0;AA321836;
C;149;1660489;4;20040202 11:52;6//748666;
D;149;1660489;4;20040202 11:52;P;;;;;;
D;149;1660489;4;20040202 11:52;P;;;;;;
D;149;1660489;4;20040202 11:52;V;;;;;;
B;149;1660575;5;20040202 11:52;;;23;THE GROVE;NEWRY ISLAND;2455;1.292;H;20031011;20040112;550000;R;R;RESIDENCE;;RN;;0;AA352814;
C;149;1660575;5;20040202 11:52;11//261614;
D;149;1660575;5;20040202 11:52;P;;;;;;
D;149;1660575;5;20040202 11:52;P;;;;;;
D;149;1660575;5;20040202 11:52;V;;;;;;
B;149;1661029;6;20040202 11:52;;;5;JEAN CL;URUNGA;2455;602.7;M;20031112;20031210;279500;R;R;RESIDENCE;;AJ;;0;AA319096;
C;149;1661029;6;20040202 11:52;24//262072;
D;149;1661029;6;20040202 11:52;P;;;;;;
D;149;1661029;6;20040202 11:52;V;;;;;;
D;149;1661029;6;20040202 11:52;V;;;;;;
B;149;1661545;7;20040202 11:52;;;10;PANORAMA PDE;URUNGA;2455;739.3;M;20031020;20031124;370000;A;R;RESIDENCE;;AF;;0;AA309316;
C;149;1661545;7;20040202 11:52;6/27/258094;
D;149;1661545;7;20040202 11:52;P;;;;;;
D;149;1661545;7;20040202 11:52;P;;;;;;
