A;164;20040202 11:53;PTHIRLWELL;
B;164;1792324;1;20040202 11:53;;;;PH ALLGOMERA;WARRELL CREEK;2447;3.146;H;20030915;20031215;305000;R;R;RESIDENCE;;TA;;0;AA306956;
C;164;1792324;1;20040202 11:53;1//630662;
D;164;1792324;1;20040202 11:53;P;;;;;;
D;164;1792324;1;20040202 11:53;P;;;;;;
D;164;1792324;1;20040202 11:53;V;;;;;;
D;164;1792324;1;20040202 11:53;V;;;;;;
B;164;1792713;2;20040202 11:53;;;3;ADAM ST;BOWRAVILLE;2449;2023;M;20031110;20040112;165000;Z;R;RESIDENCE;;AG;;0;AA351133;
C;164;1792713;2;20040202 11:53;A, B//5611;
D;164;1792713;2;20040202 11:53;P;;;;;;
D;164;1792713;2;20040202 11:53;V;;;;;;
B;164;1792843;3;20040202 11:53;;;10;CARBIN ST;BOWRAVILLE;2449;;;20031112;20031212;170000;Z;R;RESIDENCE;;AG;;0;AA332710;
C;164;1792843;3;20040202 11:53;40//9637;
D;164;1792843;3;20040202 11:53;P;;;;;;
D;164;1792843;3;20040202 11:53;V;;;;;;
B;164;1792868;4;20040202 11:53;;;24;COHALAN;BOWRAVILLE;2449;1037;M;20031121;20031223;165000;Z;R;RESIDENCE;;AG;;0;AA320627;
C;164;1792868;4;20040202 11:53;8//262813;
D;164;1792868;4;20040202 11:53;P;;;;;;
D;164;1792868;4;20040202 11:53;P;;;;;;
D;164;1792868;4;20040202 11:53;V;;;;;;
D;164;1792868;4;20040202 11:53;V;;;;;;
B;164;1792898;5;20040202 11:53;;;20;CONEN ST;BOWRAVILLE;2449;885.2;M;20031117;20031215;145000;Z;R;RESIDENCE;;AG;;0;AA344157;
C;164;1792898;5;20040202 11:53;2//936078;
D;164;1792898;5;20040202 11:53;P;;;;;;
D;164;1792898;5;20040202 11:53;P;;;;;;
D;164;1792898;5;20040202 11:53;V;;;;;;
D;164;1792898;5;20040202 11:53;V;;;;;;
B;164;1792985;6;20040202 11:53;;;27;HIGH ST;BOWRAVILLE;2449;1720;M;20031027;20031031;250000;S;3;POST OFFICE;;XX;;0;AA323609;
C;164;1792985;6;20040202 11:53;9/8/758150;
D;164;1792985;6;20040202 11:53;P;;;;;;
D;164;1792985;6;20040202 11:53;P;;;;;;
D;164;1792985;6;20040202 11:53;V;;;;;;
B;164;1793089;7;20040202 11:53;;;8;PARK ST;BOWRAVILLE;2449;5160;M;20031111;20031215;60000;Z;V;VACANT LAND;;AG;;0;AA303185;
C;164;1793089;7;20040202 11:53;10/20/758150;
D;164;1793089;7;20040202 11:53;P;;;;;;
D;164;1793089;7;20040202 11:53;P;;;;;;
D;164;1793089;7;20040202 11:53;V;;;;;;
D;164;1793089;7;20040202 11:53;V;;;;;;
D;164;1793089;7;20040202 11:53;V;;;;;;
D;164;1793089;7;20040202 11:53;V;;;;;;
D;164;1793089;7;20040202 11:53;V;;;;;;
B;164;1793148;8;20040202 11:53;NEWLIFE;;;LOWER BUCKRA BENDINNI RD;BOWRAVILLE;2449;75.63;H;20031027;20031216;550000;R;3;FARM;;SX;;0;AA276028;
C;164;1793148;8;20040202 11:53;12//661821 2//726513 63//755546;
D;164;1793148;8;20040202 11:53;P;;;;;;
D;164;1793148;8;20040202 11:53;V;;;;;;
B;164;1793567;9;20040202 11:53;;;765;GUMMA RD;MACKSVILLE;2447;5000;M;20031107;20031217;270000;R;R;RESIDENCE;;SF;;0;AA339637;
C;164;1793567;9;20040202 11:53;2//816482;
D;164;1793567;9;20040202 11:53;P;;;;;;
D;164;1793567;9;20040202 11:53;P;;;;;;
D;164;1793567;9;20040202 11:53;V;;;;;;
D;164;1793567;9;20040202 11:53;V;;;;;;
B;164;1793825;10;20040202 11:53;;;8;DURKIN ST;MACKSVILLE;2447;461.6;M;20031020;20031201;140000;A;R;RESIDENCE;;AE;;0;AA315764;
C;164;1793825;10;20040202 11:53;3/D/8319;
D;164;1793825;10;20040202 11:53;P;;;;;;
D;164;1793825;10;20040202 11:53;P;;;;;;
D;164;1793825;10;20040202 11:53;P;;;;;;
D;164;1793825;10;20040202 11:53;V;;;;;;
D;164;1793825;10;20040202 11:53;V;;;;;;
B;164;1794094;11;20040202 11:53;;;3;MARY ST;MACKSVILLE;2447;455.3;M;20030929;20031218;250000;A;R;RESIDENCE;;AE;;0;AA351941;
C;164;1794094;11;20040202 11:53;1//348489;
D;164;1794094;11;20040202 11:53;P;;;;;;
D;164;1794094;11;20040202 11:53;V;;;;;;
B;164;1794731;12;20040202 11:53;;;;YARRAWONGA ST;MACKSVILLE;2447;2483;M;20031219;20040116;29796;I;V;VACANT LAND;;FB;;0;AA339349;
C;164;1794731;12;20040202 11:53;53//787696;
D;164;1794731;12;20040202 11:53;P;;;;;;
D;164;1794731;12;20040202 11:53;P;;;;;;
D;164;1794731;12;20040202 11:53;V;;;;;;
B;164;1794742;13;20040202 11:53;;;33;YARRAWONGA ST;MACKSVILLE;2447;2218;M;20031128;20031219;58500;I;3;SHED;;FB;;0;AA338851;
C;164;1794742;13;20040202 11:53;65//790038;
D;164;1794742;13;20040202 11:53;P;;;;;;
D;164;1794742;13;20040202 11:53;V;;;;;;
B;164;1794853;14;20040202 11:53;;;;PH INGALBA;EUNGAI;2441;2.834;H;20031205;20031219;27000;R;V;VACANT LAND;;TA;;0;AA288707;
C;164;1794853;14;20040202 11:53;1//634579;
D;164;1794853;14;20040202 11:53;P;;;;;;
D;164;1794853;14;20040202 11:53;P;;;;;;
D;164;1794853;14;20040202 11:53;V;;;;;;
B;164;1794876;15;20040202 11:53;;;1137;SOUTH ARM RD;BOWRAVILLE;2449;10.36;H;20030919;20031031;295000;R;3;FARM;;TA;;0;AA349265;
C;164;1794876;15;20040202 11:53;221//619955;
D;164;1794876;15;20040202 11:53;P;;;;;;
D;164;1794876;15;20040202 11:53;P;;;;;;
D;164;1794876;15;20040202 11:53;V;;;;;;
D;164;1794876;15;20040202 11:53;V;;;;;;
B;164;1794964;16;20040202 11:53;;;;PH MEDLOW;TAYLORS ARM;2447;85.2;H;20031107;20031222;112000;R;R;RESIDENCE;;RB;;0;AA341415;
C;164;1794964;16;20040202 11:53;1//620641;
D;164;1794964;16;20040202 11:53;P;;;;;;
