A;214;20040202 11:56;PTHIRLWELL;
B;214;2152300;1;20040202 11:56;;;101;ABBOTT RD;SEVEN HILLS;2147;556.4;M;20031024;20031219;332000;A;R;RESIDENCE;;DA;;0;AA317345;
C;214;2152300;1;20040202 11:56;3//237222;
D;214;2152300;1;20040202 11:56;P;;;;;;
D;214;2152300;1;20040202 11:56;P;;;;;;
D;214;2152300;1;20040202 11:56;V;;;;;;
D;214;2152300;1;20040202 11:56;V;;;;;;
D;214;2152300;1;20040202 11:56;V;;;;;;
B;214;2152347;2;20040202 11:56;;;7;ABBOTT RD;SEVEN HILLS;2147;512.2;M;20031029;20031120;203000;A;R;RESIDENCE;;DA;;70;AA344916;
C;214;2152347;2;20040202 11:56;7//1001134;
D;214;2152347;2;20040202 11:56;P;;;;;;
D;214;2152347;2;20040202 11:56;P;;;;;;
D;214;2152347;2;20040202 11:56;V;;;;;;
D;214;2152347;2;20040202 11:56;V;;;;;;
D;214;2152347;2;20040202 11:56;V;;;;;;
B;214;2152597;3;20040202 11:56;;;1;ACROPOLIS AVE;ROOTY HILL;2766;500.1;M;20031124;20031219;335000;A;R;RESIDENCE;;DY;;0;AA323087;
C;214;2152597;3;20040202 11:56;23//830384;
D;214;2152597;3;20040202 11:56;P;;;;;;
D;214;2152597;3;20040202 11:56;P;;;;;;
D;214;2152597;3;20040202 11:56;V;;;;;;
D;214;2152597;3;20040202 11:56;V;;;;;;
B;214;2152617;4;20040202 11:56;;;45;ACROPOLIS AVE;ROOTY HILL;2766;491.1;M;20031001;20031114;335000;A;R;RESIDENCE;;DY;;0;AA328654;
C;214;2152617;4;20040202 11:56;153//807987;
D;214;2152617;4;20040202 11:56;P;;;;;;
D;214;2152617;4;20040202 11:56;V;;;;;;
D;214;2152617;4;20040202 11:56;V;;;;;;
B;214;2152633;5;20040202 11:56;;;62;ACROPOLIS AVE;ROOTY HILL;2766;450.6;M;20030803;20030803;120000;A;R;RESIDENCE;;DY;;50;AA325286;
C;214;2152633;5;20040202 11:56;126//807987;
D;214;2152633;5;20040202 11:56;P;;;;;;
D;214;2152633;5;20040202 11:56;P;;;;;;
D;214;2152633;5;20040202 11:56;V;;;;;;
D;214;2152633;5;20040202 11:56;V;;;;;;
D;214;2152633;5;20040202 11:56;V;;;;;;
B;214;2153018;6;20040202 11:56;;;6;AGATHA PL;OAKHURST;2761;607.7;M;20030816;20030929;365000;A;R;RESIDENCE;;DX;;0;AA347431;
C;214;2153018;6;20040202 11:56;5031//703804;
D;214;2153018;6;20040202 11:56;P;;;;;;
D;214;2153018;6;20040202 11:56;P;;;;;;
D;214;2153018;6;20040202 11:56;V;;;;;;
B;214;2153333;7;20040202 11:56;;;;ALBERT ST;RIVERSTONE;2765;1113;M;20031128;20040116;87000;R;3;;;RF;;0;AA345233;
C;214;2153333;7;20040202 11:56;28, 29/50/1480;
D;214;2153333;7;20040202 11:56;P;;;;;;
D;214;2153333;7;20040202 11:56;V;;;;;;
B;214;2154001;8;20040202 11:56;;;46;ALLAWAH ST;BLACKTOWN;2148;450;M;20030616;20030728;295000;A;R;RESIDENCE;;DN;;0;AA322183;
C;214;2154001;8;20040202 11:56;20//845593;
D;214;2154001;8;20040202 11:56;P;;;;;;
D;214;2154001;8;20040202 11:56;P;;;;;;
D;214;2154001;8;20040202 11:56;V;;;;;;
B;214;2154340;9;20040202 11:56;;;15;ALWYN CRES;GLENWOOD;2768;450.1;M;20031201;20040113;475000;A;R;RESIDENCE;;AA;;0;AA353743;
C;214;2154340;9;20040202 11:56;606//877381;
D;214;2154340;9;20040202 11:56;P;;;;;;
D;214;2154340;9;20040202 11:56;V;;;;;;
D;214;2154340;9;20040202 11:56;V;;;;;;
B;214;2154350;10;20040202 11:56;;;16;ALWYN CRES;GLENWOOD;2768;454.3;M;20031105;20031217;517000;A;R;RESIDENCE;;AA;;0;AA322984;
C;214;2154350;10;20040202 11:56;611//877381;
D;214;2154350;10;20040202 11:56;P;;;;;;
D;214;2154350;10;20040202 11:56;P;;;;;;
D;214;2154350;10;20040202 11:56;V;;;;;;
B;214;2154573;11;20040202 11:56;;;36;AMINTA CRES;HASSALL GROVE;2761;550.2;M;20031117;20031217;325000;A;R;RESIDENCE;;DX;;0;AA315336;
C;214;2154573;11;20040202 11:56;1108//778075;
D;214;2154573;11;20040202 11:56;P;;;;;;
D;214;2154573;11;20040202 11:56;P;;;;;;
D;214;2154573;11;20040202 11:56;V;;;;;;
B;214;2154631;12;20040202 11:56;;;7;AMSTERDAM ST;OAKHURST;2761;502.2;M;20031110;20031212;302500;A;R;RESIDENCE;;DX;;0;AA306072;
C;214;2154631;12;20040202 11:56;4//825757;
D;214;2154631;12;20040202 11:56;P;;;;;;
D;214;2154631;12;20040202 11:56;P;;;;;;
D;214;2154631;12;20040202 11:56;V;;;;;;
D;214;2154631;12;20040202 11:56;V;;;;;;
B;214;2155126;13;20040202 11:56;;;26;ANTHONY ST;BLACKTOWN;2148;;;20031102;20040114;432000;A;R;RESIDENCE;;DA;;0;AA350574;
C;214;2155126;13;20040202 11:56;173//7875;
D;214;2155126;13;20040202 11:56;P;;;;;;
D;214;2155126;13;20040202 11:56;V;;;;;;
D;214;2155126;13;20040202 11:56;V;;;;;;
B;214;2155257;14;20040202 11:56;;;21;ANVIL RD;SEVEN HILLS;2147;1117;M;20030908;20031024;1496000;I;3;FACTORY;;FW;;0;AA337545;
C;214;2155257;14;20040202 11:56;10//245831;
D;214;2155257;14;20040202 11:56;P;;;;;;
D;214;2155257;14;20040202 11:56;V;;;;;;
D;214;2155257;14;20040202 11:56;V;;;;;;
B;214;2155305;15;20040202 11:56;;;24;ANVIL RD;SEVEN HILLS;2147;1193;M;20030630;20030630;455000;I;3;FACTORY;;FW;;50;AA344190;
C;214;2155305;15;20040202 11:56;33//245831;
D;214;2155305;15;20040202 11:56;P;;;;;;
D;214;2155305;15;20040202 11:56;P;;;;;;
D;214;2155305;15;20040202 11:56;V;;;;;;
D;214;2155305;15;20040202 11:56;V;;;;;;
B;214;2155589;16;20040202 11:56;;;63;ARGOWAN RD;SCHOFIELDS;2762;2.137;H;20031208;20031208;375000;R;R;RESIDENCE;;RC;;0;AA328839;
C;214;2155589;16;20040202 11:56;52//12445;
D;214;2155589;16;20040202 11:56;P;;;;;;
D;214;2155589;16;20040202 11:56;V;;;;;;
D;214;2155589;16;20040202 11:56;V;;;;;;
D;214;2155589;16;20040202 11:56;V;;;;;;
