A;087;20050104 11:41;MASMITH;
B;087;753714;1;20050104 11:41;;4;20;ALMORA ST;BALMORAL;2088;;;20041105;20041217;870000;;R;RESIDENCE;4;;;0;AB175180;
C;087;753714;1;20050104 11:41;4/SP4730;
D;087;753714;1;20050104 11:41;P;;;;;;
D;087;753714;1;20050104 11:41;V;;;;;;
D;087;753714;1;20050104 11:41;V;;;;;;
B;087;753916;2;20050104 11:41;;1;64 A;AVENUE RD;MOSMAN;2088;;;20041022;20041203;660000;;R;RESIDENCE;1;;;0;AB162895;
C;087;753916;2;20050104 11:41;1/SP16606;
D;087;753916;2;20050104 11:41;P;;;;;;
D;087;753916;2;20050104 11:41;V;;;;;;
D;087;753916;2;20050104 11:41;V;;;;;;
B;087;754221;3;20050104 11:41;;;133;AVENUE RD;MOSMAN;2088;158.1;M;20040224;20040520;650000;A;R;RESIDENCE;;AQ;;0;AB164614;
C;087;754221;3;20050104 11:41;B/444898;
D;087;754221;3;20050104 11:41;P;;;;;;
D;087;754221;3;20050104 11:41;P;;;;;;
D;087;754221;3;20050104 11:41;V;;;;;;
B;087;754222;4;20050104 11:41;;;135;AVENUE RD;MOSMAN;2088;158.1;M;20040224;20040518;800000;A;R;RESIDENCE;;AQ;;0;AB166639;
C;087;754222;4;20050104 11:41;A/444898;
D;087;754222;4;20050104 11:41;P;;;;;;
D;087;754222;4;20050104 11:41;P;;;;;;
D;087;754222;4;20050104 11:41;V;;;;;;
B;087;754289;5;20050104 11:41;;4;165;AVENUE RD;MOSMAN;2088;;;20041108;20041206;472000;;R;RESIDENCE;4;;;0;AB177477;
C;087;754289;5;20050104 11:41;4/SP1583;
D;087;754289;5;20050104 11:41;P;;;;;;
D;087;754289;5;20050104 11:41;V;;;;;;
B;087;754289;6;20050104 11:41;;4;165;AVENUE RD;MOSMAN;2088;;;20041108;20041206;472000;;R;RESIDENCE;22;;;0;AB177477;
C;087;754289;6;20050104 11:41;22/SP1583;
D;087;754289;6;20050104 11:41;P;;;;;;
D;087;754289;6;20050104 11:41;V;;;;;;
B;087;754608;7;20050104 11:41;;;3;BALMORAL AVE;MOSMAN;2088;;;20041021;20041201;6300000;A;R;RESIDENCE;;AD;;0;AB161319;
C;087;754608;7;20050104 11:41;18/12851;
D;087;754608;7;20050104 11:41;P;;;;;;
D;087;754608;7;20050104 11:41;V;;;;;;
B;087;755197;8;20050104 11:41;;4;14;BOND ST;MOSMAN;2088;;;20041112;20041112;235000;;R;RESIDENCE;4;;;0;AB156636;
C;087;755197;8;20050104 11:41;4/SP55410;
D;087;755197;8;20050104 11:41;P;;;;;;
D;087;755197;8;20050104 11:41;V;;;;;;
D;087;755197;8;20050104 11:41;V;;;;;;
B;087;756328;9;20050104 11:41;;;16;CARRINGTON AVE;MOSMAN;2088;;;20041109;20041210;1875000;A;R;RESIDENCE;;AB;;0;AB173050;
C;087;756328;9;20050104 11:41;4/10904;
D;087;756328;9;20050104 11:41;P;;;;;;
D;087;756328;9;20050104 11:41;V;;;;;;
B;087;756385;10;20050104 11:41;;;41;CENTRAL AVE;MOSMAN;2088;257.8;M;20040924;20041203;950000;A;R;RESIDENCE;;AB;;0;AB175395;
C;087;756385;10;20050104 11:41;2/569050;
D;087;756385;10;20050104 11:41;P;;;;;;
D;087;756385;10;20050104 11:41;V;;;;;;
B;087;757339;11;20050104 11:41;;;20;ELFRIDA ST;MOSMAN;2088;1416;M;20040902;20041201;2600000;A;R;RESIDENCE;;AG;;0;AB169551;
C;087;757339;11;20050104 11:41;A/377897;
D;087;757339;11;20050104 11:41;P;;;;;;
D;087;757339;11;20050104 11:41;V;;;;;;
B;087;758750;12;20050104 11:41;;;41;LANG ST;MOSMAN;2088;;;20041207;20041207;8000;A;R;RESIDENCE;;AL;;1;AB163388;
C;087;758750;12;20050104 11:41;8/666683;
D;087;758750;12;20050104 11:41;P;;;;;;
D;087;758750;12;20050104 11:41;P;;;;;;
D;087;758750;12;20050104 11:41;P;;;;;;
D;087;758750;12;20050104 11:41;V;;;;;;
D;087;758750;12;20050104 11:41;V;;;;;;
D;087;758750;12;20050104 11:41;V;;;;;;
D;087;758750;12;20050104 11:41;V;;;;;;
B;087;759564;13;20050104 11:41;;210;450;MILITARY RD;MOSMAN;2088;;;20041105;20041126;344000;;R;RESIDENCE;20;;;0;AB171117;
C;087;759564;13;20050104 11:41;20/SP57337;
D;087;759564;13;20050104 11:41;P;;;;;;
D;087;759564;13;20050104 11:41;V;;;;;;
B;087;759735;14;20050104 11:41;;17;669;MILITARY RD;MOSMAN;2088;;;20041022;20041206;627000;;R;RESIDENCE;17;;;0;AB155975;
C;087;759735;14;20050104 11:41;17/SP3989;
D;087;759735;14;20050104 11:41;P;;;;;;
D;087;759735;14;20050104 11:41;P;;;;;;
D;087;759735;14;20050104 11:41;V;;;;;;
B;087;760108;15;20050104 11:41;;2;786;MILITARY RD;MOSMAN;2088;;;20041029;20041129;360000;;R;RESIDENCE;2;;;0;AB151412;
C;087;760108;15;20050104 11:41;2/SP573;
D;087;760108;15;20050104 11:41;P;;;;;;
D;087;760108;15;20050104 11:41;V;;;;;;
B;087;760298;16;20050104 11:41;;24;546;MILITARY RD;MOSMAN;2088;;;20041028;20041214;420000;;R;RESIDENCE;24;;;0;AB166565;
C;087;760298;16;20050104 11:41;24/SP32839;
D;087;760298;16;20050104 11:41;P;;;;;;
D;087;760298;16;20050104 11:41;V;;;;;;
B;087;760862;17;20050104 11:41;;5;37;MORUBEN RD;MOSMAN;2088;;;20040930;20041206;615000;;R;RESIDENCE;5;;;0;AB159171;
C;087;760862;17;20050104 11:41;5/SP11335;
D;087;760862;17;20050104 11:41;P;;;;;;
D;087;760862;17;20050104 11:41;V;;;;;;
D;087;760862;17;20050104 11:41;V;;;;;;
B;087;761339;18;20050104 11:41;;2;6;MOSMAN ST;MOSMAN;2088;;;20040920;20041214;885000;;R;RESIDENCE;2;;;0;AB173287;
C;087;761339;18;20050104 11:41;2/SP22994;
D;087;761339;18;20050104 11:41;P;;;;;;
D;087;761339;18;20050104 11:41;V;;;;;;
D;087;761339;18;20050104 11:41;V;;;;;;
B;087;761534;19;20050104 11:41;;3;11 A;MUSGRAVE ST;MOSMAN;2088;;;20040514;20040702;950000;;R;RESIDENCE;3;;;0;AB152710;
C;087;761534;19;20050104 11:41;3/SP13791;
D;087;761534;19;20050104 11:41;P;;;;;;
D;087;761534;19;20050104 11:41;P;;;;;;
