A;083;20050104 11:40;MASMITH;
B;083;680046;1;20050104 11:40;;56;43;GLADESVILLE RD;HUNTERS HILL;2110;;;20041109;20041209;285000;;R;RESIDENCE;56;;;0;AB163879;
C;083;680046;1;20050104 11:40;56/SP33100;
D;083;680046;1;20050104 11:40;P;;;;;;
D;083;680046;1;20050104 11:40;V;;;;;;
B;083;680046;2;20050104 11:40;;56;43;GLADESVILLE RD;HUNTERS HILL;2110;;;20041109;20041209;285000;;R;RESIDENCE;57;;;0;AB163879;
C;083;680046;2;20050104 11:40;57/SP33100;
D;083;680046;2;20050104 11:40;P;;;;;;
D;083;680046;2;20050104 11:40;V;;;;;;
B;083;681848;3;20050104 11:40;;;26;PRINCES ST;HUNTERS HILL;2110;480.6;M;20041011;20041122;852000;A;R;RESIDENCE;;EA;;0;AB160683;
C;083;681848;3;20050104 11:40;B/379017;
D;083;681848;3;20050104 11:40;P;;;;;;
D;083;681848;3;20050104 11:40;V;;;;;;
D;083;681848;3;20050104 11:40;V;;;;;;
B;083;681875;4;20050104 11:40;;;6;RAMLEH ST;HUNTERS HILL;2110;531.5;M;20041029;20041210;1125000;A;R;RESIDENCE;;EA;;0;AB157607;
C;083;681875;4;20050104 11:40;30/16119;
D;083;681875;4;20050104 11:40;P;;;;;;
D;083;681875;4;20050104 11:40;P;;;;;;
D;083;681875;4;20050104 11:40;V;;;;;;
D;083;681875;4;20050104 11:40;V;;;;;;
B;083;681982;5;20050104 11:40;;3;45;RYDE RD;HUNTERS HILL;2110;;;20041022;20041203;407500;;R;RESIDENCE;3;;;0;AB158934;
C;083;681982;5;20050104 11:40;3/SP2901;
D;083;681982;5;20050104 11:40;P;;;;;;
D;083;681982;5;20050104 11:40;P;;;;;;
D;083;681982;5;20050104 11:40;V;;;;;;
D;083;681982;5;20050104 11:40;V;;;;;;
B;083;681988;6;20050104 11:40;;1;49;RYDE RD;HUNTERS HILL;2110;;;20041029;20041130;582000;;R;RESIDENCE;1;;;0;AB164633;
C;083;681988;6;20050104 11:40;1/SP44940;
D;083;681988;6;20050104 11:40;P;;;;;;
D;083;681988;6;20050104 11:40;P;;;;;;
D;083;681988;6;20050104 11:40;V;;;;;;
D;083;681988;6;20050104 11:40;V;;;;;;
B;083;682362;7;20050104 11:40;;;33;SUNNYSIDE ST;GLADESVILLE;2111;684.7;M;20041104;20041216;1050000;A;R;RESIDENCE;;EA;;0;AB171506;
C;083;682362;7;20050104 11:40;96/7341;
D;083;682362;7;20050104 11:40;P;;;;;;
D;083;682362;7;20050104 11:40;V;;;;;;
D;083;682362;7;20050104 11:40;V;;;;;;
B;083;682489;8;20050104 11:40;;;44;THE POINT RD;WOOLWICH;2110;1758;M;20040831;20041203;4000000;A;R;RESIDENCE;;ED;;0;AB159158;
C;083;682489;8;20050104 11:40;2, 3/217;
D;083;682489;8;20050104 11:40;P;;;;;;
D;083;682489;8;20050104 11:40;P;;;;;;
D;083;682489;8;20050104 11:40;V;;;;;;
B;083;682753;9;20050104 11:40;;3;2;VIRET ST;HUNTERS HILL;2110;;;20041201;20041209;102000;;R;RESIDENCE;3;;;0;AB158091;
C;083;682753;9;20050104 11:40;3/SP6693;
D;083;682753;9;20050104 11:40;P;;;;;;
D;083;682753;9;20050104 11:40;P;;;;;;
D;083;682753;9;20050104 11:40;P;;;;;;
D;083;682753;9;20050104 11:40;P;;;;;;
D;083;682753;9;20050104 11:40;V;;;;;;
D;083;682753;9;20050104 11:40;V;;;;;;
D;083;682753;9;20050104 11:40;V;;;;;;
D;083;682753;9;20050104 11:40;V;;;;;;
D;083;682753;9;20050104 11:40;V;;;;;;
D;083;682753;9;20050104 11:40;V;;;;;;
D;083;682753;9;20050104 11:40;V;;;;;;
D;083;682753;9;20050104 11:40;V;;;;;;
D;083;682753;9;20050104 11:40;V;;;;;;
D;083;682753;9;20050104 11:40;V;;;;;;
D;083;682753;9;20050104 11:40;V;;;;;;
D;083;682753;9;20050104 11:40;V;;;;;;
D;083;682753;9;20050104 11:40;V;;;;;;
Z;62;9;9;42;
